dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26247],0,0,1713866094.9869757,0.9525,0.17207357813604177,0.03850160911679268,0.03846065700054169,0.5799318502431703,0.5809070448833207,3,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35067],1,0,1713866117.259804,0.9531,0.1727238463703543,0.058070339262485504,0.060960035771131516,0.8439898583325381,0.8779576782991152,3,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34590],2,0,1713866136.6660612,0.953,0.17287296489812434,0.023700391873717308,0.023973703384399414,0.4314847434370043,0.43698275447905877,2,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[16668],3,0,1713866155.414462,0.9531,0.17305281930603086,0.2993367910385132,0.3121669888496399,3.094514364784013,3.163669573428915,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[12196],4,0,1713866172.6323543,0.9528,0.17339065126143396,0.02274671383202076,0.023641251027584076,0.4233316521493652,0.43932513035382864,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2600],5,0,1713866191.3173366,0.9523,0.1733875647187233,0.027535727247595787,0.028462721034884453,0.41796114760319686,0.43018161807990424,2,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[9047],6,0,1713866209.119708,0.952,0.17357536973431706,0.011463488452136517,0.01177456509321928,0.21917319899667917,0.22367418701572947,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2206],7,0,1713866228.9684715,0.9516,0.17367576844990254,0.05865767225623131,0.05898677557706833,0.8496902799284208,0.8508189202824461,3,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25607],8,0,1713866251.048467,0.9522,0.17352042985148727,0.28239771723747253,0.27734139561653137,3.094505274790386,3.063595877676748,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[11606],9,0,1713866271.3716066,0.9521,0.17367240102030337,0.15697182714939117,0.1495872437953949,2.0884817351917366,2.0021356342369994,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[3624],10,0,1713866289.335566,0.9517,0.1739336544647813,5.606503486633301,5.597062110900879,19.9415500385971,19.998440348654253,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[43027],11,0,1713866311.3680918,0.9516,0.1738833402749151,0.07893238216638565,0.08175458759069443,1.0278985310050497,1.0672468286915595,3,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[15190],12,0,1713866329.3773675,0.9517,0.173757989378646,0.2732839286327362,0.278698593378067,2.9959846889509807,3.0535710628397967,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25816],13,0,1713866348.2049718,0.9516,0.17338466164655983,0.27381259202957153,0.2687998414039612,2.9702523260984637,2.9169261053467803,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26370],14,0,1713866370.4300342,0.9521,0.17350119119510055,0.018933288753032684,0.017738275229930878,0.3078731312391555,0.2865814328431116,3,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[1281],15,0,1713866388.7494407,0.9521,0.17353230472654105,0.022796470671892166,0.023330699652433395,0.42657414359455,0.43726885698177526,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[29433],16,0,1713866406.8819675,0.9521,0.1731935370247811,0.022102920338511467,0.022102687507867813,0.4077759498651187,0.40801933116854594,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[36256],17,0,1713866425.8965456,0.952,0.1736397233325988,0.27652695775032043,0.2798144519329071,2.9817952394731098,3.004315555932978,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34217],18,0,1713866446.5006547,0.9522,0.17349053802900016,0.041432883590459824,0.03910868242383003,0.6567736442981471,0.6272034816285363,4,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[39950],19,0,1713866463.863485,0.9513,0.17395680765621363,0.030587496235966682,0.03066437877714634,0.46035798576677733,0.4615499134512004,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[6756],20,0,1713866481.8355093,0.9509,0.1740369505714625,0.030544022098183632,0.03192915394902229,0.4615594282856936,0.4819790171304148,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26652],21,0,1713866496.5657551,0.9508,0.17425855598412454,0.027705378830432892,0.027601828798651695,0.5431399690402875,0.5402430049250274,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[3991],22,0,1713866515.7611513,0.9507,0.17429887391626836,0.03746882826089859,0.03810097277164459,0.5769272272424203,0.587107639155721,3,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[40312],23,0,1713866538.2300417,0.9512,0.17497032936662435,0.03183874115347862,0.035291094332933426,0.4888293646499544,0.5344206005394269,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[24580],24,0,1713866555.3847878,0.9506,0.1751708005554974,0.011410454288125038,0.010560463182628155,0.20849707978767662,0.19414642118693248,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[4949],25,0,1713866574.6193466,0.9506,0.17546655801124872,0.034708525985479355,0.03681422770023346,0.5191219959104035,0.5492219223381837,3,8
