dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26247],0,0,1713774933.1997707,0.9523,0.1721219330560416,0.34257495403289795,0.331058531999588,3.166496539711833,3.1001000041967797,2,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35067],1,0,1713774947.6552863,0.9517,0.17221843344159424,0.5627042055130005,0.5429843068122864,5.173976833395733,5.059922838682485,3,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34590],2,0,1713774963.0421348,0.9518,0.17230452676303684,0.777729868888855,0.7750914692878723,8.807083274391637,8.752622453625568,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[16668],3,0,1713774980.0148025,0.9516,0.17213819515891374,1.1107953786849976,1.0938265323638916,4.085862795085508,4.065368810871295,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[12196],4,0,1713774994.435491,0.9516,0.17230477002449335,0.7366860508918762,0.7396639585494995,6.1165902832979,6.136616061805594,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2600],5,0,1713775010.4003675,0.9523,0.17223702934570612,0.9876773357391357,0.9873398542404175,6.923935589369577,6.93976403476532,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[9047],6,0,1713775025.4939122,0.9521,0.17224121652543545,0.49437934160232544,0.47783905267715454,4.835038273830461,4.710381366398997,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2206],7,0,1713775040.501323,0.9529,0.17253716881386935,0.5721718072891235,0.5956546664237976,4.792802706770772,4.938675033922302,3,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25607],8,0,1713775054.3092098,0.9526,0.17255620197393,1.153670072555542,1.1465777158737183,4.953294043007203,4.929585689478245,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[11606],9,0,1713775066.1341364,0.9525,0.17277817730791867,1.2087454795837402,1.192886471748352,6.029062683776,5.966732055090495,2,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[3624],10,0,1713775079.9073727,0.9524,0.17266816846095026,1.5494260787963867,1.5374999046325684,8.963300104951061,8.941270054188186,3,3
