dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26247],0,0,1713786416.0479023,0.9525,0.17264031060039997,11.2576322555542,11.401248931884766,26.496031906917985,26.636786329240564,2,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35067],1,0,1713786424.2688673,0.9524,0.1724127403460443,10.097306251525879,10.146827697753906,27.778005240799075,27.857967481122955,2,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34590],2,0,1713786431.7308109,0.9522,0.17216701158322395,9.138284683227539,9.027569770812988,25.543945001847135,25.279554010093676,2,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[16668],3,0,1713786438.3556757,0.9519,0.172660921420902,8.283233642578125,8.32841968536377,21.294896658989707,21.41067421534945,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[12196],4,0,1713786445.6896706,0.9525,0.17258979068137706,8.576395034790039,8.569151878356934,22.67911880824451,22.729327096887836,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2600],5,0,1713786458.3185549,0.9527,0.17317627500742674,8.2409029006958,8.293471336364746,22.871545851696528,22.891169636367614,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[9047],6,0,1713786471.362476,0.9523,0.17349122944287956,7.2913432121276855,7.342432498931885,20.50785497360428,20.61439853114084,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2206],7,0,1713786486.927077,0.9524,0.1739411395508796,11.148407936096191,10.988964080810547,29.129302251358855,28.877789828361134,2,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25607],8,0,1713786500.4588263,0.9524,0.1738483590539545,8.814140319824219,8.70546817779541,22.070255790111386,21.984410647727675,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[11606],9,0,1713786511.456663,0.9519,0.1739516062196344,8.977008819580078,8.916495323181152,25.05004209063712,24.9390239777477,2,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[3624],10,0,1713786521.511461,0.9517,0.1738066199235618,6.6158318519592285,6.639014720916748,18.67618748935795,18.740210825443178,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[43027],11,0,1713786532.5644538,0.9513,0.17393449367955327,12.161049842834473,12.212096214294434,27.529667116086802,27.635649187583944,2,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[15190],12,0,1713786545.5602808,0.9516,0.17371659935452044,8.381915092468262,8.41104507446289,21.49303141731551,21.47253618467856,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25816],13,0,1713786555.5190375,0.9514,0.17387855309061706,8.424199104309082,8.591034889221191,21.4024788682663,21.598769376785967,2,1
