dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[7566],0,0,1713754135.779035,0.9528,0.17201824919320644,10.63617992401123,10.977405548095703,47.048111574950646,47.471640423817284,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[37615],1,0,1713754144.2860227,0.9526,0.17207317538559436,9.620122909545898,9.785517692565918,50.898396159799404,51.67171186213431,2,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25868],2,0,1713754150.8268375,0.9528,0.171957586100325,9.348000526428223,9.35832405090332,54.77915320728622,54.95742027934209,2,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26916],3,0,1713754158.488178,0.9525,0.17193773719482125,8.454920768737793,8.453720092773438,38.19167799672832,38.23337334851194,3,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[28453],4,0,1713754165.1671414,0.9528,0.17220944524742662,8.628585815429688,8.752043724060059,38.36118616130445,38.52719402209412,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35947],5,0,1713754171.1699333,0.9532,0.17279294882901014,8.436439514160156,8.529336929321289,59.70702148066501,60.030765831730676,2,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[16318],6,0,1713754179.3630173,0.9533,0.1724969785194844,8.206659317016602,8.290124893188477,36.54635717366766,36.74567157034763,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[10069],7,0,1713754187.1682787,0.9526,0.1727550480980426,8.23593807220459,8.311229705810547,52.623538188783705,52.3072739063874,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[6695],8,0,1713754195.120234,0.9529,0.17300658179447054,8.571941375732422,8.555500984191895,45.75804996512192,45.73154949697336,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[23176],9,0,1713754200.9440215,0.9528,0.17322348919697106,8.100503921508789,8.161436080932617,46.780293368442486,46.82343085440196,2,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[40296],10,0,1713754207.5869336,0.9528,0.17340555139817299,7.718020915985107,7.861374855041504,57.28170646904273,57.63833600447735,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[22784],11,0,1713754217.0520127,0.9527,0.1731527897529304,7.447776794433594,7.571987628936768,35.347687126644075,35.50960603020014,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[47242],12,0,1713754224.482529,0.9523,0.17332540238276123,7.2924370765686035,7.254471302032471,33.97411714904514,33.86996137226142,2,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[33317],13,0,1713754230.2794755,0.9517,0.1743216403760016,7.445307731628418,7.847219467163086,53.838698935411365,54.18622782841215,2,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[41581],14,0,1713754237.6873538,0.9518,0.1742172255180776,7.175907135009766,7.365107536315918,42.787269801487504,43.27804848654463,2,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[47271],15,0,1713754246.0339582,0.9519,0.1740623520221561,7.340378761291504,7.519660949707031,54.866898677710054,55.307613732934264,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[15295],16,0,1713754253.091952,0.9527,0.17394904321990906,6.808082103729248,6.844114780426025,39.119891397280924,40.08157098280854,3,7
