dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26683],0,0,1713707340.9874182,0.9523,0.1727601360529661,1.8813073635101318,1.778446078300476,23.446120788517835,23.081686412721524,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[22519],1,0,1713707346.9441237,0.9527,0.17283614045009016,1.6568114757537842,1.6639500856399536,28.52845555056639,28.626776904973205,4,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[9326],2,0,1713707352.1218698,0.9525,0.17294277786277235,1.6597654819488525,1.6689715385437012,21.44350881288619,21.757827759203675,3,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2643],3,0,1713707357.3946147,0.952,0.17330209859646856,1.5760260820388794,1.5136919021606445,17.034821563552132,16.688055311170576,3,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[6596],4,0,1713707363.0460246,0.9521,0.17378937480971218,1.8623769283294678,1.9138164520263672,30.466550011572444,30.939310314808406,4,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[31219],5,0,1713707368.4074173,0.9524,0.17403222825378178,2.107774257659912,2.2162978649139404,27.33319799848576,27.97434697200259,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[42671],6,0,1713707374.3294482,0.9521,0.1742868350353092,1.4447070360183716,1.4660991430282593,19.11366017167448,19.28322086995627,5,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[30147],7,0,1713707379.5881546,0.9519,0.1745341376401484,2.7301583290100098,2.7288975715637207,28.362366746684643,28.3613008917538,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[48267],8,0,1713707384.6760507,0.952,0.17529736971482635,2.020876407623291,2.204166889190674,26.03863936504862,26.63151625227686,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[11296],9,0,1713707389.832069,0.9519,0.1757305923383683,1.556143879890442,1.5426411628723145,18.612205902646835,18.546873401682813,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[41231],10,0,1713707395.0133495,0.9521,0.17537831468507648,1.7013511657714844,1.6724618673324585,21.291928582157343,21.31412769382027,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[7733],11,0,1713707400.2368503,0.9523,0.17508475468493997,2.572108507156372,2.5572667121887207,27.87244283973677,27.70586210571019,3,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[21911],12,0,1713707406.0517397,0.9518,0.17514917235821487,1.486234426498413,1.5054330825805664,24.605471625365112,24.87325143379322,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26402],13,0,1713707411.9908044,0.9518,0.17538718492724,2.4921112060546875,2.47731876373291,22.337213256037145,22.252652170785844,5,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[5682],14,0,1713707418.0712192,0.9514,0.1755403126589954,1.4185616970062256,1.4216036796569824,17.76364242230731,17.730007776871865,4,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35627],15,0,1713707423.6947718,0.952,0.17584041194058955,1.6079241037368774,1.582177758216858,19.55333735601341,19.448465091580136,4,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[37861],16,0,1713707429.5614343,0.9518,0.17592297601513565,1.9066509008407593,1.8100665807724,26.73964459902074,26.49133323879312,5,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[32116],17,0,1713707435.0115223,0.9517,0.17587247341871262,1.2358955144882202,1.2618470191955566,22.464470136592308,22.806165433448328,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34545],18,0,1713707440.5892599,0.9522,0.1756326077505946,1.588112235069275,1.5244741439819336,21.92415093258441,21.45143578067515,4,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35803],19,0,1713707445.7012668,0.9519,0.17588622979819774,1.7620152235031128,1.7446037530899048,28.629602308947558,28.67314776054691,3,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[49708],20,0,1713707451.3288903,0.952,0.1755136386025697,1.7119739055633545,1.6357988119125366,29.652566591347497,29.021113200070005,4,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[37643],21,0,1713707456.9060495,0.9523,0.17575306054204703,1.5704518556594849,1.6320221424102783,16.181332723176425,16.37774539848931,4,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[41668],22,0,1713707462.1227853,0.9524,0.1755398369859904,1.5520907640457153,1.4497755765914917,29.55586316048565,28.221302012489893,3,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[11995],23,0,1713707467.798301,0.9525,0.1755526412744075,1.8018864393234253,1.8108137845993042,31.812770487027098,32.03437137063164,4,2
