dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[4767],0,0,1713712854.288763,0.9526,0.17229784703813494,0.9421206712722778,0.8505633473396301,18.562164742956167,17.423953170075972,3,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[39749],1,0,1713712859.36962,0.9526,0.17229524604044855,0.7741596102714539,0.7467373013496399,20.08165373438395,19.63524845134702,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[47996],2,0,1713712864.708331,0.9524,0.17253556051291524,0.9061864614486694,0.9093348383903503,24.121094899083506,24.14651181570201,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2331],3,0,1713712869.8264146,0.9526,0.17268652422353625,0.7478110790252686,0.7828613519668579,21.20681987849417,21.985651083630565,2,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[19638],4,0,1713712875.7431304,0.9527,0.17307163975201548,1.3462772369384766,1.461276888847351,22.98494394237363,23.776716296963702,4,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[42334],5,0,1713712881.2325408,0.9527,0.17289177696220576,1.1184741258621216,1.0865952968597412,25.465828368959208,25.13752905888174,4,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[49914],6,0,1713712886.4121237,0.9533,0.17359352302737535,0.7970981001853943,0.6928406953811646,25.545839545915353,23.62864860231652,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25704],7,0,1713712891.810766,0.9531,0.1737803840544075,0.8691380620002747,0.843328058719635,28.215149940041567,27.69403345640394,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[43779],8,0,1713712896.9542894,0.9532,0.17381994370371104,0.9478845596313477,0.9933384656906128,17.30783441949268,17.910002891899442,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35241],9,0,1713712902.076196,0.9528,0.1750829372089356,1.0277281999588013,1.196778655052185,21.37782228908512,23.2595093910384,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[5057],10,0,1713712907.5389025,0.9524,0.1747419971972704,0.7605599761009216,0.8457026481628418,24.388949051158626,26.074389297040064,3,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[41043],11,0,1713712912.9287705,0.9526,0.1742175608407706,5.0849385261535645,5.3977861404418945,43.97775577740303,44.13087594584331,4,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[48284],12,0,1713712918.805387,0.9517,0.17483332087285816,2.6977474689483643,2.760776996612549,26.122430116361357,26.179918891842465,5,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[40662],13,0,1713712924.414809,0.9519,0.17499333405867218,1.2259576320648193,1.367592692375183,31.29518680664256,32.951370766093895,4,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[49293],14,0,1713712929.7542114,0.9514,0.17465888685546815,0.8009499311447144,0.9203490018844604,21.643443166139896,23.726673316834137,3,4
