dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[14887],0,0,1713754284.0326712,0.9523,0.17298741037957371,4.4395904541015625,4.207210540771484,69.40569210301373,68.8024901577512,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[49516],1,0,1713754299.8735096,0.9522,0.17316146730445325,3.3649425506591797,3.3492465019226074,66.94108416303209,67.20542126326367,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[27148],2,0,1713754317.2529192,0.952,0.1733037568628788,2.2109174728393555,2.013422727584839,64.35552629461398,62.3707712264463,2,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[14506],3,0,1713754335.7182415,0.9509,0.17351928860880433,3.243547201156616,3.6629836559295654,60.590696205589616,61.74593498203972,3,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[36010],4,0,1713754347.7047198,0.9505,0.17347217462956904,6.452940464019775,6.704740524291992,60.825660188087,61.20898605143731,2,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[4911],5,0,1713754360.017759,0.9505,0.1735678614117205,3.127030372619629,3.0268123149871826,58.93489191809099,58.73979465192934,2,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[20610],6,0,1713754374.8149862,0.9506,0.17353238794021308,3.0813863277435303,3.1924095153808594,59.05658371037615,59.37863738382755,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35947],7,0,1713754387.4622474,0.9506,0.1741616745479405,8.278858184814453,8.159881591796875,59.74051766519925,59.136221967097434,2,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34701],8,0,1713754404.6159482,0.9511,0.17421642187982797,3.189253807067871,2.851966381072998,58.68606714970352,57.36046949354209,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[13464],9,0,1713754418.6675794,0.951,0.17388051720336078,4.951819896697998,5.09104061126709,57.44560105898713,58.00927233694463,2,3
