dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[26247],0,0,1713854624.242451,0.9519,0.1728942676447332,0.0019238550448790193,0.0013636585790663958,0.06296636114025375,0.04536290481064441,3,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[35067],1,0,1713854640.4355636,0.9526,0.17320167934522032,0.017653129994869232,0.018651694059371948,0.7661313765865501,0.7565403462097582,3,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[34590],2,0,1713854651.6540391,0.9527,0.1740883179474622,0.13707828521728516,0.13331863284111023,6.6078740751585885,6.405129526625394,2,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[16668],3,0,1713854662.2713544,0.9522,0.17449028394185007,0.03895276412367821,0.05115583539009094,0.7222753369677112,0.9480631357992699,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[12196],4,0,1713854678.069625,0.9517,0.17554592578671874,0.042724672704935074,0.04037221521139145,1.7015191037089852,1.6579249212734397,4,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[2600],5,0,1713854698.6899881,0.9513,0.1764358574524522,0.3620929718017578,0.33770307898521423,9.588008889876113,9.002152334686526,4,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[9047],6,0,1713854712.6989274,0.9509,0.17801710390485823,0.019591281190514565,0.015325877815485,0.7228241014874575,0.5567747210493059,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[2206],7,0,1713854722.4340758,0.9443,0.19328730823472143,0.0177219957113266,0.00400194339454174,0.6260580691756714,0.1389896517041542,2,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[25607],8,0,1713854739.397305,0.9431,0.19426636528223754,0.04272489994764328,0.04168606922030449,0.9167534009183481,0.8956539181644605,4,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[11606],9,0,1713854757.0354145,0.9428,0.19588952078483998,0.17235256731510162,0.17105518281459808,4.186669759164722,4.108293039837074,4,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[3624],10,0,1713854765.143604,0.9421,0.19837446571327746,4.257266998291016,4.221652030944824,39.00453071995138,39.164773580419556,2,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[43027],11,0,1713854780.6393816,0.9414,0.198932883515954,0.010037069208920002,0.01072759460657835,0.42889894714041055,0.4614173537538382,3,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[15190],12,0,1713854792.1769605,0.9414,0.20025338986888527,0.03945070132613182,0.04020366817712784,1.4522752200619462,1.5297067915116107,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[25816],13,0,1713854807.6077805,0.9422,0.1965991986449808,0.013955041766166687,0.013010963797569275,0.4011157333531404,0.3751768879348275,5,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[26370],14,0,1713854819.6885543,0.9416,0.19762322977185248,0.006351286079734564,0.005210510455071926,0.26953160093992645,0.21617306640760459,2,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[1281],15,0,1713854829.9578085,0.9417,0.1988216522615403,0.15982966125011444,0.12963461875915527,5.643024242289081,4.781612973501617,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[29433],16,0,1713854847.1676862,0.9368,0.21246427688747643,0.021951790899038315,0.04044743627309799,0.8612576876950438,1.5946113753758298,4,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[36256],17,0,1713854859.4545789,0.9355,0.2139534754678607,0.03075351007282734,0.03448846563696861,0.9875628107914108,1.1257004976426208,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[34217],18,0,1713854870.9185224,0.9325,0.21802826998755337,0.20021821558475494,0.17357923090457916,8.357304505539641,7.431813935937014,2,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[39950],19,0,1713854885.610254,0.9386,0.20681029004044832,0.009060931392014027,0.008672312833368778,0.35040512968825516,0.33946266310382045,4,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[6756],20,0,1713854899.2262383,0.9335,0.21764100342988968,0.050283320248126984,0.05321184918284416,2.507423834736781,2.7192767939589375,3,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[26652],21,0,1713854911.204191,0.9331,0.21900214198976756,0.04249002784490585,0.04688220098614693,1.189048818517998,1.317667188860066,3,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.005,0.05,0.01,0.9526,0.17221427103504539,[3991],22,0,1713854922.1587055,0.9336,0.21854793457314373,0.0021020714193582535,0.0019930992275476456,0.08284335506361099,0.07841176426583943,2,6
