dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26247],0,0,1713774852.0379686,0.9524,0.17241546437144278,0.0019238550448790193,0.0016379047883674502,0.06296636114025375,0.05395501455639198,3,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[35067],1,0,1713774862.3027885,0.9527,0.17237248048186302,0.017177145928144455,0.01773218624293804,0.7465392583439496,0.7688454526094683,3,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34590],2,0,1713774867.9834175,0.9524,0.17257399861700834,0.13685916364192963,0.13486860692501068,6.602232902101748,6.4920252649291985,2,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[16668],3,0,1713774875.1791248,0.952,0.17291545132175087,0.03897947818040848,0.044146083295345306,0.724364970865909,0.8194245508170064,2,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[12196],4,0,1713774881.2050912,0.9522,0.17338534253649412,0.04529789462685585,0.04351615533232689,1.7665811220446712,1.701424963736577,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2600],5,0,1713774889.891671,0.9525,0.17301425579935312,0.3449665606021881,0.35973259806632996,9.193099321509257,9.525002176861916,5,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[9047],6,0,1713774896.4020746,0.9525,0.17338821520097553,0.014011232182383537,0.0131888622418046,0.515898764212875,0.48575734852639757,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[2206],7,0,1713774902.4122224,0.9524,0.17377776908688247,0.015360978431999683,0.017512455582618713,0.5591686829424417,0.6376372314001078,3,9
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25607],8,0,1713774910.1490574,0.9522,0.17347072516568005,0.04243507236242294,0.03781691938638687,0.908964318553719,0.8172379642820125,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[11606],9,0,1713774921.543625,0.952,0.17347727944143115,0.13128525018692017,0.12623439729213715,3.3064082889620843,3.1850274519943556,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[3624],10,0,1713774933.6748118,0.9518,0.17354195611551404,3.1416897773742676,3.160099506378174,33.63366541219545,33.65145863980607,3,3
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[43027],11,0,1713774946.9915724,0.9518,0.17280112742446363,0.001311395550146699,0.0018417553510516882,0.04714823770455809,0.06818656001791527,2,4
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[15190],12,0,1713774964.0636091,0.9486,0.18078737263567746,0.03572138398885727,0.004342530854046345,1.3057304200459743,0.15586081394026774,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[25816],13,0,1713774977.8832316,0.9487,0.18113711909390987,0.002775390399619937,0.0030265499372035265,0.08001935801925669,0.08714761801516166,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26370],14,0,1713774993.4907606,0.9483,0.1812498991843313,0.0031630981247872114,0.0033890926279127598,0.11453850259979156,0.12240047844257268,3,0
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[1281],15,0,1713775004.9227216,0.9483,0.18174186293035746,0.19567762315273285,0.2091311514377594,6.434635190500536,6.888088102780967,2,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[29433],16,0,1713775018.0412784,0.9488,0.18184430357068776,0.009034233167767525,0.008254223503172398,0.3498905274453636,0.3187228688306221,3,5
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[36256],17,0,1713775036.3988562,0.9485,0.1831848099362105,0.0036250133998692036,0.0031275665387511253,0.11260623492921555,0.09681197389084918,3,1
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[34217],18,0,1713775051.2190187,0.9478,0.1836008836980909,0.03859669715166092,0.03930629789829254,1.5026122367381063,1.541926276466423,3,7
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[39950],19,0,1713775064.8783271,0.9466,0.1854700052179396,0.10368094593286514,0.12148237228393555,4.432713924963324,5.1690654823525275,2,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[6756],20,0,1713775083.7756245,0.9454,0.18747992403805255,0.18348102271556854,0.19751983880996704,7.480110426970209,8.042974027846844,5,8
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[26652],21,0,1713775097.7883382,0.9452,0.18798907762393355,0.09969969838857651,0.08946250379085541,2.685917202198626,2.4124102275322,3,2
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[3991],22,0,1713775109.447639,0.9451,0.18824405819177628,0.002233869396150112,0.0021935468539595604,0.08082232901298288,0.07881867122205813,2,6
mnist,Logistic2NN,50,FOCI,Hessian,Sekhari,FD,1,50000,0.01,0.1,0.01,0.9526,0.17221427103504539,[40312],23,0,1713775122.2912517,0.9451,0.1883901842404157,0.45232877135276794,0.4368467926979065,17.960568268860936,17.428685886307704,2,8
