dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712481849.070442,0.8929,0.3772497339174151,44.059326171875,44.08844757080078,51.59150734347643,51.59150734347643,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712481857.360311,0.8934,0.3771556279622018,55.3600959777832,55.11331558227539,66.85179659649333,66.85125478608538,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712481866.1344814,0.8943,0.37437545191496613,43.41415786743164,43.23427200317383,54.357896239712844,54.3578733499724,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712481875.0259948,0.8939,0.37626164834946396,39.01424026489258,38.855812072753906,55.199809169378916,55.1997939094902,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712481883.0068142,0.8923,0.3780869116075337,46.94618225097656,46.98188018798828,69.08685611534342,69.08685611534342,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712481891.501982,0.8928,0.37680925531312826,38.32704544067383,38.04743576049805,55.53724252784095,55.53724252784095,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712481900.1264143,0.8935,0.3747784159146249,45.41789245605469,45.54047393798828,53.685099948364496,53.685099948364496,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712481908.6952615,0.8935,0.3749608128331602,39.189208984375,39.497642517089844,56.62166392189937,56.62166392189937,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712481917.3543909,0.8942,0.3733872324228287,42.53685760498047,41.97855758666992,55.3105364468075,55.31052118691096,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712481925.8969488,0.8943,0.3733252139762044,48.61252975463867,48.13500213623047,67.4222050611009,67.4222050611009,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712481934.4910111,0.8949,0.37148699825629594,46.1109619140625,46.1041259765625,54.33959577763276,54.33959577763276,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712481943.0482984,0.8963,0.3682709228247404,48.47908020019531,48.93296432495117,57.154530656208884,57.15453447268787,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712481951.421254,0.8962,0.3680681731551886,51.23503112792969,51.323158264160156,55.997475053657794,55.997475053657794,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712481959.810424,0.8954,0.3676801768131554,50.09906768798828,50.10387420654297,51.92942054244428,51.92942054244428,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712481968.3294146,0.8961,0.36617699144408106,48.18034744262695,48.61067581176758,61.258475799762195,61.258475799762195,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712481976.2170827,0.8963,0.36607110453769565,39.970603942871094,40.220306396484375,65.37936420499828,65.37936420499828,2,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712481984.4288883,0.8962,0.3689530357718468,38.75233840942383,38.902618408203125,55.15979088279114,55.1597870662915,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712481992.774268,0.8964,0.36766166649758814,48.95037078857422,49.079402923583984,67.95286584213643,67.95277426953601,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712482001.0988472,0.8962,0.36773127745836975,40.598018646240234,41.03974914550781,59.323074949027145,59.32334205256604,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1712482009.6894948,0.8958,0.3690629162825644,44.46451950073242,44.886558532714844,62.47485172220345,62.47485172220345,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1712482017.7883518,0.8951,0.3709796184673905,54.2160530090332,54.05419158935547,58.48166714992494,58.48166714992494,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1712482025.8275075,0.8953,0.3700491417199373,45.99195098876953,45.87733459472656,56.147985629379406,56.147985629379406,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1712482033.87218,0.8941,0.3733997262082994,39.695308685302734,39.75920867919922,54.88304597564621,54.88304597564621,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1712482042.2391882,0.8931,0.37369981640949845,49.89613342285156,49.13544845581055,67.8209444304348,67.8209444304348,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1712482050.2505298,0.8939,0.3727942181751132,42.485313415527344,42.48287582397461,58.41531793449248,58.41527214556803,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1712482058.4056883,0.8938,0.373599405400455,43.67502975463867,43.84660339355469,60.162551142305254,60.162623643559016,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1712482066.648634,0.8943,0.37411050125956535,54.799617767333984,55.399085998535156,61.0173179594841,61.01732177315663,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1712482074.834534,0.8939,0.373974303342402,51.488075256347656,51.45368957519531,56.019177574097384,56.019177574097384,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1712482083.3220172,0.8936,0.37546995365992186,37.29511260986328,37.186805725097656,57.38429226852743,57.38429226852743,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1712482090.9630895,0.8927,0.37801920231431724,42.1027946472168,42.21917724609375,61.432886985868784,61.432886985868784,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1712482099.798575,0.8946,0.372038902901113,50.49021911621094,50.47541046142578,60.322488046625544,60.322488046625544,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1712482108.242107,0.8945,0.3719051108695567,45.06700897216797,45.24509048461914,58.69600971986585,58.696005906275985,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1712482116.0964863,0.8938,0.3727247351780534,46.14897537231445,46.16905975341797,64.95745126537278,64.95745126537278,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1712482124.4622,0.893,0.37319064140319824,40.9952278137207,41.3211784362793,55.270407520659994,55.270407520659994,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31738],34,0,1712482132.782125,0.8932,0.3740422413684428,40.594810485839844,40.64928436279297,67.54452782865633,67.54178064566752,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13161],35,0,1712482140.8974402,0.8939,0.37243451094254854,41.0228157043457,40.98067092895508,55.12760545504079,55.12760545504079,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23487],36,0,1712482148.319858,0.8939,0.3726782682351768,42.148563385009766,42.33072280883789,66.28691493074665,66.28715149496303,2,7
