dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712481849.1422384,0.8938,0.3781888483092189,44.059326171875,44.33578872680664,51.59150734347643,51.59150734347643,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712481857.698247,0.8931,0.3779719676822424,55.57805633544922,55.42976379394531,66.47960354546743,66.48045059954569,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712481866.3328915,0.8924,0.3817618332803249,43.36656188964844,44.01417541503906,56.71761943537946,56.71762706537435,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712481874.0626543,0.8906,0.3876796723343432,39.639949798583984,39.82224655151367,55.460447086859325,55.46044327036269,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712481881.5146585,0.8892,0.3882424235343933,49.899017333984375,50.247169494628906,64.76117835891745,64.76117835891745,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712481888.6872225,0.8892,0.39061875119805334,39.11098861694336,39.066558837890625,56.90446639368421,56.90446639368421,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712481897.2602787,0.889,0.39465678595006465,46.68560028076172,47.0329704284668,55.48865145797375,55.48865145797375,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712481905.846246,0.8902,0.3906848546117544,42.889610290527344,43.27165222167969,59.60229048567165,59.602294302123475,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712481914.4023888,0.8877,0.39812142960727215,46.06376647949219,46.036529541015625,59.90600788649689,59.90600788649689,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712481922.6718278,0.889,0.3964413937181234,53.90336227416992,54.1151237487793,68.14390309168613,68.14390309168613,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712481930.3762794,0.8889,0.39545446550473573,50.48860549926758,50.39154815673828,56.077493352277195,56.077493352277195,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712481938.72232,0.8889,0.39062283392995595,51.006561279296875,50.786903381347656,60.157437265464736,60.157437265464736,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712481946.639096,0.8888,0.39223903613165023,53.22825622558594,52.86771011352539,57.72933805856226,57.72933805856226,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712481954.7000272,0.8874,0.394861023966223,53.17576599121094,53.42290115356445,55.234458163274894,55.234458163274894,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712481962.7109044,0.8881,0.3958358007483184,53.241981506347656,53.03045654296875,63.910683541578905,63.910683541578905,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712481970.4119856,0.8879,0.3942540499381721,50.513450622558594,50.77976608276367,55.78353904506135,55.78353904506135,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712481978.3477542,0.8872,0.39685509791597723,43.31492233276367,43.158180236816406,57.540422477203336,57.540422477203336,10,0
