dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712481849.4982717,0.895,0.3732710974290967,44.059326171875,44.059326171875,51.59150734347643,51.59150734347643,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712481857.7695878,0.8946,0.37214531395584344,55.44707107543945,55.50533676147461,66.74192031569653,66.74203477891376,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712481865.9001298,0.8946,0.3717233585193753,43.92903518676758,43.77022171020508,55.8916357093154,55.89161281337822,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712481874.4605236,0.895,0.3719783596694469,39.12226867675781,39.12226867675781,55.42436416262863,55.42436416262863,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712481883.2064672,0.8948,0.3720350874587893,46.94618225097656,46.87519073486328,69.08685611534342,69.08685611534342,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712481891.904061,0.8949,0.37195528484880924,38.311222076416016,38.311222076416016,55.94607688458487,55.94607688458487,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712481900.500804,0.8948,0.3734043870121241,45.268775939941406,45.268775939941406,52.9994279753436,52.9994279753436,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712481909.809929,0.8963,0.371684352774173,39.38482666015625,39.38482666015625,56.497778416989085,56.497778416989085,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712481918.3719687,0.8974,0.36845582667738197,43.71847915649414,43.71847915649414,58.466225950048596,58.466233580094375,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712481926.2041283,0.8972,0.36911257784813645,50.66082763671875,50.66082763671875,68.14513115965987,68.14513115965987,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712481933.2524428,0.8967,0.37008666889742015,45.225162506103516,45.33391189575195,53.28244300363395,53.282450636668734,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712481941.1345086,0.897,0.3698794586583972,48.6348762512207,48.6348762512207,57.764178677219746,57.764178677219746,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712481949.698554,0.8973,0.3706610821187496,50.97223663330078,50.7581672668457,56.05987505790814,56.05987505790814,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712481958.154067,0.8959,0.3724593001417816,50.413902282714844,50.413902282714844,52.74104039121464,52.74104039121464,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712481966.0995264,0.8951,0.37184054823592305,49.27204513549805,48.998931884765625,62.140144880552846,62.140144880552846,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712481974.2400317,0.8946,0.3740719807334244,47.304378509521484,47.304378509521484,53.24415699935487,53.24415699935487,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712481981.9512153,0.8944,0.3759995074942708,38.66709518432617,38.93463897705078,54.94784758150686,54.94784758150686,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712481990.1344054,0.8937,0.37552658673375844,49.813140869140625,49.81313705444336,68.14968484321429,68.14973825726601,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712481998.3426602,0.8951,0.3733865941874683,41.749534606933594,41.749534606933594,59.637562591574564,59.637562591574564,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1712482006.700832,0.8943,0.37313713831827044,44.68016052246094,44.68016052246094,63.37326821319485,63.37326821319485,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1712482014.3113298,0.8946,0.37300972566008567,54.84611511230469,54.84611511230469,59.45825003802307,59.45825003802307,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1712482022.660053,0.8937,0.3771914570592344,45.251277923583984,45.251277923583984,54.21050449371044,54.21050449371044,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1712482031.0402985,0.8936,0.3777952864766121,39.77295684814453,39.633544921875,52.87240576304537,52.87240576304537,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1712482039.7743638,0.8938,0.3768017991445959,48.70392990112305,48.70392990112305,67.39092380102012,67.39092380102012,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1712482047.9900963,0.8938,0.3777691589668393,42.176063537597656,42.176063537597656,58.297513098511615,58.297513098511615,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1712482055.7425928,0.8942,0.3786794936284423,44.4229736328125,44.4229736328125,59.51646065025965,59.51646065025965,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1712482063.2102273,0.8943,0.3782181147485971,52.44043731689453,52.44043731689453,58.98174717028985,58.98174717028985,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1712482071.5039997,0.8937,0.378536016959697,50.8118896484375,50.866905212402344,55.441795513958276,55.441795513958276,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1712482079.51852,0.8943,0.3778346159495413,36.0240364074707,36.0240364074707,55.85562513294513,55.85562513294513,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1712482087.446704,0.8939,0.3790731725282967,42.6732177734375,42.9068489074707,61.452512217477235,61.452512217477235,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1712482095.6041148,0.8927,0.38003569589927794,49.35578918457031,49.35578918457031,58.57542028991848,58.57542028991848,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1712482103.5422547,0.8929,0.379913495760411,46.66782760620117,46.66782760620117,58.714875573651256,58.714875573651256,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1712482111.5014625,0.8924,0.38005844028666613,46.24544143676758,46.288612365722656,63.67369269714467,63.67369269714467,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1712482119.6671314,0.8916,0.3816152879036963,40.425662994384766,40.40816879272461,54.39685399583742,54.39685018242954,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31738],34,0,1712482127.2701101,0.8919,0.3815220962278545,41.2767219543457,41.54433059692383,65.32628069266575,65.32628069266575,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13161],35,0,1712482134.8365545,0.8905,0.3835535886697471,38.974082946777344,38.974082946777344,55.080002274181055,55.080002274181055,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23487],36,0,1712482142.6935918,0.89,0.38351239459589126,43.01731491088867,43.1409912109375,65.33910539917468,65.33910539917468,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38161],37,0,1712482151.0433538,0.89,0.38345458153635265,51.248130798339844,51.007530212402344,61.272979227933185,61.272979227933185,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3264],38,0,1712482159.399662,0.8918,0.3810579139739275,39.764827728271484,39.764827728271484,55.1764289283936,55.1764289283936,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21854],39,0,1712482167.711114,0.8915,0.3816224134527147,37.40467071533203,37.40467071533203,53.17058989120531,53.17058989120531,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23490],40,0,1712482175.5572088,0.8905,0.3827271654270589,50.45182800292969,50.30510711669922,52.31609987877877,52.31609987877877,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20117],41,0,1712482183.4487507,0.8905,0.3836178183555603,42.50068664550781,42.50068664550781,60.859649408643236,60.859649408643236,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54444],42,0,1712482191.2107198,0.8911,0.38301346693187954,41.00808334350586,41.16616439819336,56.033802264768326,56.033802264768326,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45921],43,0,1712482198.8189497,0.8911,0.38162788301706313,41.28670120239258,41.330406188964844,58.76569927068882,58.76569927068882,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36220],44,0,1712482206.7156382,0.8899,0.38340829629451034,43.21768569946289,43.217689514160156,64.71046032576423,64.71031533154783,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41626],45,0,1712482214.4733837,0.8908,0.3833354003727436,44.14999771118164,44.16663360595703,65.1092602323728,65.10935943771001,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10208],46,0,1712482222.0081072,0.8893,0.38373256418853996,45.40422439575195,45.32197952270508,64.99825098090822,64.99819756703928,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18849],47,0,1712482229.5793111,0.8885,0.38622242119163275,54.71299362182617,54.71299362182617,62.95020993204633,62.95020993204633,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12368],48,0,1712482237.388956,0.8869,0.38912144424393774,52.053958892822266,52.053958892822266,62.99676419777584,62.99676419777584,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[46581],49,0,1712482245.490721,0.8869,0.38988579381257293,56.84962463378906,56.84962463378906,69.51704147943143,69.51704147943143,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18486],50,0,1712482253.9575603,0.8867,0.3915630037896335,47.77438735961914,47.77438735961914,59.96860107923183,59.96860107923183,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[24053],51,0,1712482261.827509,0.8861,0.391587916854769,48.63155746459961,48.63155746459961,57.07664316902667,57.07664316902667,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50000],52,0,1712482269.7985003,0.8866,0.3913388033397496,35.33856964111328,35.22601318359375,58.32504728784741,58.32504728784741,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1578],53,0,1712482277.5505402,0.8881,0.3874390272423625,45.40150451660156,45.40150451660156,58.85062804245737,58.85063185891771,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22054],54,0,1712482304.8887734,0.8892,0.3840541707351804,55.98332595825195,55.7440299987793,70.80135673412866,70.80125753368925,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16559],55,0,1712482313.0688941,0.8888,0.38591675404459236,40.67051315307617,40.67051315307617,58.01193792554184,58.011941739105424,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22071],56,0,1712482321.0985725,0.8895,0.38172892136499287,40.003143310546875,40.045997619628906,55.84668253604939,55.84668253604939,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44690],57,0,1712482328.8334792,0.8899,0.38118082787841556,53.06386947631836,53.06386947631836,66.4781179430495,66.4781179430495,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10622],58,0,1712482361.1561236,0.89,0.3828342599794269,60.240623474121094,60.240623474121094,68.30191203986149,68.30191203986149,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26825],59,0,1712482369.4535735,0.8879,0.38735754815861584,51.58961486816406,51.58961486816406,59.704865569365474,59.704865569365474,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13016],60,0,1712482376.7666483,0.8893,0.38606725726276636,52.09998321533203,52.08770751953125,59.08961492754245,59.08961492754245,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15183],61,0,1712482384.9066794,0.8902,0.38438148321583865,52.37677001953125,52.37677001953125,66.34649499662521,66.34649499662521,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14829],62,0,1712482418.443376,0.8905,0.38392146173864605,46.1243896484375,46.1243896484375,57.56206053944537,57.56206053944537,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16590],63,0,1712482426.3561647,0.889,0.3857803232036531,41.03080749511719,41.146514892578125,56.874999366523504,56.87499936355933,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44248],64,0,1712482434.0796905,0.8882,0.38984078280627726,52.88750076293945,52.88750076293945,59.67153447482597,59.67153447482597,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44764],65,0,1712482442.0858629,0.8897,0.3858735364861786,52.6324348449707,52.6324348449707,58.91260662392031,58.91260662392031,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8493],66,0,1712482450.2693343,0.8892,0.3859388670884073,41.02561950683594,41.02561950683594,58.88146093951858,58.88146093951858,2,0
