dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712559132.3545558,0.8929,0.37725051362067463,56.69874572753906,56.75474166870117,64.49358803068796,64.49358803068796,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712559140.5663598,0.8934,0.3771565300412476,71.7888412475586,71.4609603881836,89.54845258985814,89.54834576153326,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712559150.1579797,0.8927,0.3810424480587244,53.78028869628906,54.082176208496094,67.67068573800458,67.67068573800458,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712559159.5223966,0.8932,0.3803629904985428,49.197654724121094,49.415382385253906,65.45168922161085,65.4516892190351,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712559168.9185915,0.8921,0.3823119451291859,65.36131286621094,65.44436645507812,90.31281585781849,90.31281585781849,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712559178.3165696,0.8924,0.3811655863188207,49.64209747314453,49.263572692871094,66.04345596175533,66.04345595920265,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712559187.7547913,0.893,0.379098810441792,56.1373291015625,56.28602600097656,64.13060056883921,64.13060056883921,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712559196.5945797,0.8942,0.37532807011157276,48.068572998046875,47.68575668334961,70.59922600158708,70.59922600158708,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712559205.8145444,0.8937,0.37722965897992256,54.44477081298828,55.038421630859375,70.15695539491334,70.15696302275765,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712559214.8664026,0.8939,0.3773122911341488,67.515380859375,67.07186889648438,90.24132957465898,90.24132957465898,2,2
