dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712559132.5957046,0.8938,0.37819205448031423,56.69874572753906,57.1282958984375,64.49358803068796,64.49358803068796,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712559140.463388,0.8931,0.37797544403001665,71.9912338256836,71.7027816772461,89.09779491351675,89.09795515224565,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712559148.4386773,0.8924,0.38176976814866065,53.769901275634766,54.532527923583984,72.01782355751202,72.01782355751202,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712559155.2893174,0.8906,0.3876932369545102,49.980384826660156,50.293479919433594,65.80738053295944,65.80738053295944,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712559162.335187,0.8892,0.3882668253034353,68.02542114257812,68.43260192871094,83.33763806111378,83.33763806111378,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712559169.672841,0.8892,0.3906496978364885,50.442718505859375,50.412132263183594,66.74664264129336,66.74664264129336,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712559177.891256,0.889,0.394698625523597,57.973480224609375,58.43291473388672,66.97940916439282,66.97940916439282,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712559185.49939,0.8902,0.3907258567400277,52.768836975097656,53.2480354309082,74.87831590648915,74.87831590874065,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712559193.3584123,0.8877,0.3981686245650053,58.40177917480469,58.34640121459961,75.91041425089693,75.91041425089693,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712559200.5881255,0.889,0.3964901691302657,70.51868438720703,70.68453216552734,87.17109463951026,87.17109463951026,10,2
