dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712559132.6303356,0.895,0.3732710974290967,56.69874572753906,56.69874572753906,64.49358803068796,64.49358803068796,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712559140.8742945,0.8946,0.3721452893689275,71.82244110107422,71.86174774169922,89.37458518053846,89.37460044118974,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712559150.201779,0.8946,0.3717241881415248,54.536041259765625,54.254295349121094,70.70935713178874,70.7093571294045,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712559159.5144064,0.895,0.37197915399447085,49.36027526855469,49.36027526855469,65.80738053039761,65.80738053039761,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712559169.0982614,0.8948,0.37203583335503937,65.36131286621094,65.19220733642578,90.31281585781849,90.31281585781849,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712559178.4442322,0.8949,0.371956042945385,49.36027526855469,49.36027526855469,65.80738053039761,65.80738053039761,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712559187.9026284,0.8948,0.3734052609652281,56.24143981933594,56.24143981933594,63.02911612379507,63.02911612379507,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712559196.5264323,0.8963,0.37168517606332896,48.266868591308594,48.266868591308594,70.48891949959555,70.48891949959555,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712559205.8396184,0.8974,0.368456656858325,55.48542022705078,55.48542022705078,73.40901694002454,73.40901694002454,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712559215.038546,0.8972,0.3691134087741375,67.29256439208984,67.29256439208984,87.61628780329701,87.61628780329701,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712559224.245687,0.8967,0.3700847286731005,60.18340301513672,60.360740661621094,70.23000727775091,70.23000727775091,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712559233.7436063,0.897,0.3698775148950517,62.808815002441406,62.808815002441406,75.39613035227734,75.39613035227734,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712559242.0235057,0.8973,0.37065882664173844,65.08567810058594,64.8603744506836,72.12578921646262,72.12578921646262,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712559251.1540124,0.8959,0.3724570132791996,65.17646026611328,65.17646026611328,69.60018469045954,69.60018469045954,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712559259.6105084,0.8951,0.37183897718787196,62.65814208984375,62.30888366699219,77.13068765523693,77.13068765523693,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712559281.4102607,0.8946,0.3740705480799079,60.611907958984375,60.611907958984375,66.86313264388033,66.86313264388033,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712559290.0672643,0.8944,0.37599941780790685,49.614341735839844,49.87998962402344,66.86312501367115,66.86312501367115,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712559299.4625454,0.8937,0.3755265332758427,65.71875762939453,65.71875762939453,89.2005500739022,89.20056533266342,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712559308.3275928,0.8951,0.37338673500344155,53.89373016357422,53.89373016357422,74.8782777573149,74.8782777573149,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1712559340.6556532,0.8943,0.37313724691048267,56.93064498901367,56.93064498901367,81.06574999518752,81.06574999518752,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1712559348.707947,0.8946,0.37300985855981705,68.75706481933594,68.75706481933594,73.40901694002454,73.40901694002454,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1712559357.244411,0.8937,0.3771917141973972,56.741737365722656,56.741737365722656,65.57048172534023,65.57048172534023,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1712559365.7344954,0.8936,0.37779673086479304,52.039588928222656,51.95673370361328,75.71784369820801,75.71784369820801,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1712559399.07851,0.8938,0.3768030387349427,62.863067626953125,62.863067626953125,87.43848508881229,87.43848508881229,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1712559407.642586,0.8938,0.3777703566476703,53.89373016357422,53.89373016357422,74.8782777573149,74.8782777573149,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1712559417.2022195,0.8942,0.37868065005168317,57.87795639038086,57.87795639038086,75.29267867166043,75.29267867166043,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1712559426.11822,0.8943,0.37821931652724744,68.57594299316406,68.57594299316406,72.97945542056166,72.97945542056166,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1712559435.161776,0.8937,0.37853717282414434,65.50850677490234,65.59081268310547,72.23360237892776,72.23360237892776,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1712559465.0626554,0.8943,0.3778357525356114,43.08840560913086,43.08840560913086,67.09548745222378,67.09548745222378,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1712559473.6621144,0.8939,0.3790752445347607,53.59990310668945,53.870147705078125,76.31934023024886,76.31934023024886,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1712559482.590444,0.8927,0.3800375234335661,64.42549133300781,64.42549133300781,76.72608532606476,76.72608532606476,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1712559491.76301,0.8929,0.37991539360955356,58.141571044921875,58.141571044921875,74.04229273173688,74.04229273173688,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1712559522.8519042,0.8924,0.3800616279244423,58.817935943603516,58.83741760253906,79.41717952394534,79.41717952394534,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1712559531.951136,0.8916,0.3816189916804433,50.254600524902344,50.185813903808594,67.09546455907437,67.09546455907437,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31738],34,0,1712559541.2828488,0.8919,0.381525794044137,54.18044662475586,54.49301528930664,83.24310028306972,83.24310028306972,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13161],35,0,1712559550.9305246,0.8905,0.383557334728539,49.89501953125,49.89501953125,70.92911615785933,70.92911615785933,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23487],36,0,1712559581.8720143,0.89,0.3835159717127681,55.458980560302734,55.63787078857422,83.7096395913777,83.7096395913777,2,7
