dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712993297.9955544,0.894,0.3738184460438788,3.099436753473128e-06,2.9802276912960224e-06,9.881928061646281e-05,9.703966478241022e-05,3,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712993306.2061803,0.8933,0.37565575549378993,7.390948667307384e-06,7.986990567587782e-06,0.00019559829507523538,0.00021301249517139006,3,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712993314.2455194,0.8941,0.37369912322610616,8.894791603088379,8.763232231140137,32.524192677153025,32.52375739916025,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712993322.5825677,0.8936,0.37493166513741016,1.9073468138230965e-06,1.6689286894688848e-06,7.488390380886887e-05,6.488838075140398e-05,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712993330.9604037,0.8925,0.37754522217437625,4.768370445162873e-07,4.768370445162873e-07,1.965706018483692e-05,1.9619075024149118e-05,4,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712993338.8577297,0.8925,0.3801050329580903,3.6954811548639555e-06,3.3378546504536644e-06,0.00014972756226900666,0.0001381261634663238,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712993346.7224088,0.8924,0.38255703914910555,2.0265558760002023e-06,2.3841830625315197e-06,7.242657728219312e-05,8.660682564902081e-05,3,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712993354.8142672,0.8916,0.3851145260035992,9.661750793457031,9.970968246459961,35.31633887364534,35.31698025508375,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712993362.7146347,0.8927,0.3816368805244565,0.00028796817059628665,0.0004037995240651071,0.009930555266717782,0.01380005170012299,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712993370.4906175,0.8933,0.3781687098555267,4.768370445162873e-07,5.960462772236497e-07,1.9049286308324227e-05,2.4241975105097504e-05,3,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712993378.1989164,0.8923,0.38300528321415184,1.2636104656849056e-05,1.2993727978027891e-05,0.0002884003200146911,0.00029812655457307313,3,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712993386.5499053,0.8929,0.3826061696745455,0.00012420836719684303,0.00013958434283267707,0.0028361283049721407,0.00316533370410475,3,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712995840.649593,0.8925,0.38214053409174087,0.00013457823661156,0.00011836781777674332,0.002582456073404683,0.0022681450611252026,3,1
