dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712993298.1897495,0.8949,0.37358781825751064,3.099436753473128e-06,3.099436753473128e-06,9.881928061646281e-05,9.90690483354734e-05,3,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712993306.4549181,0.8948,0.37297733053565024,8.583032467868179e-06,7.629365427419543e-06,0.00022540984893394588,0.0002012843804574021,3,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712993314.8520372,0.8944,0.3738888740539551,8.933487892150879,9.158309936523438,32.62838171096712,32.62981355973618,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712993322.8784666,0.8945,0.3734580919146538,2.3841830625315197e-06,2.3841830625315197e-06,8.996567164808708e-05,8.996645784936271e-05,3,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712993330.7560005,0.8928,0.3745790410786867,5.960462772236497e-07,3.576278118089249e-07,2.4825708583039338e-05,1.5261554186142575e-05,3,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712993339.1075943,0.8918,0.37548034079372883,4.0531076592742465e-06,4.0531076592742465e-06,0.00016424183353718223,0.00016424183353718223,4,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712993346.8903108,0.8918,0.37743387585505844,3.2186455882765586e-06,3.2186455882765586e-06,0.00011365586296286003,0.00011366709554829281,3,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712993354.846869,0.8917,0.37646923614665867,9.948461532592773,9.948461532592773,35.49517132385883,35.49517514027681,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712993362.8719993,0.8916,0.3779000461101532,0.00030620177858509123,0.000303818320389837,0.010436053169352878,0.010353716626777787,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712993371.9031322,0.8925,0.37701410790905354,5.960462772236497e-07,5.960462772236497e-07,2.432049262567368e-05,2.432049262567368e-05,3,2
