dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712982881.3622067,0.8938,0.37819975735619665,0.0,0.0,2.0924985919867975e-13,2.259853433302464e-13,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712982889.1179929,0.8931,0.3779853455722332,0.0,0.0,1.8889637754979613e-12,1.626763098762031e-12,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712982896.2301602,0.8924,0.38177584325894715,33.39741897583008,33.877479553222656,57.69696100363906,57.69696100363906,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712982903.7450914,0.8906,0.3877073367126286,0.0,0.0,3.5679526684914153e-13,2.7606574482856104e-13,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712982911.9143968,0.8892,0.388287165760994,0.0,0.0,1.7876267739448244e-12,1.9350497546895278e-12,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712982919.9622386,0.8892,0.390678643155843,0.0,0.0,2.067156512611349e-13,2.1056395017149328e-13,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712982927.5263767,0.8889,0.3947408000938594,0.0,0.0,3.529694075171483e-14,3.7191344761927586e-14,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712982935.5101752,0.8902,0.3907502632588148,34.46603775024414,34.58134460449219,57.8203790394582,57.8203790394582,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712982943.409604,0.8877,0.39819730427116157,0.0,0.0,2.0324846454299822e-13,1.926911018342996e-13,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712982951.3907998,0.889,0.3965215479955077,0.0,0.0,8.714518100616087e-15,8.496556653511427e-15,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712982958.7473412,0.8889,0.3955308053642511,0.0,0.0,9.759278024445249e-12,7.1356382569548206e-12,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712982966.4094973,0.8888,0.39071838976815343,0.0,0.0,6.1392364902109746e-12,4.28107131928828e-12,10,1
