dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1713001593.9026496,0.8947,0.3747350544668734,0.0,0.0,7.315436454082078e-16,7.352062288138653e-16,3,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1713001601.8622456,0.8943,0.3763194392435253,0.0,0.0,7.801251243069039e-15,7.522274388500912e-15,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1713001609.338224,0.894,0.37817376079037784,39.99900436401367,39.892642974853516,70.24347805702544,70.24347805702544,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1713001617.6465793,0.8942,0.37595900194719434,0.0,0.0,2.1093988156252993e-14,2.0128490754809348e-14,4,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1713001626.078456,0.8938,0.3763462154194713,0.0,0.0,8.8293929406433e-14,8.896677573591866e-14,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1713001634.172196,0.8953,0.373356213606894,0.0,0.0,7.955224895630143e-15,9.733412059902152e-15,4,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1713001641.8154464,0.8943,0.37418102119117974,0.0,0.0,5.044306036355952e-16,4.4302989167664023e-16,4,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1713001649.5539057,0.8943,0.37296952018514273,39.39348220825195,38.95069122314453,68.59703030609091,68.59703030609091,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1713001657.598172,0.8951,0.3725490720011294,0.0,0.0,4.685234485376955e-16,4.875683371622779e-16,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1713001665.4664378,0.8966,0.3678025999106467,0.0,0.0,5.661856032172089e-16,5.591075657010495e-16,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1713001673.7637467,0.8958,0.36813487922772764,0.0,0.0,5.528074350664698e-13,5.447107180940567e-13,3,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1713001681.1141372,0.8961,0.36884807692840693,0.0,0.0,5.52860697592728e-13,5.378937756943159e-13,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1713001689.1857226,0.8951,0.36850849967449906,0.0,0.0,5.186648744286097e-13,6.2282431546639e-13,3,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1713001697.1995878,0.8952,0.36861613634973767,0.0,0.0,3.057508976352415e-14,2.980054978905381e-14,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1713001705.5021303,0.8954,0.3677490076050162,0.0,0.0,1.9896489033576545e-16,1.7850332169609136e-16,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1713001713.8747997,0.8958,0.3667289106175303,0.0,0.0,2.4336919121203296e-16,2.6968372809626658e-16,4,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1713001721.3191442,0.8952,0.36763506587594746,0.0,0.0,2.999453488139085e-15,3.005283826795064e-15,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1713001729.3132482,0.8942,0.3723621241748333,0.0,0.0,2.416457926839977e-16,2.3142026228278727e-16,1,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1713001736.6183271,0.8939,0.37480967827141287,0.0,0.0,9.350702534144393e-17,1.0747466867225084e-16,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1713001744.534168,0.8938,0.3748735623434186,0.0,0.0,2.3381566330930364e-14,2.3409118142943252e-14,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1713001752.2548494,0.894,0.37498749438673257,0.0,0.0,9.900628194705804e-17,9.926735961288722e-17,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1713001760.1281881,0.8948,0.3728235768154263,0.0,0.0,7.450533388644113e-17,7.623043159162936e-17,4,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1713001767.7225974,0.8951,0.3725234459154308,0.0,0.0,5.5819290938833494e-18,5.9481821630382474e-18,4,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1713001775.9221838,0.8945,0.3749633071012795,0.0,0.0,6.93547037774163e-17,7.32654883341908e-17,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1713001783.587386,0.8943,0.3759157220833004,0.0,0.0,3.824828711540617e-17,2.779314051139741e-17,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1713001791.630095,0.8934,0.3781663322821259,0.0,0.0,3.3526457399331075e-15,3.3238643369442833e-15,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1713001799.498166,0.8929,0.379110018722713,37.05716323852539,36.835731506347656,74.95830348494083,74.95830348494083,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1713001807.4624848,0.8918,0.38010404957458377,0.0,0.0,1.059205531278681e-13,1.0977085168341124e-13,5,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1713001815.2971027,0.8917,0.3809971070848405,37.72039031982422,37.979148864746094,66.18727528561026,66.18727528561026,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1713001823.0784664,0.8911,0.3833585771732032,0.0,0.0,5.280377709930266e-16,7.236332147502079e-16,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1713001830.5778291,0.8901,0.38644986487925054,0.0,0.0,6.260508770970564e-14,4.6025535465658644e-14,5,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1713001838.3681033,0.8914,0.38372486298903824,0.0,0.0,5.065708011415854e-18,5.228768356306875e-18,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1713001846.1249118,0.8904,0.3871602359227836,0.0,0.0,4.063878503456508e-15,4.024947030616746e-15,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1713001854.5791395,0.8906,0.3883917948231101,0.0,0.0,5.635544390569165e-16,6.005530559938299e-16,4,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31738],34,0,1713001861.957097,0.8895,0.3908186597749591,0.0,0.0,1.8250429476157393e-15,1.340908893465539e-15,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13161],35,0,1713001869.0113258,0.89,0.3895733688957989,0.0,0.0,2.4377875889428323e-19,2.26748588625333e-19,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23487],36,0,1713001876.470166,0.8893,0.3906062122434378,0.0,0.0,1.1862332756986132e-15,1.1359845443721404e-15,1,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38161],37,0,1713001883.9621425,0.8891,0.390443196054548,0.0,0.0,2.663975825728549e-14,2.803165133013934e-14,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3264],38,0,1713001891.8267558,0.888,0.3909205655567348,0.0,0.0,1.8755128260729568e-16,2.1785586188657962e-16,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21854],39,0,1713001899.7474854,0.8882,0.3898563409224153,0.0,0.0,1.438544499494723e-19,1.516937457249778e-19,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23490],40,0,1713001907.1624453,0.8885,0.3902438415214419,0.0,0.0,2.7171166681756775e-14,3.318469085957955e-14,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20117],41,0,1713001914.9462287,0.888,0.39284554896876217,0.0,0.0,1.955546983640347e-16,2.10162091148449e-16,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54444],42,0,1713001922.7863088,0.8876,0.39357598293572665,39.13744354248047,39.26668930053711,65.22588154003681,65.22588154003681,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45921],43,0,1713001930.66047,0.8883,0.3924365103244781,0.0,0.0,7.14974794509984e-17,7.316016612492397e-17,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36220],44,0,1713001937.8223913,0.8883,0.3927626651711762,0.0,0.0,1.0008234901016776e-15,1.0338285729573275e-15,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41626],45,0,1713001946.0027125,0.8887,0.3908932608552277,0.0,0.0,9.6076239068187e-16,9.610076549847387e-16,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10208],46,0,1713001953.7663848,0.8884,0.3900189994834363,0.0,0.0,1.300778290347781e-15,1.2789451106097708e-15,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18849],47,0,1713001961.411368,0.8879,0.3918940174393356,0.0,0.0,9.126113077180157e-16,1.0346338549318064e-15,6,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12368],48,0,1713001969.012627,0.8889,0.39024683544412253,49.07380294799805,49.43534469604492,81.72507428169935,81.72507428169935,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[46581],49,0,1713001976.596456,0.8873,0.39688906390219925,0.0,0.0,4.441818250902307e-16,4.0858020759309943e-16,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18486],50,0,1713001984.2770264,0.8859,0.39954997040331364,40.07701873779297,39.98090744018555,75.27588176976005,75.27588176976005,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[24053],51,0,1713001992.006135,0.8864,0.398592468444258,0.0,0.0,3.582898340155783e-14,3.6983031141592253e-14,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50000],52,0,1713001999.4362898,0.8865,0.39901283783838154,0.0,0.0,5.883446837900954e-20,6.714696872016732e-20,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1578],53,0,1713002007.394366,0.8866,0.4006550036370754,0.0,0.0,1.0514748609230935e-18,1.053173224986813e-18,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22054],54,0,1713002033.9125466,0.8858,0.4043563204817474,0.0,0.0,2.215448647407116e-16,2.0970667946324565e-16,3,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16559],55,0,1713002041.848834,0.8863,0.4042152568697929,0.0,0.0,4.0382743652750036e-17,3.9777896712879906e-17,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22071],56,0,1713002049.559005,0.8858,0.40340634929016234,0.0,0.0,4.1327676169582416e-20,4.1573163999839383e-20,3,8
