dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1713001593.3782263,0.8938,0.37819975735619665,0.0,0.0,7.315436454082078e-16,8.019944580292759e-16,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1713001601.4504967,0.8931,0.3779853455722332,0.0,0.0,7.786815871515264e-15,5.880667856672753e-15,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1713001609.4383936,0.8924,0.38177904235199095,40.341312408447266,40.876651763916016,71.75838280781404,71.75838280781404,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1713001617.218309,0.8906,0.38771053506061437,0.0,0.0,2.5985482406428032e-15,1.9792198136119877e-15,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1713001625.026328,0.8892,0.3882902402430773,0.0,0.0,2.683435663037748e-14,2.886463657493633e-14,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1713001632.170209,0.8892,0.3906820174306631,0.0,0.0,8.201420485729735e-16,8.313909840335578e-16,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1713001639.7294545,0.8889,0.39474417390301825,0.0,0.0,9.535922204025484e-17,1.0594377492246575e-16,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1713001647.23826,0.8902,0.3907584922388196,42.09330749511719,42.208518981933594,73.015566195626,73.015566195626,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1713001655.0821865,0.8877,0.3982058788649738,0.0,0.0,8.839965533984695e-17,8.173087750399934e-17,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1713001662.6343303,0.889,0.39652975713834165,0.0,0.0,2.124652034366612e-17,1.925478207710439e-17,10,2
