dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1713001593.752354,0.8949,0.37358781713992356,0.0,0.0,7.315436454082078e-16,7.32765018457557e-16,3,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1713001601.6032605,0.8948,0.37338372590020297,0.0,0.0,7.491888760785883e-15,7.491989581358978e-15,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1713001609.7520857,0.8945,0.37437672484666107,40.05188751220703,39.85923385620117,70.91308235926473,70.91308235926473,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1713001618.3144088,0.8951,0.3722818003036082,0.0,0.0,3.171810610337143e-14,3.045893811014559e-14,4,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1713001626.2902658,0.8945,0.3733601048588753,0.0,0.0,1.7846607671367693e-13,1.6415710664205102e-13,3,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1713001634.2230215,0.8937,0.37452081507071855,0.0,0.0,2.040598938110334e-14,2.002824369923895e-14,5,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1713001642.158391,0.8944,0.3732805239968002,0.0,0.0,8.386730282649084e-16,9.80149859667531e-16,4,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1713001649.8890707,0.8935,0.373387857619673,39.51628875732422,39.51628875732422,69.15009818338312,69.15009818338312,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1713001657.5223644,0.8949,0.37044294765219093,0.0,0.0,3.549438990912004e-16,3.638944052003009e-16,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1713001665.4625797,0.8948,0.3703743129968643,0.0,0.0,3.7756857331658473e-16,3.775686262619753e-16,2,2
