dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1713169076.6520398,0.8949,0.3737001367844641,29.282621383666992,29.44824981689453,55.58754592762349,55.58754592762349,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1713169082.6394684,0.8946,0.3728670386597514,33.88215255737305,33.79536437988281,55.85763483395173,55.85763483395173,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1713169088.39827,0.8965,0.3684397836215794,33.45137023925781,33.39965057373047,66.10128115392116,66.10128115392116,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1713169094.0264165,0.896,0.369779450725764,40.181575775146484,40.02852249145508,56.07671921502636,56.07671921502636,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1713169100.4106674,0.8951,0.37231648322194816,35.561500549316406,35.40166091918945,67.04763890021154,67.04763890021154,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1713169106.231206,0.8958,0.3707850473932922,37.287803649902344,36.902923583984375,55.25667912004998,55.25667912004998,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1713169112.510337,0.8965,0.36941642239689826,32.64092254638672,32.55944061279297,71.58710573475793,71.58710573475793,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1713169118.6464834,0.8975,0.3666671633720398,33.313114166259766,32.88184356689453,64.95947257572453,64.95947257572453,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1713169124.57602,0.8966,0.36694115279242395,32.76797866821289,32.47017288208008,55.75189869247193,55.75189869247193,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1713169130.2957058,0.8963,0.3675276957452297,42.233428955078125,42.351409912109375,57.38289651339241,57.38289651339241,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56998],10,0,1713169135.8464456,0.896,0.37092517791315915,35.342491149902344,35.50514602661133,62.35067706918245,62.35067706918245,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50978],11,0,1713169141.7945447,0.8962,0.37099022455513475,40.90271759033203,41.13190460205078,58.64306187508385,58.64306187508385,2,5
