dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1713147441.4050207,0.8938,0.37650382341817024,0.0,0.0,1.2754407782874123e-11,1.3276791042239672e-11,1,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1713147448.9241211,0.8938,0.3766973434947431,29.423826217651367,29.523773193359375,50.837705556613116,50.837705556613116,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1713147456.071422,0.8932,0.37983249928802254,32.0571174621582,32.18209457397461,61.86581364957387,61.86581364957387,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1713147464.159546,0.8928,0.3791490621864796,31.800687789916992,31.70037269592285,53.24667002965064,53.24667002965064,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1713147470.877708,0.8934,0.37752970261499286,30.22235679626465,30.109163284301758,64.57659879256636,64.57659879256636,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1713147479.0124428,0.8939,0.3765544299967587,33.43357849121094,33.34144592285156,51.54162605777067,51.54162605777067,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1713147486.167072,0.894,0.37665467252954843,0.0,0.0,7.410678897060684e-11,7.44964963308922e-11,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1713147493.7523596,0.8918,0.3821637872606516,33.81598663330078,34.198646545410156,61.392843286138984,61.392843286138984,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1713147501.1965501,0.8922,0.38076714146882296,0.0,0.0,1.1759478332642071e-11,1.213447249638938e-11,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1713147508.3174922,0.893,0.37961261803284285,38.618255615234375,38.190696716308594,52.26352969955548,52.26352969955548,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1713147515.8628597,0.8923,0.3798722942359746,28.470815658569336,28.484798431396484,60.83653477404332,60.83653477404332,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1713147522.5060754,0.8926,0.37881666179746387,30.95448875427246,30.822021484375,50.85257712009489,50.85257712009489,2,3
