dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1713162844.574174,0.8947,0.3747350544668734,0.0,0.0,7.654447344404378e-12,8.48363543159989e-12,3,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1713162852.0580537,0.8942,0.3750227905809879,27.460182189941406,27.181034088134766,63.440863088512685,63.440863088512685,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1713162859.3542278,0.8938,0.37638235595077274,29.951631546020508,29.872392654418945,55.97132220800987,55.97132220800987,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1713162866.7505019,0.8938,0.3767294943332672,31.978626251220703,31.95112419128418,53.78391977095872,53.78391977095872,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1713162874.2373233,0.8933,0.3779040889814496,29.700653076171875,29.479772567749023,52.70212541356282,52.70212541356282,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1713162882.0022871,0.8934,0.3769162451848388,32.588966369628906,32.5505256652832,56.22882015439256,56.22882015439256,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1713162889.2181895,0.8921,0.3808637044392526,0.0,0.0,4.939471813119569e-11,5.005990962658662e-11,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1713162897.0500245,0.8919,0.379942057095468,31.868188858032227,31.932056427001953,52.62347184340871,52.62347184340871,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1713162904.3541558,0.8919,0.3807031074538827,34.97148513793945,34.818756103515625,63.57625888913672,63.57625888913672,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1713162911.9612849,0.8927,0.38099578209221363,35.694820404052734,35.37474060058594,56.79003805754279,56.79003805754279,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15517],10,0,1713162919.6862638,0.8924,0.3806681314483285,36.72612380981445,36.87458038330078,65.70214213271933,65.70214213271933,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56600],11,0,1713162927.2421699,0.8924,0.38003412568941713,27.764739990234375,27.487890243530273,59.08263984502332,59.08263984502332,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38011],12,0,1713162934.8357904,0.8923,0.3784781048074365,32.231529235839844,32.52984619140625,51.46769077966468,51.46769077966468,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13811],13,0,1713162960.1900938,0.8914,0.3788746388629079,33.20098114013672,33.43765640258789,52.77293124033853,52.77293124033853,2,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50595],14,0,1713162967.5315146,0.8908,0.3788379070349038,0.0,0.0,2.783210497084282e-12,3.0001785446938018e-12,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38722],15,0,1713162975.1143987,0.8901,0.3805143886245787,33.5535888671875,34.01901626586914,55.53945817865266,55.53945817865266,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15684],16,0,1713162982.6662498,0.8908,0.37923905504867433,32.65861511230469,32.25221633911133,50.38166499271558,50.38166499271558,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49393],17,0,1713163016.566203,0.8914,0.37945695910602806,33.327850341796875,33.11330795288086,50.86889389836207,50.86889389836207,2,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[4280],18,0,1713163023.8464584,0.8905,0.3817403596825898,0.0,0.0,2.55642979622772e-13,2.0692777710832042e-13,5,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50737],19,0,1713163032.1702342,0.8907,0.3785869004204869,35.979034423828125,35.9454345703125,61.67302362202854,61.67302362202854,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43035],20,0,1713163039.7223704,0.89,0.38013287745416163,35.327903747558594,35.07014846801758,63.79601135945292,63.79601135945292,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26854],21,0,1713163047.3720136,0.8893,0.38108362499624493,0.0,0.0,8.113304439550789e-13,8.757511232691779e-13,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5911],22,0,1713163078.6223671,0.8898,0.380063627846539,36.55914306640625,36.350284576416016,63.77896766774682,63.77896766774682,2,5
