dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42977],0,0,1713228068.7289078,0.892,0.3828510191291571,33.44400405883789,33.663902282714844,69.82559453210767,69.82559453210767,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49073],1,0,1713228074.3112094,0.8927,0.380948568880558,34.4138069152832,34.906044006347656,70.69804500325029,70.69804500325029,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12245],2,0,1713228079.6855235,0.8943,0.3761319066397846,34.59596252441406,34.63810348510742,69.78265748491407,69.78265748491407,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[361],3,0,1713228085.1154988,0.8938,0.3768533818423748,34.58989334106445,34.55006408691406,69.6889725317485,69.6889725317485,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47526],4,0,1713228090.970931,0.8922,0.38068049494177103,36.140892028808594,36.113731384277344,71.41166398916515,71.41166398916515,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56209],5,0,1713228096.8810112,0.8915,0.38290903391316533,34.386512756347656,34.463966369628906,59.70652068348569,59.70652068348569,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26142],6,0,1713228102.254075,0.8921,0.3805626634508371,32.544578552246094,32.55276870727539,60.65450862305992,60.65450862305992,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50315],7,0,1713228107.8063447,0.8902,0.38812730126082895,37.77693176269531,38.07253646850586,70.85557580234205,70.85557580234205,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11861],8,0,1713228113.5117438,0.8913,0.3847610356286168,39.48659896850586,39.27812957763672,68.62230112001524,68.62230112001524,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54520],9,0,1713228118.9997392,0.8922,0.3804585554637015,38.810096740722656,39.242347717285156,69.32422566672284,69.32422566672284,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34953],10,0,1713228124.405915,0.8907,0.38538361312821506,40.81438064575195,41.325443267822266,69.37599559980902,69.37599559980902,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48362],11,0,1713228129.7788608,0.8928,0.3811803817749023,38.05484390258789,38.5184211730957,68.24518440662783,68.24518440662783,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43300],12,0,1713228135.6050296,0.8917,0.3827416872605681,40.19163513183594,40.1381721496582,69.62113068385965,69.62113068385965,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5412],13,0,1713228140.700289,0.8929,0.3796398987993598,41.76272201538086,41.572425842285156,68.78253785179703,68.78253785179703,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17036],14,0,1713228146.7258713,0.8908,0.38627953119575975,34.092926025390625,34.58389663696289,62.02235852888608,62.02235852888608,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36740],15,0,1713228152.606658,0.8903,0.3870804554782808,33.34375762939453,33.49592590332031,58.39406921895151,58.39406921895151,2,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8268],16,0,1713228158.0785348,0.8907,0.3844814247451723,40.68977355957031,40.30696487426758,68.70772458576842,68.70772458576842,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3383],17,0,1713228163.599722,0.8902,0.38534976495429873,41.168399810791016,41.18583297729492,68.45012709293168,68.45012709293168,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[59422],18,0,1713228169.4630208,0.891,0.3835871537216008,35.48960876464844,35.37849807739258,59.096220090866005,59.096220090866005,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22781],19,0,1713228174.9685473,0.8904,0.3860838649794459,38.89498519897461,39.283565521240234,69.18714640648149,69.18714640648149,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28181],20,0,1713228180.7113876,0.8906,0.38440793547779323,42.23532485961914,41.913570404052734,67.50281478487221,67.50281478487221,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[767],21,0,1713228186.1760356,0.8905,0.3855710865929723,34.44073486328125,34.7540397644043,59.643592042419854,59.643592042419854,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1298],22,0,1713228191.4198682,0.8905,0.38442218098789455,37.740631103515625,37.65119552612305,61.680933224078906,61.680933224078906,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21424],23,0,1713228196.9093425,0.8903,0.38498587645590304,43.74081039428711,43.19161605834961,67.60933593148235,67.60933593148235,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[27490],24,0,1713228202.2487743,0.8897,0.3875147633254528,35.09178924560547,35.4759521484375,61.58657101999258,61.58657101999258,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41171],25,0,1713228207.561743,0.8888,0.3880184077657759,33.932682037353516,34.1369514465332,58.16894631577438,58.16894631577438,2,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20062],26,0,1713228213.20021,0.8887,0.39009643737226724,33.75154495239258,34.45670700073242,61.49184659179627,61.49184659179627,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29489],27,0,1713228218.9310815,0.8881,0.39281938103958963,36.583221435546875,36.405479431152344,61.75096411639708,61.75096411639708,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31607],28,0,1713228224.9099674,0.8874,0.39638568451628087,43.33448791503906,43.13912582397461,67.6568795504044,67.6568795504044,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[32875],29,0,1713228230.591614,0.8875,0.3984115910716355,41.278499603271484,41.42976379394531,66.32377219593971,66.32377219593971,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18966],30,0,1713228235.8297133,0.888,0.39593632984906435,44.73902893066406,44.69902420043945,66.93024868641281,66.93024868641281,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48759],31,0,1713228241.583733,0.8872,0.39694829303771256,42.64481735229492,42.71760177612305,68.11908239070905,68.11908239070905,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[27549],32,0,1713228247.0327241,0.8873,0.397052388638258,39.391998291015625,39.745548248291016,63.95781022224136,63.95781022224136,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53761],33,0,1713228252.433316,0.8888,0.39415285382419823,40.28061294555664,39.826271057128906,66.85485660536823,66.85485660536823,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54048],34,0,1713228258.1369946,0.8889,0.3932146579027176,43.370704650878906,43.20711898803711,67.44966484112646,67.44966484112646,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31343],35,0,1713228263.261819,0.8891,0.3916961976327002,35.73944854736328,35.68966293334961,62.09656563308489,62.09656563308489,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2506],36,0,1713228268.5887916,0.8894,0.3899202180095017,45.753299713134766,45.421722412109375,66.48369380140983,66.48369380140983,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11264],37,0,1713228274.1076248,0.8899,0.3903298558667302,34.349063873291016,34.25006866455078,59.29813159463335,59.29813159463335,2,3
