dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1713169076.2170272,0.8939,0.37819016445428133,29.282621383666992,28.893966674804688,55.58754592762349,55.58754592762349,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1713169082.290943,0.8931,0.3779554033651948,33.68166732788086,34.01121139526367,56.178905390833506,56.178905390833506,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1713169088.4258265,0.8924,0.3817286853678524,35.08115768432617,34.47515869140625,67.44387540376184,67.44387540376184,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1713169094.173469,0.8906,0.3876555615104735,39.14826583862305,39.15520095825195,57.62784041353411,57.62784041353411,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1713169099.8626156,0.8892,0.3882150061428547,36.84439468383789,36.6042366027832,65.89205491518301,65.89205491518301,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1713169105.9072068,0.8892,0.3905995541252196,39.57271194458008,39.729393005371094,59.53042278773512,59.53042278773512,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1713169111.4290166,0.889,0.3946676902472973,35.74775695800781,35.645450592041016,69.30832931802072,69.30832931802072,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1713169117.0464659,0.8902,0.39066700991243125,35.247772216796875,35.25879669189453,63.84416771416654,63.84416771416654,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1713169122.6661065,0.8877,0.398099369648844,36.416690826416016,36.08769607543945,60.07107353994165,60.07107353994165,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1713169128.3405654,0.889,0.39642530102282764,42.04079055786133,42.08233642578125,58.7159128702926,58.7159128702926,10,1
