dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1713147441.4137285,0.8938,0.37819975735619665,0.0,0.0,1.2754407782874123e-11,1.5978707111764715e-11,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1713147448.819865,0.8931,0.37796616461127996,29.23790168762207,29.60487174987793,50.32680459246711,50.32680459246711,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1713147456.3367321,0.8924,0.3817530838772655,33.69495391845703,33.417179107666016,62.55173252370355,62.55173252370355,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1713147463.685907,0.8906,0.3876804101280868,32.740631103515625,33.07058334350586,55.55270614106083,55.55270614106083,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1713147471.3635767,0.8892,0.3882380653172731,33.13966369628906,32.63570022583008,60.79889389268819,60.79889389268819,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1713147478.1032722,0.8892,0.39061497189104555,33.635746002197266,33.68316650390625,51.929359529925826,51.929359529925826,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1713147485.1611373,0.8891,0.3946553667075932,34.29987716674805,34.3721809387207,62.24660843465035,62.24660843465035,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1713147492.230199,0.8902,0.39066267367452384,36.468414306640625,36.65625,63.06133839109017,63.06133839109017,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1713147499.9951499,0.8877,0.3980913468636572,35.63309097290039,35.899688720703125,60.98249913739795,60.98249913739795,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1713147507.3949666,0.889,0.3964066307991743,40.3756103515625,40.516197204589844,53.65587044640805,53.65587044640805,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1713147514.5353844,0.8889,0.39541077623143794,32.670936584472656,32.74333953857422,57.13815155219742,57.13815155219742,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1713147521.8977623,0.8889,0.3905771295540035,37.3342170715332,37.14320755004883,61.0281754884568,61.0281754884568,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16573],12,0,1713147529.434378,0.8888,0.392191749624908,36.960689544677734,36.430667877197266,58.352272408708295,58.352272408708295,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23278],13,0,1713147537.0234365,0.8874,0.3948100633919239,40.328006744384766,40.50508117675781,56.863249933746104,56.863249933746104,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41377],14,0,1713147545.0249817,0.8881,0.3958060800097883,36.935089111328125,36.60282897949219,58.22860200466365,58.22860200466365,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58197],15,0,1713147552.0662591,0.8879,0.39423081586137415,33.05003356933594,32.899410247802734,58.952546443481936,58.952546443481936,10,4
