dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1713162845.4105015,0.8938,0.37819975735619665,0.0,0.0,7.654447344404378e-12,8.969768024306795e-12,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1713162853.194608,0.8931,0.3779853455722332,0.0,0.0,5.655493035423143e-11,4.9427723775153726e-11,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1713162860.6535962,0.8924,0.38178428914397955,0.0,0.0,5.7911440407395925e-12,3.935361403663006e-12,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1713162868.2993891,0.8906,0.3877124319784343,32.74205780029297,33.07200622558594,55.55270614106083,55.55270614106083,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1713162875.9262788,0.8891,0.388290445599705,0.0,0.0,1.1317530921818426e-13,1.6126759149815568e-13,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1713162883.4423754,0.8892,0.3906777024269104,33.9488410949707,34.117984771728516,57.84110571887781,57.84110571887781,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1713162892.0388827,0.8889,0.3947515876032412,33.34321975708008,33.49741744995117,58.05039394610929,58.05039394610929,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1713162899.0704956,0.8902,0.3907713398337364,0.0,0.0,5.804873442440824e-14,4.868844981466705e-14,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1713162906.4263217,0.8877,0.398195387981832,37.02219772338867,36.66751480102539,63.42363638392279,63.42363638392279,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1713162914.529841,0.889,0.3965207320638001,0.0,0.0,2.693331680895321e-14,2.5441522060023843e-14,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15517],10,0,1713162922.73423,0.8889,0.3954970073886216,38.551185607910156,38.147926330566406,64.21687569337224,64.21687569337224,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56600],11,0,1713162930.702317,0.8889,0.39066571509465575,37.5117073059082,37.34165573120117,63.10147036133669,63.10147036133669,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38011],12,0,1713162956.9661443,0.8889,0.39227790366858245,0.0,0.0,1.3632680572997083e-14,1.1494437970901568e-14,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13811],13,0,1713162965.134483,0.8874,0.39490498499944804,0.0,0.0,2.882847569386531e-15,3.370855181045552e-15,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50595],14,0,1713162973.206371,0.8881,0.3959136185236275,0.0,0.0,1.0674707648204927e-13,7.796735813884494e-14,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38722],15,0,1713162981.038447,0.8879,0.3943261316977441,37.465755462646484,37.281558990478516,59.00128044282977,59.00128044282977,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15684],16,0,1713163014.8563297,0.887,0.3969369363039732,34.355770111083984,34.23534393310547,51.888240917880616,51.888240917880616,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49393],17,0,1713163022.951798,0.8859,0.4011538906022906,0.0,0.0,1.7230964523184046e-15,1.6644130210147487e-15,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[4280],18,0,1713163030.4862962,0.8834,0.40667083747684957,0.0,0.0,1.1988628593141742e-15,1.302023926332551e-15,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50737],19,0,1713163038.3609118,0.8823,0.40721358340233565,0.0,0.0,1.2917348028335362e-12,1.5587045240104672e-12,10,1
