dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42977],0,0,1713228068.9739556,0.8939,0.37817694190889595,33.44400405883789,33.497291564941406,69.82559453210767,69.82559453210767,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49073],1,0,1713228074.3631659,0.8931,0.3779396818950772,34.506568908691406,34.34869384765625,70.95788088768452,70.95788088768452,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12245],2,0,1713228079.4180036,0.8924,0.3817154419608414,34.315155029296875,33.68783950805664,68.82279728877305,68.82279728877305,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[361],3,0,1713228084.905417,0.8906,0.3876208419911563,34.00517272949219,33.834110260009766,67.41704109746249,67.41704109746249,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47526],4,0,1713228090.6448748,0.8892,0.38817772613838314,35.72572326660156,35.70973205566406,68.66844916047297,68.66844916047297,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56209],5,0,1713228096.6972795,0.8892,0.3905960453674197,35.56031036376953,35.57909393310547,61.44593360759974,61.44593360759974,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26142],6,0,1713228102.3014286,0.889,0.39464061576873066,34.118709564208984,34.39452362060547,63.06855016964918,63.06855016964918,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50315],7,0,1713228107.7587023,0.8902,0.3906468581408262,37.75997543334961,37.782135009765625,68.20000521288193,68.20000521288193,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11861],8,0,1713228113.2116046,0.8877,0.39805336119607093,38.24826431274414,38.253971099853516,67.12705087647339,67.12705087647339,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54520],9,0,1713228118.6756337,0.889,0.3963674991391599,37.81292724609375,37.453086853027344,66.72879386939375,66.72879386939375,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34953],10,0,1713228123.999419,0.8889,0.3953482667915523,39.04892349243164,38.5871696472168,67.43386021157747,67.43386021157747,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48362],11,0,1713228129.5201588,0.8889,0.3905245459638536,36.699649810791016,36.778995513916016,66.8273435395343,66.8273435395343,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43300],12,0,1713228135.2742383,0.8888,0.3921209627762437,37.70058822631836,37.219486236572266,68.0066875321175,68.0066875321175,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5412],13,0,1713228140.6662812,0.8874,0.3947225846350193,39.85420227050781,40.05366134643555,67.43070996466619,67.43070996466619,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17036],14,0,1713228146.9084575,0.8882,0.39575370037928226,36.62788009643555,37.29682540893555,65.0919866962893,65.0919866962893,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36740],15,0,1713228152.5647163,0.888,0.3941819440573454,36.38241958618164,36.35845184326172,59.49203107521571,59.49203107521571,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8268],16,0,1713228158.251659,0.8871,0.3967735651880503,39.34840774536133,39.45341491699219,65.8586077303362,65.8586077303362,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3383],17,0,1713228163.6138406,0.8862,0.40096969734877347,39.294071197509766,39.728816986083984,67.11387020938258,67.11387020938258,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[59422],18,0,1713228169.238854,0.8834,0.4064572611823678,39.885047912597656,39.980003356933594,61.72650688176559,61.72650688176559,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22781],19,0,1713228175.166464,0.8824,0.40696423407644033,39.144405364990234,39.46470260620117,67.71841244130094,67.71841244130094,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28181],20,0,1713228180.4053175,0.8864,0.39685476049780843,41.51706314086914,40.863365173339844,66.18110451465724,66.18110451465724,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[767],21,0,1713228185.7469304,0.884,0.40173581764101984,39.93844985961914,39.8811149597168,62.06566697612096,62.06566697612096,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1298],22,0,1713228191.5419607,0.8838,0.4024669244885445,42.170814514160156,42.433895111083984,62.36132115070963,62.36132115070963,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21424],23,0,1713228196.5563996,0.8827,0.4073752224445343,43.448482513427734,43.45124053955078,66.21546709295963,66.21546709295963,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[27490],24,0,1713228202.131869,0.8832,0.4064619293436408,41.31684112548828,40.989479064941406,63.7344687311594,63.7344687311594,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41171],25,0,1713228207.6104982,0.8794,0.4127021783962846,36.65339660644531,36.54033660888672,59.735309757865544,59.735309757865544,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20062],26,0,1713228213.3446138,0.8799,0.4139501167461276,38.74462890625,38.84065246582031,63.41965483021538,63.41965483021538,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29489],27,0,1713228218.5117095,0.8812,0.41061015240848064,42.48627853393555,42.48631286621094,63.73834350939736,63.73834350939736,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31607],28,0,1713228223.842023,0.8842,0.4051066551357508,45.21626281738281,45.061676025390625,66.62921452842029,66.62921452842029,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[32875],29,0,1713228229.1869814,0.8814,0.413291996717453,42.609169006347656,42.4898681640625,65.38664095233308,65.38664095233308,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18966],30,0,1713228234.2496114,0.8792,0.4181511478498578,44.017547607421875,44.033058166503906,65.69244741920744,65.69244741920744,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48759],31,0,1713228239.6391554,0.8786,0.41842570826411246,43.138099670410156,43.22038269042969,66.40297021042062,66.40297021042062,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[27549],32,0,1713228244.8452203,0.881,0.41354636531323197,44.46692657470703,44.272865295410156,62.99115037862366,62.99115037862366,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53761],33,0,1713228250.1633093,0.8783,0.42163211200386286,41.9932746887207,41.828590393066406,66.27253721323446,66.27253721323446,10,0
