dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1713147441.733851,0.8934,0.3766179358586669,0.0,0.0,1.2754407782874123e-11,1.2770096852193685e-11,1,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1713147449.298708,0.8936,0.37646519802510736,29.62155532836914,29.48493194580078,51.42296129092472,51.42296129092472,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1713147456.322452,0.8927,0.3790451097302139,0.0,0.0,1.7347437078425573e-11,1.7778074402388496e-11,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1713147464.075117,0.893,0.3785283722914755,32.26708221435547,32.26708221435547,63.232880438501,63.232880438501,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1713147471.354811,0.8934,0.37812096662819383,30.568252563476562,30.571369171142578,64.14199611295528,64.14199611295528,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1713147479.2087407,0.8933,0.3783189522102475,33.53166198730469,33.53166198730469,63.7344763586755,63.7344763586755,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1713147487.4038234,0.8927,0.3801929566077888,0.0,0.0,6.006103853203809e-11,4.521015315870287e-11,3,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1713147495.4048488,0.8943,0.3775563917122781,28.98151969909668,28.71255874633789,61.73233420931222,61.73233420931222,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1713147502.9381819,0.8945,0.3781192420050502,33.122955322265625,33.122955322265625,60.751112492169355,60.751112492169355,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1713147510.8142562,0.8942,0.3771537421271205,39.21769332885742,39.43833541870117,53.314139688845245,53.314139688845245,2,9
