dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1713162844.9021137,0.8939,0.3762317784130573,0.0,0.0,7.654447344404378e-12,7.684802107107759e-12,3,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1713162852.4850006,0.8934,0.37735669799149035,28.355308532714844,28.196468353271484,61.9848621825548,61.9848621825548,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1713162860.698566,0.8939,0.37487212419509885,30.311561584472656,30.311561584472656,56.630442624883514,56.630442624883514,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1713162868.7085326,0.8935,0.37571857320144775,32.19122314453125,32.19122314453125,62.445753043669605,62.445753043669605,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1713162876.3139336,0.8939,0.37607045331969857,0.0,0.0,2.8821979096098087e-13,2.867827939932569e-13,3,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1713162883.8104565,0.8937,0.374185286834836,0.0,0.0,2.487504319793579e-11,2.8593639497672332e-11,4,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1713162891.154558,0.8932,0.37470222245901824,31.867891311645508,31.74319076538086,56.448923659138686,56.448923659138686,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1713162899.0622077,0.893,0.3770615884102881,0.0,0.0,4.418797538297215e-13,4.418797538297215e-13,1,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1713162907.3305054,0.8932,0.3762757648713887,29.427085876464844,29.427085876464844,60.80162066330506,60.80162066330506,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1713162914.9502468,0.8932,0.3756362384185195,0.0,0.0,3.3929198526424844e-13,3.3713576171785453e-13,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15517],10,0,1713162923.061193,0.8923,0.375011979509145,35.5155029296875,35.5155029296875,65.88390859897343,65.88390859897343,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56600],11,0,1713162930.8224247,0.8926,0.3746428836137056,29.882413864135742,29.882413864135742,60.028452307838116,60.028452307838116,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38011],12,0,1713162957.2419488,0.8929,0.37286421479657295,0.0,0.0,1.2318116910513995e-12,1.2283064034395452e-12,3,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13811],13,0,1713162965.202297,0.8926,0.3748157450929284,33.52210998535156,33.226261138916016,52.819846620852985,52.819846620852985,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50595],14,0,1713162973.1262946,0.892,0.37727651428431275,0.0,0.0,3.5655043485112976e-12,3.736221749752537e-12,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38722],15,0,1713162980.8747087,0.8921,0.3774433175101876,34.251346588134766,34.40128707885742,58.4001480630725,58.4001480630725,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15684],16,0,1713163015.9743114,0.8924,0.376848141849041,31.840524673461914,31.840524673461914,49.85532437263054,49.85532437263054,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49393],17,0,1713163024.174363,0.8931,0.3762070938013494,32.921939849853516,32.921939849853516,51.12335837102392,51.12335837102392,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[4280],18,0,1713163031.9423804,0.8918,0.38082575863227247,0.0,0.0,1.9717650554706402e-13,2.1095079842296136e-13,4,3
