dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[15281],0,0,1712475382.3495014,0.892,0.3794807790778577,4.463226795196533,4.664958953857422,33.7696718277301,33.87016048016593,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[21435],1,0,1712475389.7018814,0.892,0.37943551065400244,6.338149547576904,6.228324890136719,25.23266598542801,25.520594157976014,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[44536],2,0,1712475397.8142457,0.8942,0.37401065453886984,11.168842315673828,11.12861156463623,31.208544826476654,31.348855109815275,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[13518],3,0,1712475405.248818,0.8951,0.3727909453213215,5.847593307495117,5.940392971038818,43.62497284013267,43.632602407686214,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[47529],4,0,1712475412.2594388,0.8947,0.37308627311140297,1.4387677907943726,1.470776081085205,29.659348784025344,29.438926075598715,3,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[53560],5,0,1712475419.479029,0.8934,0.3750439760275185,3.6921887397766113,3.7087295055389404,47.41401846994114,47.58897921281618,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[41094],6,0,1712475427.2407548,0.8903,0.39035998890176415,8.079197883605957,8.742369651794434,41.6539717595258,41.665846112776975,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[6060],7,0,1712475435.5977533,0.8897,0.392024097032845,11.9873046875,11.783119201660156,34.72598706698132,34.71221985813937,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[9358],8,0,1712475443.1586373,0.8897,0.3915780421346426,8.9529447555542,9.360061645507812,39.66338702126747,39.668104982192155,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[49039],9,0,1712475450.0262983,0.8895,0.3940054251812398,4.2646379470825195,4.652643203735352,42.77211210926379,42.968925254163956,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[57207],10,0,1712475458.148321,0.8885,0.39574264325201514,3.4075255393981934,3.6033034324645996,25.619872179236776,26.14286943672837,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[9870],11,0,1712475465.654002,0.8894,0.3954633757472038,8.061382293701172,8.071160316467285,28.224631306660687,28.2177963675106,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[11395],12,0,1712475472.8875875,0.8887,0.3961732043884695,9.205373764038086,8.91323471069336,25.527115538810072,25.524454519794013,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[19191],13,0,1712475480.0799603,0.8881,0.3976574308238924,9.334878921508789,9.10326099395752,26.948631369883824,26.934182497211193,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[53261],14,0,1712475487.5819998,0.8884,0.3956870929338038,7.501104354858398,6.908205032348633,42.56389934639152,42.44254489555649,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[16683],15,0,1712475495.1354575,0.8877,0.39704547272995117,7.133018493652344,7.443665027618408,35.85865741283729,35.91740662387278,2,6
