dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[15281],0,0,1712475382.4463828,0.8904,0.383504391182214,4.463226795196533,4.200331687927246,33.7696718277301,33.623314243245645,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[21435],1,0,1712475389.7634685,0.89,0.3847626389935613,6.078808784484863,6.4951019287109375,24.70050845476648,24.992301335860702,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[44536],2,0,1712475397.268495,0.8887,0.3943325341679156,11.873262405395508,12.51534652709961,32.34287728494793,32.36739095373562,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[13518],3,0,1712475404.8588352,0.8845,0.41057083290070295,6.209653377532959,5.495341777801514,43.375041593831945,43.25361294712083,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[47529],4,0,1712475411.9435215,0.883,0.4143003599718213,2.9364583492279053,3.537511110305786,37.59009925981896,38.451575579706976,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[53560],5,0,1712475419.697198,0.881,0.4186798710376024,4.463932991027832,4.53422737121582,48.11685815536789,47.98135070293828,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[41094],6,0,1712475427.4983299,0.8781,0.43074658177793024,9.090803146362305,8.962583541870117,41.2429086717557,41.24419879771804,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[6060],7,0,1712475434.4063256,0.8821,0.42402973510324954,13.358407020568848,13.649065971374512,34.235027655898705,34.23782240255134,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[9358],8,0,1712475442.2103806,0.8728,0.44476852621883156,10.95611572265625,10.90490436553955,39.5756319688459,39.5746738687755,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[49039],9,0,1712475449.579566,0.8718,0.4423587813973427,5.83664608001709,6.518673419952393,43.08034408997635,43.143163850230216,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[57207],10,0,1712475457.6944785,0.8699,0.44506689812988043,7.326239109039307,7.020891189575195,28.284289784432005,28.249327125232856,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[9870],11,0,1712475465.4256778,0.8724,0.4359940176829696,10.22253131866455,10.46971321105957,28.04191279869687,28.04263278776031,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[11395],12,0,1712475473.3580232,0.8729,0.4402170304208994,12.661579132080078,12.914727210998535,25.25394556349064,25.253821393187167,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[19191],13,0,1712475481.1613111,0.8693,0.4508916292339563,12.022027015686035,12.059004783630371,26.62451496004689,26.63071109635398,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[53261],14,0,1712475488.795813,0.8664,0.4536961827427149,11.389860153198242,10.920004844665527,42.61221920048435,42.60744056857668,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[16683],15,0,1712475496.575718,0.8656,0.4543001249432564,7.7668561935424805,7.597757816314697,35.49896399893565,35.50728658757634,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[29618],16,0,1712475504.3857794,0.8638,0.4626945912837982,8.599210739135742,8.235198974609375,43.20681201301709,43.203518169822146,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[17209],17,0,1712475512.1542244,0.8547,0.48112436681985854,5.855466842651367,6.048455238342285,35.52199265741166,35.53928304198787,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[44969],18,0,1712475519.778236,0.8485,0.4994095165282488,7.588356971740723,7.33212423324585,37.249526577907936,37.244109626999986,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[41883],19,0,1712475527.953435,0.8465,0.504862617701292,12.814537048339844,13.060235977172852,34.978458921716204,34.97868417112598,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[52664],20,0,1712475535.9132502,0.855,0.4759906992316246,16.049409866333008,16.220382690429688,41.55941192246576,41.56066768326049,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[11426],21,0,1712475543.8222163,0.8533,0.48784919902682305,13.670638084411621,13.665435791015625,37.9589098082527,37.95861968393845,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[6718],22,0,1712475551.3717563,0.8488,0.4930868733674288,12.502081871032715,12.690354347229004,33.914567860847534,33.914701487785315,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[25555],23,0,1712475558.786253,0.843,0.5122247379273176,9.648447036743164,9.526582717895508,33.43771057787701,33.31415567935898,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[58248],24,0,1712475565.8747969,0.845,0.5117047127336264,11.546391487121582,11.359201431274414,29.80389165947379,29.773975739180003,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[19358],25,0,1712475573.7823389,0.8392,0.5302513912320137,12.010174751281738,11.398252487182617,40.97292687626393,40.9598499409931,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[21687],26,0,1712475581.4424598,0.8375,0.5370742212980986,17.498931884765625,17.57852554321289,46.76853226103448,46.77083738970707,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[47925],27,0,1712475588.9384205,0.8416,0.5289787612855434,12.553264617919922,12.726359367370605,22.558525909621697,22.557790132648726,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[14876],28,0,1712475596.9370873,0.8464,0.5155652787536382,13.947734832763672,13.686850547790527,39.64952084212583,39.640375014215564,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[20982],29,0,1712475604.5977836,0.8395,0.5421571090817452,15.115798950195312,15.701414108276367,39.70633868438108,39.70705248453166,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[54591],30,0,1712475611.7985444,0.8334,0.5674252457916736,11.306937217712402,11.353862762451172,26.982574593069206,26.975297633033378,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[1818],31,0,1712475619.7478228,0.8357,0.5635795347392559,18.714231491088867,18.682287216186523,34.93571730593073,34.935709677964134,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[45104],32,0,1712475627.6021664,0.8382,0.5522387273609638,15.993414878845215,16.066112518310547,41.9148974209452,41.91487833418576,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[33785],33,0,1712475635.29425,0.8292,0.5799084283411503,17.676286697387695,17.682769775390625,34.71920056518938,34.71981905297214,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[31738],34,0,1712475642.780453,0.8219,0.6054738570004702,8.093107223510742,7.5698652267456055,42.88749409953875,42.84865465198025,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[13161],35,0,1712475650.286699,0.8246,0.5951656013727188,11.331816673278809,11.34175968170166,32.56891846700731,32.55768508306715,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[23487],36,0,1712475658.2103827,0.8286,0.5801650065928697,15.800753593444824,15.825209617614746,34.221562849918115,34.22150557981281,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[38161],37,0,1712475665.9422388,0.8181,0.6217458859086037,16.976102828979492,17.003406524658203,35.089321110400455,35.082666694865196,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[3264],38,0,1712475673.7472937,0.8133,0.638119938224554,13.527196884155273,13.805245399475098,41.366974366448574,41.366497249692934,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[21854],39,0,1712475681.3060994,0.8126,0.6430914156138897,6.498894214630127,6.273523807525635,39.66238333186909,39.65151218516288,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[23490],40,0,1712475689.1029527,0.8092,0.6520525053143501,14.187382698059082,14.020315170288086,22.780776663260113,22.781338503101164,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[20117],41,0,1712475696.5614088,0.798,0.6849735856056214,14.627701759338379,14.259224891662598,45.986640093397064,45.98662864372003,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[54444],42,0,1712475703.4868503,0.7951,0.6924916431307793,16.032522201538086,15.959370613098145,41.46914314417461,41.46893703048566,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[45921],43,0,1712475710.4984946,0.7862,0.7221669040620327,12.581883430480957,12.635034561157227,46.0694907593329,46.07154021852956,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[36220],44,0,1712475718.4142232,0.7878,0.7234394744038581,14.189901351928711,14.17485237121582,33.74556854628362,33.745469276435045,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[41626],45,0,1712475726.2849662,0.7846,0.7396667823195457,13.08585262298584,12.923164367675781,32.07060027505867,32.07055827535511,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[10208],46,0,1712475734.010417,0.7751,0.7758080169558526,17.131183624267578,17.253440856933594,25.877890805705498,25.87788698367949,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[18849],47,0,1712475741.5462854,0.7834,0.7404503494501113,16.084264755249023,16.028839111328125,34.926546495565916,34.926512138350375,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[12368],48,0,1712475748.9686816,0.7745,0.7852441467344761,23.971900939941406,24.413673400878906,34.35451426409051,34.35451808046154,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[46581],49,0,1712475756.5993178,0.7747,0.780710731446743,21.2921142578125,21.34615707397461,42.24692933602702,42.246646887393695,10,5
