dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[15281],0,0,1712475382.617472,0.8962,0.370718455594033,4.463226795196533,4.464198589324951,33.7696718277301,33.75356004829371,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[21435],1,0,1712475390.849551,0.8955,0.3688510425388813,6.2527265548706055,6.440158367156982,25.60583413554317,26.003675954145155,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[44536],2,0,1712475398.7697022,0.8957,0.3686753665097058,11.477259635925293,11.53233528137207,31.676529053911597,31.70570137098715,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[13518],3,0,1712475407.0494254,0.8957,0.36958525599911807,5.5159993171691895,5.5159993171691895,43.39253792131333,43.39253792131333,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[47529],4,0,1712475415.2636795,0.8965,0.3687722345814109,1.436460256576538,1.6484994888305664,29.708241185272467,31.47887681380552,3,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[53560],5,0,1712475422.7663321,0.8972,0.3676772629842162,3.4034769535064697,3.4034769535064697,47.331147076038505,47.331147076038505,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[41094],6,0,1712475430.5824866,0.8977,0.36661537336185573,7.825213432312012,7.825213432312012,41.8653581806463,41.8653581806463,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[6060],7,0,1712475438.553869,0.8966,0.36986359739676117,11.608098030090332,11.608097076416016,34.509341829691294,34.50936473772908,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[9358],8,0,1712475445.9262743,0.8955,0.372282581590116,9.529820442199707,9.529985427856445,40.04864600002377,40.04535951082623,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.005,0.05,0.01,0.8939,0.37592079723253846,[49039],9,0,1712475453.725973,0.895,0.3733056128025055,1.3703126907348633,1.3703029155731201,31.778705694686487,31.778803022699833,2,2
