dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1712623575.6293187,0.8949,0.37370227379724386,42.018619537353516,41.8543586730957,71.87431740942841,71.87409611303381,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1712623583.1662009,0.8946,0.3728690704330802,49.98707580566406,50.036231994628906,54.90251354124511,54.90251354124511,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1712623590.943602,0.8943,0.3749107039533556,44.325927734375,44.55849075317383,57.63531496873404,57.63531496873404,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1712623598.1944945,0.8939,0.3762899460271001,58.243587493896484,58.162353515625,60.66104903943256,60.66104903943256,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1712623606.3062675,0.8933,0.3792550811544061,55.34193420410156,55.282440185546875,72.93604457626805,72.93604457626805,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1712623614.0162559,0.8938,0.37770362943410873,57.5297966003418,57.54346466064453,69.34801679553458,69.34801679553458,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1712623621.022159,0.8946,0.3763711671344936,51.0206184387207,50.96321105957031,65.9118544874705,65.91280838217865,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1712623628.8213315,0.8923,0.3845616400241852,44.217533111572266,44.3713493347168,60.24023148691022,60.24023148691022,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1712623636.4667282,0.8922,0.3849285419099033,44.03321838378906,43.55311584472656,60.80762718622604,60.80762718622604,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1712623643.9515462,0.8918,0.3855447414331138,55.08523178100586,55.12374496459961,60.35476677467123,60.35476677467123,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56998],10,0,1712623651.7172925,0.8909,0.39016533493995664,55.308223724365234,55.81077575683594,69.1238432384632,69.12386613405064,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50978],11,0,1712623659.132889,0.8914,0.39004015251994134,62.19743347167969,62.564788818359375,72.45104433863406,72.45104433863406,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[37304],12,0,1712623667.6902115,0.8905,0.39168155286461115,53.593994140625,53.91881561279297,70.21636868689185,70.21636868689185,2,3
