dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1712566293.7421124,0.8945,0.37446037996560333,62.58830261230469,62.77143859863281,68.77526094573362,68.77526094573362,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1712566302.1986964,0.8944,0.37667629970237615,41.67407989501953,41.441375732421875,50.471792713713,50.47153321239392,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1712566311.6307147,0.8941,0.3774209475144744,62.679969787597656,62.88390350341797,67.869601761388,67.86959413364995,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712566320.3856692,0.8932,0.37840923545882105,41.52631759643555,41.6758918762207,51.82525297324177,51.82526823610761,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1712566329.561037,0.893,0.3790699009783566,53.775245666503906,54.26696014404297,55.87633992808728,55.87633992808728,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1712566337.9251947,0.8922,0.3804411949589849,47.80876541137695,48.05665969848633,57.32297435641461,57.32298198936896,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1712566347.2064607,0.8915,0.38248234074562787,51.561485290527344,51.522682189941406,53.89425613711752,53.89425613711752,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1712566355.160523,0.893,0.37871117806062105,49.18141174316406,48.72125244140625,57.866591717035845,57.866591717035845,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1712566363.34455,0.8928,0.37927126372233033,58.22038650512695,58.775779724121094,67.24099770279557,67.24338622809387,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1712566372.1627817,0.8929,0.3794330505654216,53.08274841308594,52.935306549072266,57.10895899500731,57.10895899500731,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1712566381.1462076,0.8914,0.38510044403374194,48.017112731933594,48.22327423095703,57.13461640531081,57.134616408261515,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1712566389.8133888,0.8928,0.3793008666485548,47.15892028808594,47.126953125,62.72463918237651,62.72463918237651,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16573],12,0,1712566398.9569285,0.8937,0.38013096107169986,40.032901763916016,39.77931213378906,58.37617209723132,58.37617209723132,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23278],13,0,1712566407.594253,0.8934,0.37966915424913167,52.719261169433594,52.62652587890625,65.7875181867615,65.7875181867615,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41377],14,0,1712566415.9552858,0.8926,0.37977080726996065,53.805076599121094,53.17936706542969,55.60928265767879,55.609275027720166,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58197],15,0,1712566424.7462971,0.8914,0.3844013401307166,50.4677619934082,50.37779235839844,59.730115596565945,59.730115596565945,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10049],16,0,1712566434.202594,0.892,0.3833705184981227,42.56161880493164,42.78604507446289,54.65327430429128,54.653644452799554,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22958],17,0,1712566442.8849218,0.8926,0.3836474043317139,53.29372024536133,53.222564697265625,55.29699489868928,55.29699489868928,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21739],18,0,1712566451.4765713,0.8929,0.3830389367416501,41.10674285888672,40.869590759277344,51.43821810707575,51.43821810707575,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28116],19,0,1712566460.3485546,0.8935,0.3824160659685731,53.323974609375,53.21198272705078,57.6305327524304,57.630525122408024,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15093],20,0,1712566468.4298832,0.893,0.38275328651070595,52.798728942871094,52.76226043701172,54.00198811423281,54.00198811423281,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20628],21,0,1712566477.3552089,0.8923,0.3842953618615866,57.195621490478516,57.360565185546875,62.241231099991374,62.241231099991374,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34065],22,0,1712566485.8383756,0.8925,0.38365177595987915,39.87968063354492,39.90338134765625,51.347504149345035,51.34724083480573,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17321],23,0,1712566494.490445,0.8918,0.38571353843435646,53.650421142578125,53.039390563964844,63.606582045761805,63.606582045761805,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18383],24,0,1712566503.5116823,0.8915,0.38471641978248955,54.34288787841797,53.99686813354492,56.898677516427604,56.898677516427604,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9444],25,0,1712566512.2144535,0.8907,0.38613979406654836,51.96651840209961,51.96949005126953,66.8534759687419,66.85347597126365,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50134],26,0,1712566520.918678,0.8907,0.38609868865460156,56.487205505371094,57.304481506347656,69.18617765632135,69.18620054703301,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22197],27,0,1712566529.7784824,0.8896,0.390918277669698,50.96436309814453,50.75178146362305,60.099119052034666,60.099119052034666,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48487],28,0,1712566538.658536,0.8897,0.39099979419261216,53.31145477294922,53.582862854003906,55.1452235581644,55.1452235581644,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18727],29,0,1712566547.6091268,0.8889,0.39178775157779455,54.15754318237305,53.75320053100586,57.31443207401816,57.31443207401816,2,4
