dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1712571596.5588198,0.8922,0.38162517119199035,53.263832092285156,53.50958251953125,71.82394823123265,71.82578727241291,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1712571605.6250155,0.8924,0.38111257506534457,40.515960693359375,40.10172653198242,69.24888810599188,69.24423320561823,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1712571615.0550878,0.8927,0.38115745335817336,39.60212707519531,39.92860412597656,56.25803134385031,56.258092395679085,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712571624.206361,0.8919,0.3817353175021708,40.08000946044922,39.963104248046875,50.38737715441917,50.38737715441917,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1712571633.0589557,0.8917,0.3841415035538375,34.70417404174805,34.864662170410156,53.88389136089221,53.88389136089221,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1712571642.249272,0.8919,0.3836563598364592,42.14659118652344,42.13880157470703,58.04016977573572,58.04016977573572,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1712571651.4847999,0.8919,0.383555051125586,43.98190689086914,44.20061492919922,57.28978626249476,57.29517425773062,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1712571660.8556077,0.891,0.38506339052692057,45.70752716064453,46.03985595703125,52.812627988057784,52.812627988057784,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1712571670.470706,0.8897,0.38882646672427656,49.59619903564453,49.63775634765625,59.8459813017361,59.8459813017361,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1712571679.8100796,0.8894,0.3900472342967987,54.59318542480469,54.962646484375,68.84251489022809,68.84252252046151,2,2
