dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42977],0,0,1712634119.4584434,0.892,0.3828473544679582,42.21241760253906,42.13214874267578,60.32942888763009,60.32942888763009,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49073],1,0,1712634128.9517736,0.8927,0.3809432201087475,42.55095672607422,42.73689270019531,62.27237387979072,62.27237387979072,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12245],2,0,1712634136.623932,0.8943,0.37612655041739346,42.1026496887207,41.75725555419922,63.9988120118804,63.9988120118804,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[361],3,0,1712634144.9893737,0.8938,0.37684770319610833,41.90375518798828,42.128204345703125,64.30479842478185,64.30479842478185,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47526],4,0,1712634152.586695,0.8922,0.3806740306317806,44.219356536865234,43.77178955078125,64.84305277574916,64.84305277574916,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56209],5,0,1712634159.5977423,0.8915,0.3829001088626683,42.14796447753906,41.93764877319336,61.63935633441384,61.63935633441384,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26142],6,0,1712634167.426408,0.8921,0.38055436555296185,39.19076156616211,39.17724609375,60.03137355214867,60.03137355214867,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50315],7,0,1712634175.454772,0.8902,0.38812012169510124,54.168907165527344,54.82470703125,72.51633950569146,72.51635476622822,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11861],8,0,1712634184.001221,0.8892,0.3912289273925126,52.776023864746094,53.08723831176758,72.27705108560528,72.27705108560528,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54520],9,0,1712634191.2739933,0.8905,0.38908665543422105,56.73176193237305,56.059207916259766,73.5685484806613,73.56844928248576,2,5
