dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1712623575.1536334,0.8939,0.37820090698078274,42.018619537353516,41.815223693847656,71.87431740942841,71.87202051493324,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1712623583.1124365,0.8931,0.377966252155602,50.350677490234375,50.7974853515625,55.1275215593205,55.1275215593205,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1712623591.0511513,0.8924,0.38173680743202565,45.961700439453125,45.694793701171875,63.32045926512301,63.32045926512301,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1712623598.6193426,0.8906,0.3876676080748439,58.38652038574219,58.3661994934082,60.98191945382384,60.981919456588386,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1712623606.2589605,0.8891,0.388238235283643,55.8023796081543,55.711055755615234,71.63521489016463,71.63516910389147,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1712623613.6155312,0.8892,0.3906321292743087,59.6983528137207,59.703163146972656,67.15458688029534,67.15458688029534,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1712623621.16017,0.8889,0.3947007043287158,53.976036071777344,54.14326858520508,67.99093623261756,67.99093623261756,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1712623628.90886,0.8902,0.39069877257570623,46.690032958984375,46.78199768066406,59.88320235669145,59.88320235669145,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1712623636.433296,0.8877,0.3981354234740138,49.04057312011719,48.765995025634766,62.20097355821446,62.20097355821446,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1712623644.3406951,0.889,0.39646179862320424,57.30742645263672,57.22582244873047,63.05436687841968,63.05436687841968,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56998],10,0,1712623651.5521605,0.8889,0.3954634967260063,56.69063186645508,56.225181579589844,66.44548680591673,66.44547917571322,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50978],11,0,1712623659.4216685,0.8889,0.39065027246251705,66.24134063720703,66.6644287109375,70.43412859782848,70.43412859782848,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[37304],12,0,1712623666.555406,0.8888,0.3922515613026917,55.002601623535156,54.986324310302734,65.8152675129631,65.8152675129631,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13572],13,0,1712623673.8396952,0.8874,0.394872884452343,56.77061462402344,56.154502868652344,66.8505697972086,66.85055453679057,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34683],14,0,1712623680.3648493,0.8881,0.39585819039493797,56.971923828125,56.773399353027344,64.38187483256846,64.38187483256846,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28425],15,0,1712623687.4925375,0.8879,0.39427215745672584,51.44573211669922,51.669464111328125,64.25591347045311,64.25591347045311,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39767],16,0,1712623695.1953611,0.8871,0.3968903928995132,62.29672622680664,62.34260559082031,65.55111519990841,65.55111519990841,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56733],17,0,1712623703.0268965,0.886,0.4010895051062107,56.44194030761719,56.34575271606445,66.37038483318473,66.37038483318473,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31579],18,0,1712623710.6154888,0.8834,0.40659075789153576,57.621925354003906,57.73515319824219,68.08389558313138,68.08389558313138,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33963],19,0,1712623717.8380156,0.8823,0.40713130608201026,53.29253387451172,53.57769012451172,62.17211901216698,62.17211901216698,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[30634],20,0,1712623725.434506,0.8864,0.39703929144889116,65.88792419433594,65.55908203125,64.56282341127695,64.56282341127695,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[59422],21,0,1712623732.913325,0.8839,0.40192607399076224,61.31296920776367,60.93751525878906,66.40097176245045,66.40097176245045,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5412],22,0,1712623740.3903804,0.8838,0.40263510346412656,58.33392333984375,58.42518997192383,67.92739714575467,67.92739714575467,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33065],23,0,1712623747.455369,0.8825,0.40759203489869833,58.08003234863281,57.91884994506836,65.6739961920984,65.6739961920984,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12111],24,0,1712623755.2554145,0.8831,0.4066817766055465,58.61751937866211,58.537139892578125,64.96260751372529,64.96260751372529,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3176],25,0,1712623762.6992996,0.8795,0.41292430460453033,69.13441467285156,69.63341522216797,68.64628284385863,68.64628284385863,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18122],26,0,1712623770.7006197,0.8799,0.41416918467730285,54.9549446105957,54.88392639160156,63.7047710006252,63.7047710006252,10,0
