dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1712566293.4158175,0.8938,0.3781948504038155,62.58830261230469,62.759525299072266,68.77526094573362,68.77526094573362,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1712566301.012727,0.8931,0.37798045501112937,41.443058013916016,41.48573684692383,51.15222821656537,51.152251115774604,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1712566308.4055135,0.8924,0.3817744514904916,62.2422981262207,62.25901794433594,67.50508784295081,67.50508784295081,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712566315.7990842,0.8906,0.38770444206893445,42.71664047241211,42.90056228637695,52.90653500378699,52.906554083204014,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1712566323.121398,0.8891,0.388282906729728,54.334259033203125,54.254005432128906,56.12839575154537,56.12839575154537,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1712566330.1063802,0.8892,0.3906591199338436,50.33313751220703,50.340362548828125,53.279727968861394,53.279727968861394,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1712566338.0356045,0.889,0.3947062099352479,50.9027099609375,50.861045837402344,53.61605122620224,53.61605122620224,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1712566345.7985382,0.8902,0.39070526491850616,51.68007278442383,51.49971008300781,60.030572690856495,60.030572690856495,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1712566352.8696308,0.8877,0.3981434106826782,58.463104248046875,58.61956024169922,66.69894665079593,66.69894665079593,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1712566360.3620582,0.889,0.3964555816724896,53.57637023925781,53.6427001953125,57.83961843170613,57.83961843170613,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1712566367.4396365,0.8889,0.39543826002627613,50.93947219848633,51.10887145996094,58.69374828408069,58.693744467618586,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1712566374.7865355,0.8889,0.39061637278646233,50.58717346191406,49.92756271362305,61.803196518489166,61.803196518489166,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16573],12,0,1712566381.78563,0.8888,0.3922268910333514,46.113624572753906,45.60210037231445,59.88965121086593,59.88965121086593,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23278],13,0,1712566389.9185512,0.8874,0.39485353864729406,58.94776916503906,59.14359664916992,62.11691939358091,62.11691939358091,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41377],14,0,1712566397.1379218,0.8881,0.39585321824997666,57.279541015625,57.34584045410156,57.3384611692416,57.33846117218181,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58197],15,0,1712566404.6432579,0.8879,0.39425174668431284,53.89091110229492,54.340354919433594,60.578361295243226,60.578361295243226,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10049],16,0,1712566411.5181634,0.8871,0.3968413184396923,53.09994125366211,53.38108825683594,58.7801108750166,58.7801108750166,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22958],17,0,1712566418.598409,0.8862,0.4010478587821126,55.792198181152344,55.377254486083984,57.83192648790387,57.83192648790387,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21739],18,0,1712566425.6719294,0.8834,0.4065601833164692,46.652740478515625,47.078521728515625,56.041299579958334,56.041299579958334,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28116],19,0,1712566433.3314602,0.8823,0.40710964873433114,57.63059997558594,57.865386962890625,57.124556323576094,57.124556323576094,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15093],20,0,1712566440.283773,0.8863,0.3970095356926322,54.89537811279297,54.991310119628906,56.91491166732237,56.91491166732237,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20628],21,0,1712566447.2947598,0.884,0.40190315935760734,64.14498901367188,64.00968933105469,61.407255202760176,61.407255202760176,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34065],22,0,1712566454.5122254,0.8838,0.4026128754019737,46.180912017822266,45.9212532043457,56.3738320216134,56.3738396515974,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17321],23,0,1712566461.3018885,0.8827,0.4075816798955202,60.9876708984375,61.07905578613281,62.312375926519806,62.312375926519806,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18383],24,0,1712566468.8405201,0.8831,0.4066854495555162,57.899322509765625,57.97751235961914,63.156624668460985,63.156624668460985,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9444],25,0,1712566476.771078,0.8795,0.4129291851073503,56.79407501220703,56.55506896972656,62.91873899892538,62.91873899892538,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50134],26,0,1712566484.312829,0.8799,0.41417101603001355,61.96770477294922,61.567039489746094,66.86787706828851,66.86787706828851,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22197],27,0,1712566491.7417884,0.8811,0.41080233044922354,57.78070831298828,57.40268325805664,61.39947528459398,61.39947528459398,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48487],28,0,1712566498.8659465,0.8841,0.4053100062534213,58.72865295410156,58.43879699707031,56.54278156827304,56.54278156827304,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18727],29,0,1712566505.7019908,0.8816,0.41354317534714935,60.758544921875,60.34026336669922,58.9811789523818,58.9811789523818,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10532],30,0,1712566512.9455464,0.8791,0.4183946466073394,55.75914764404297,55.44586944580078,61.57781859858597,61.57781859858597,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36712],31,0,1712566521.208954,0.8784,0.4186925280839205,60.52083969116211,60.649803161621094,58.74308852064759,58.74308852064759,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44132],32,0,1712566529.1577485,0.881,0.413806964084506,56.3119010925293,56.53471374511719,60.54547994408914,60.54547994408914,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21366],33,0,1712566536.4202833,0.8784,0.42192008458077906,58.506874084472656,58.27623748779297,61.45445718688717,61.45444955676976,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44399],34,0,1712566543.3257365,0.8743,0.42966926787048576,63.05854034423828,62.751129150390625,62.507413266131856,62.507413266131856,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38726],35,0,1712566550.2928085,0.8763,0.42711855936795473,63.157920837402344,63.02608108520508,60.5157067318464,60.5157067318464,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47389],36,0,1712566557.2037773,0.8782,0.42205716371536256,63.484718322753906,63.28315734863281,61.66812302507607,61.66812302507607,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38126],37,0,1712566566.056283,0.8734,0.43519755862653253,49.80033874511719,49.50025177001953,61.67226468594957,61.67226849964375,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[46260],38,0,1712566574.0178437,0.8721,0.44036429189145565,51.953102111816406,52.04764175415039,54.77920251187973,54.77920251187973,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10115],39,0,1712566581.2787914,0.8712,0.4419227493926883,49.73698043823242,49.760154724121094,57.08018593486222,57.08018593486222,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[30233],40,0,1712566587.8498282,0.8704,0.4469423873350024,57.79862976074219,57.934539794921875,58.07239821914865,58.07239821914865,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[30891],41,0,1712566594.7480736,0.8659,0.45547477155923843,67.26751708984375,67.0233154296875,61.27662129340692,61.27662129340692,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[4120],42,0,1712566601.694087,0.8652,0.45558178685605527,65.99267578125,65.59443664550781,61.386577401806676,61.386577401806676,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17578],43,0,1712566608.6508517,0.8632,0.4632354859262705,59.689788818359375,59.422096252441406,62.54689291033616,62.54689291033616,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[32364],44,0,1712566616.0634284,0.8637,0.4637820441275835,65.36038208007812,65.63626098632812,60.16347044889112,60.16347044889112,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22487],45,0,1712566623.4067252,0.8603,0.4678508585318923,57.08563995361328,57.427146911621094,60.4677843476057,60.4677843476057,10,8
