dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1712571594.987009,0.8939,0.37819587625563145,53.263832092285156,53.19817352294922,71.82394823123265,71.82062879938474,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1712571602.910946,0.8931,0.377983234077692,41.082611083984375,40.689754486083984,68.6522118904744,68.65116644073986,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1712571610.8287206,0.8924,0.3817697983235121,39.78851318359375,39.68239974975586,56.201351430343365,56.20138195625642,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712571618.499178,0.8906,0.3877016449347138,42.72222900390625,42.90615463256836,52.90653500378699,52.906554083204014,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1712571626.536586,0.8891,0.3882890999317169,34.877559661865234,35.252960205078125,54.86644992726367,54.86644992726367,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1712571634.9589152,0.8891,0.3906768158078194,43.697113037109375,44.07561492919922,59.72976474280154,59.72976474280154,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1712571642.7256885,0.889,0.39474917473271487,46.79344940185547,46.66916275024414,60.85532711926379,60.8548730463265,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1712571651.1902113,0.8902,0.390755174215883,47.45394515991211,47.049530029296875,55.70382991601566,55.70382991601566,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1712571659.243243,0.8877,0.39817405827343466,52.454429626464844,52.23978042602539,63.505849393738195,63.505849393738195,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1712571667.38691,0.889,0.39649718850851057,55.50545883178711,55.21470642089844,66.02566052624579,66.02560710464927,10,2
