dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42977],0,0,1712634119.2247505,0.8939,0.378159236907959,42.21241760253906,42.4315185546875,60.32942888763009,60.32942888763009,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49073],1,0,1712634127.0152066,0.8931,0.3779113538563251,42.708168029785156,42.486900329589844,61.939971078010544,61.939971078010544,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12245],2,0,1712634135.2157905,0.8925,0.3816817091777921,41.962806701660156,41.668601989746094,63.613545961247546,63.613545961247546,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[361],3,0,1712634142.8794365,0.8906,0.3875795857980847,41.61919403076172,41.63614273071289,62.40577764893686,62.40577764893686,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47526],4,0,1712634150.7313025,0.8892,0.3881338296458125,43.95161819458008,43.95848083496094,63.75500200613544,63.75500200613544,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56209],5,0,1712634158.3477087,0.8892,0.39054572572931645,43.22390365600586,43.277713775634766,63.26442772527543,63.26442772527543,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26142],6,0,1712634165.7661452,0.889,0.3945920592173934,42.328346252441406,42.6500244140625,63.96109768473208,63.96109768473208,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50315],7,0,1712634172.635147,0.8902,0.3906088282354176,54.818302154541016,54.73098373413086,70.65393300304704,70.6538490655012,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11861],8,0,1712634180.292282,0.8877,0.3980264874175191,52.96586608886719,52.67558288574219,69.57823945544763,69.57823945544763,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54520],9,0,1712634187.6348586,0.889,0.396351701207459,55.684173583984375,55.45105743408203,71.79853591708036,71.79857406839268,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34953],10,0,1712634195.0470116,0.8889,0.39534299774095416,54.78258514404297,54.761756896972656,69.12594857403258,69.12594857403258,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48362],11,0,1712634201.7933362,0.8889,0.3905232649296522,47.5595817565918,47.9454345703125,67.23184789946369,67.23184789946369,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43300],12,0,1712634209.3865728,0.8888,0.392130312230438,56.38046646118164,55.9090690612793,72.4191593782389,72.41905254750868,10,5
