dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1712623575.708518,0.894,0.3758329266682267,42.018619537353516,42.018638610839844,71.87431740942841,71.87363062945519,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1712623583.1818888,0.8938,0.3767950527369976,50.12481689453125,50.09351348876953,55.04406061310685,55.04406061310685,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1712623590.9147303,0.8925,0.3803915474563837,44.325927734375,44.51017761230469,57.652243313001094,57.652243313001094,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1712623599.1400702,0.8916,0.38175250105559827,58.34540557861328,58.30803298950195,60.67341293009504,60.67341293009504,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1712623606.2349153,0.8922,0.38032663315534593,55.373008728027344,55.373008728027344,72.47807000504869,72.47807000504869,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1712623614.739567,0.892,0.38074268130585553,57.661895751953125,57.661895751953125,69.525676166957,69.525676166957,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1712623622.179253,0.892,0.38166120992973446,51.28834533691406,51.28834533691406,65.63353171411929,65.63353171411929,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1712623628.955813,0.8929,0.3788136953487992,42.991180419921875,42.991180419921875,57.77025367159686,57.77025367159686,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1712623636.720552,0.8927,0.37932201409712435,42.883094787597656,42.328880310058594,58.78229225025266,58.78229225025266,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1712623644.7787154,0.8925,0.3784633819013834,55.30072784423828,55.30072784423828,60.8824818365549,60.8824818365549,2,1
