dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1712566294.3942595,0.894,0.3758327314630151,62.58830261230469,62.58433532714844,68.77526094573362,68.77526094573362,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1712566303.3174691,0.8938,0.3767983521334827,42.41020965576172,42.41020965576172,50.8555437835461,50.8555437835461,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1712566311.5104876,0.8925,0.38040831200778485,62.91413116455078,62.91413116455078,68.12278184710628,68.12278184710628,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712566320.3330555,0.8916,0.3817692331969738,40.022926330566406,40.022926330566406,50.49025341045443,50.49025341045443,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1712566328.9267178,0.8922,0.3803433207795024,54.367042541503906,54.367042541503906,55.37145634667434,55.37145634667434,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1712566337.9746192,0.892,0.38075934406369927,48.813331604003906,48.813331604003906,57.21410560951496,57.21410560951496,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1712566346.960351,0.892,0.3816769704222679,50.67831039428711,50.57457733154297,53.21119824183463,53.21119824183463,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1712566355.322291,0.8929,0.378827038500458,49.310916900634766,49.060394287109375,56.95171975558267,56.95171975558267,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1712566363.7705886,0.8927,0.37933760564774277,57.49174118041992,57.49174118041992,67.3286049836879,67.3286049836879,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1712566372.5826466,0.8925,0.37847834825515747,51.899017333984375,52.26189422607422,56.47780711222637,56.47780711222637,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1712566381.5080469,0.8911,0.37975060325115917,48.654972076416016,48.654972076416016,57.42717169801238,57.42717169801238,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1712566390.4627223,0.8912,0.37922966992482543,47.74877166748047,47.74877166748047,63.618725026681176,63.618725026681176,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16573],12,0,1712566399.5466177,0.8919,0.37958596665412186,38.806610107421875,38.806610107421875,57.94383918213844,57.94383918213844,2,8
