dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1712571595.9487894,0.894,0.37583282180130484,53.263832092285156,53.263893127441406,71.82394823123265,71.82170475561631,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1712571605.0244043,0.8938,0.3767986219376326,40.98716735839844,41.22530746459961,68.97287666197998,68.97537962833535,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1712571614.2219377,0.8925,0.38040874544531106,39.5642204284668,39.5642204284668,56.23431907900088,56.234269476639355,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712571623.06362,0.8916,0.3817696665413678,40.02294158935547,40.02294158935547,50.49025341045443,50.49025341045443,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1712571632.4901977,0.8922,0.38034376511350276,33.936767578125,33.936767578125,53.4604315660831,53.4604315660831,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1712571641.9349685,0.892,0.3807616158388555,42.23777389526367,42.28229904174805,57.16461362825775,57.16461362825775,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1712571651.5112443,0.892,0.3816803626716137,43.98750686645508,43.54075622558594,58.52340993876467,58.52340993876467,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1712571661.662056,0.8929,0.3788262895308435,45.55047607421875,45.63691711425781,52.25978884869573,52.25978884869573,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1712571670.0643811,0.8927,0.3793367987498641,49.66192626953125,49.66192626953125,60.05898430185769,60.05898430185769,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1712571679.7577748,0.8925,0.3784782407805324,55.48139572143555,55.48139572143555,68.13814409003021,68.13816698565445,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15517],10,0,1712571689.5050309,0.8911,0.37975059328600763,49.27033615112305,49.27033615112305,69.81089570517332,69.81089570517332,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56600],11,0,1712571698.5852976,0.8912,0.3792295498773456,49.452186584472656,49.452186584472656,59.998263549809735,59.998263549809735,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38011],12,0,1712571707.470585,0.8919,0.37958186846226455,46.10932922363281,46.02486801147461,51.65417454619836,51.65417454619836,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13811],13,0,1712571716.5201287,0.8921,0.3787532664835453,49.261199951171875,49.178802490234375,55.015555156535896,55.015555156535896,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50595],14,0,1712571725.7984881,0.892,0.37985188150778415,41.52199172973633,41.52199172973633,55.72355317611722,55.72355317611722,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38722],15,0,1712571734.9848754,0.8909,0.3827076842077076,44.467018127441406,44.50664520263672,57.15821833027916,57.15821833027916,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15684],16,0,1712571745.0907793,0.8899,0.38595930244773624,55.929107666015625,55.696990966796875,65.6657202187525,65.6657202187525,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49393],17,0,1712571755.271056,0.8896,0.3863590554334223,48.460655212402344,48.460655212402344,54.20446788022844,54.20446788022844,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[4280],18,0,1712571765.48307,0.8896,0.38750874986872075,46.34413528442383,46.52960205078125,54.00166778644041,54.00166778644041,2,3
