dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42977],0,0,1712634120.226586,0.894,0.3758329743519425,42.21241760253906,42.21241760253906,60.32942888763009,60.32942888763009,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49073],1,0,1712634127.478388,0.8938,0.3767986549064517,41.759910583496094,41.759910583496094,58.68684187323128,58.68684187323128,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12245],2,0,1712634135.484357,0.8925,0.3803954333998263,40.360774993896484,40.565277099609375,57.76913248670374,57.76913248670374,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[361],3,0,1712634143.102447,0.8916,0.38175617158412933,40.19209289550781,40.19209289550781,60.244788793876374,60.244788793876374,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47526],4,0,1712634150.8184335,0.8922,0.3803303180262446,41.92097854614258,41.92097854614258,61.2818193409792,61.2818193409792,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56209],5,0,1712634159.0439491,0.892,0.3807478847913444,40.67997741699219,40.72488784790039,62.06632674740936,62.06632674740936,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26142],6,0,1712634167.3598952,0.892,0.3816663736477494,39.8453483581543,39.8453483581543,62.573737697348534,62.573737697348534,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50315],7,0,1712634175.0920715,0.8929,0.37881872802972794,53.82429504394531,53.82429504394531,72.65500020499667,72.65500020499667,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11861],8,0,1712634183.2327335,0.8927,0.3793291749432683,51.3446044921875,51.3446044921875,72.56207667934397,72.56207667934397,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54520],9,0,1712634191.040309,0.8925,0.37847046796232464,55.04834747314453,55.04832077026367,74.67664503383524,74.67756072659574,2,5
