dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712209404.8123107,0.8929,0.3772477898746729,4.096263885498047,4.148672580718994,33.16302460937487,33.261223326615806,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712209411.5185254,0.8934,0.37715864637866614,5.823734760284424,5.741208553314209,22.82306900561218,22.935295644080245,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712209419.402405,0.8943,0.37421950325369835,11.111223220825195,11.091279029846191,30.140883968956043,30.240081314316857,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712209426.6167405,0.8941,0.3741772687993944,5.636449337005615,5.314206600189209,43.59048239646841,43.526327663287184,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712209435.1612911,0.8929,0.376577140763402,1.4274334907531738,1.5812349319458008,29.994286571907082,31.577328438032772,3,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712209443.9302247,0.8923,0.3787311304360628,2.9752864837646484,3.1935994625091553,43.87470797363372,44.49372247681055,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712209451.6393244,0.8944,0.3756997081451118,7.4298930168151855,7.076916694641113,41.48210781937729,41.4528092406721,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712209459.941712,0.8942,0.375941114872694,10.997842788696289,11.031989097595215,34.227465910219685,34.22552257747915,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712209467.7351606,0.8936,0.37781369369477036,8.638955116271973,8.49644947052002,39.728798618592364,39.718526780568375,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712209475.3178782,0.8933,0.37783826924860475,2.4157767295837402,2.4037537574768066,37.374060219894986,37.35131579482291,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712209483.0024662,0.8927,0.3811759239062667,3.32481050491333,3.1490252017974854,25.270901571027352,24.849222286778975,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712209490.8467135,0.894,0.3779609356075525,7.694958686828613,7.718740463256836,28.108954596899135,28.092972258470503,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712209499.108022,0.8939,0.3777803644537926,9.36072826385498,9.458389282226562,25.720595358388053,25.722795952987806,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712209506.5246782,0.8936,0.37989547979086635,6.229279041290283,6.046749114990234,23.792292804352563,23.548635979702986,3,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712209513.7314413,0.8935,0.38071525348350405,7.005687713623047,7.03497314453125,41.88866171422943,42.01149681487517,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712209521.4015567,0.8946,0.37661536745727064,5.171993255615234,5.176666736602783,30.291211603638203,29.885334259630746,3,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712209529.5551457,0.8943,0.37637078370898963,3.3984413146972656,3.300100326538086,41.89347141260813,41.73628347263417,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712209537.244848,0.894,0.3780201144516468,3.175788164138794,2.971388816833496,32.946652621220515,32.61633158067442,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712209544.8755996,0.8941,0.37661290597170594,4.509881973266602,4.369304656982422,37.05661386272125,36.98630507888347,2,4
