dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712209403.54562,0.8937,0.37818122245371344,4.096263885498047,3.955110549926758,33.16302460937487,33.01993776985415,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712209411.8163998,0.893,0.3779690978117287,5.717724800109863,5.899831295013428,22.705179873677285,22.8301188613519,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712209419.4502273,0.8923,0.3817274139262736,11.113988876342773,11.402454376220703,31.577871547481667,31.748075359180117,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712209427.1577756,0.8906,0.3876240243203938,5.647498607635498,5.348473072052002,43.479270980320365,43.4185855014373,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712209435.0233665,0.8892,0.3881791662424803,1.7592276334762573,1.976626992225647,31.947400210170937,33.22843825625573,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712209442.6119983,0.8892,0.3905304728075862,3.1142916679382324,3.104341745376587,43.566103165155866,43.400194440639815,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712209450.526141,0.889,0.39452406028285625,7.675333023071289,7.594781398773193,41.6165892601091,41.615726643957345,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712209457.8685203,0.8902,0.390519967675209,11.553434371948242,11.762236595153809,34.38418766686833,34.3904834096061,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712209465.497326,0.8877,0.39792667105793955,9.268310546875,9.29290771484375,39.531362382905634,39.530999753793154,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712209473.1793976,0.8889,0.3962433526292443,3.4166834354400635,3.719451665878296,40.98281821784257,41.36693830106029,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712209480.6404579,0.8889,0.3952730277553201,4.130096912384033,4.067573070526123,23.06130400920079,23.008284289881654,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712209487.7494905,0.8889,0.3903878232464194,8.158073425292969,8.334440231323242,28.100388446113016,28.106541662494937,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712209495.4935288,0.8889,0.39198161317035557,10.162599563598633,10.226828575134277,25.57606465054351,25.57526234421404,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712209502.50792,0.8873,0.39458147138357164,8.008915901184082,8.050641059875488,24.407865020547735,24.49649933934214,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712209510.0360217,0.8881,0.3955046724528074,8.329888343811035,8.128435134887695,42.8338727937116,42.80763259544009,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712209517.3907025,0.888,0.3939364494755864,4.9161481857299805,4.813621520996094,32.35471471371008,32.532907202874426,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712209525.0007815,0.8875,0.3965052178129554,4.974839687347412,4.812813758850098,42.6508763906158,42.59920502520115,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712209532.6313858,0.8863,0.40071175415068866,2.148529052734375,2.232037305831909,27.241115021560702,27.496518076025435,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712209539.6226065,0.8834,0.40620952304452657,3.5968399047851562,3.3690524101257324,35.56473814074559,35.163231468772,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1712209547.4527895,0.8825,0.4066129416227341,9.039956092834473,9.202216148376465,35.44341262429349,35.44697838874789,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1712209555.4672973,0.8863,0.3965559670701623,12.094732284545898,12.140743255615234,40.935225059373586,40.9580199150306,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1712209562.7280204,0.884,0.40141023993492125,9.439435958862305,9.456283569335938,37.8448322753281,37.84296559415582,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1712209569.8655457,0.8839,0.4021480169147253,7.052612781524658,7.146663188934326,33.724330275948645,33.74453507587921,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1712209577.7556348,0.8829,0.4070164397358894,6.71207857131958,6.806588172912598,32.9535684083832,33.08643305607496,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1712209585.0293448,0.8833,0.4061265395954251,7.594912528991699,7.517545223236084,28.347482806427955,28.2009112888071,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1712209591.8182585,0.8796,0.4123923983424902,5.554925918579102,5.431496620178223,37.111817272481495,37.43882801318307,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1712209599.1735668,0.88,0.41361626107245686,12.049933433532715,12.058320045471191,44.18100303177738,44.50496446011499,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1712209606.4222784,0.8813,0.41027011089026927,7.977464199066162,7.988530158996582,21.789204423618123,21.77855060402153,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1712209613.6873646,0.8844,0.40482994355261326,10.210634231567383,10.038283348083496,40.33916279901623,40.338128381056094,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1712209621.1385493,0.882,0.4129825573414564,10.382645606994629,10.626561164855957,39.44676438941991,39.45228397729988,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1712209628.4019434,0.8793,0.41774389091879127,6.512141227722168,6.477940082550049,25.791304012951883,25.739220918819544,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1712209635.0129142,0.8788,0.41794735174626113,12.689774513244629,12.664091110229492,34.78265284737604,34.782488674760124,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1712209643.2915978,0.8812,0.41299457401037215,9.48580265045166,9.548386573791504,42.331035872288545,42.33077632694669,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1712209651.1866581,0.8786,0.4210418824106455,11.622156143188477,11.57090950012207,34.919844346514395,34.923093306035874,10,0
