dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712209404.0897162,0.895,0.3733104858547449,4.096263885498047,4.098848819732666,33.16302460937487,33.122397373205125,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712209412.9791331,0.8946,0.3721851870417595,5.822657585144043,5.883717060089111,23.227172985941927,23.43332465882516,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712209420.9067185,0.8946,0.3717550624161959,11.05697250366211,11.107563018798828,30.43840183634253,30.53076040705472,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712209428.9142232,0.895,0.37200854271650313,5.513064384460449,5.513064384460449,43.44673074547676,43.44673074547676,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712209436.441506,0.895,0.37135275565087794,1.427445411682129,1.5273690223693848,29.99421978214889,30.894541815861384,3,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712209444.9182801,0.8956,0.37078015906736256,2.9868481159210205,2.9868481159210205,44.46658003505514,44.46658003505514,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712209452.814942,0.8956,0.36982469651848077,7.423549175262451,7.423549175262451,41.83226932967527,41.83226932967527,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712209460.7013988,0.8952,0.37138577802106737,10.966303825378418,10.966302871704102,34.57098681227694,34.57100208267776,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712209468.0730035,0.8948,0.3724248596467078,8.727867126464844,8.728131294250488,39.7462578838441,39.74105899006168,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712209476.2507648,0.8946,0.37328082462772727,0.8960393071174622,0.8960146903991699,21.421041687598446,21.42095390096386,3,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712209483.8514419,0.8942,0.37538223443552854,3.599065065383911,3.5863258838653564,23.86271833845509,24.07868256685905,3,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712209491.1950564,0.8941,0.3760020764544606,7.656278133392334,7.656276226043701,28.115293922691144,28.115324479570884,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712209499.0001786,0.8942,0.3767329980619252,9.179949760437012,9.233375549316406,25.730740569172884,25.731779730296797,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712209507.4200106,0.8932,0.3803265728056431,6.856682777404785,6.827939510345459,24.001614852239317,24.238613891742038,3,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712209515.4120696,0.8925,0.3833563416264951,7.453125953674316,7.499115467071533,41.87095159739022,41.87203937807964,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712209523.3329186,0.8924,0.38374048778787256,6.398342609405518,6.397352695465088,34.31787895968723,34.33230162966168,2,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712209530.6662028,0.8921,0.38410972654819486,3.630314826965332,3.62532901763916,42.18919454700733,42.18348854333846,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712209538.6839411,0.8913,0.3869706972502172,2.7555220127105713,2.762162446975708,31.457644023305026,31.375464437795202,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712209546.3217235,0.8911,0.3867117378860712,4.810916900634766,4.81091833114624,37.421962050855925,37.42193151004595,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1712209554.3281224,0.8909,0.387189210858196,7.616442680358887,7.61649227142334,35.232293032813594,35.231430218376524,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1712209562.4567108,0.8903,0.3892721735872328,10.519118309020996,10.519538879394531,39.145148901170515,39.13759886118738,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1712209570.7360933,0.8927,0.3835553001612425,8.552858352661133,8.552714347839355,38.37457675020987,38.37733664582548,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1712209578.999068,0.8916,0.3856247952207923,3.6285550594329834,3.6620845794677734,27.370605659548314,27.76871530127404,3,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1712209586.6420684,0.8913,0.3859364942647517,6.605599880218506,6.605599403381348,33.47195082896094,33.47195847166429,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1712209594.718312,0.8921,0.3847907312214375,6.725958347320557,6.7247843742370605,28.80600731278809,28.821701733521692,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1712209603.386604,0.8911,0.38750735614448784,4.39898681640625,4.399094104766846,39.33049505773014,39.3284338296822,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1712209611.0047379,0.8911,0.3865009850822389,10.710336685180664,10.710338592529297,42.012266955130485,42.01224023555268,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1712209619.358665,0.8917,0.3868863203562796,6.342785358428955,6.386401653289795,21.993940041432904,21.99554161575042,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1712209627.5348277,0.892,0.3845631269738078,10.2996244430542,10.299625396728516,40.46747264666098,40.46744974746203,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1712209635.2823281,0.8922,0.3830880709923804,8.309683799743652,8.255270004272461,40.07471764311298,40.07416797894026,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1712209643.2183433,0.8924,0.38305018097162247,4.949934482574463,4.949977874755859,25.195557992820248,25.19510151965482,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1712209651.4663317,0.8919,0.38385243657976387,9.370972633361816,9.371084213256836,34.26059894435084,34.25869379986436,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1712209659.4337497,0.8914,0.3845072967931628,6.925475120544434,6.967026710510254,41.95865394014345,41.96033335377974,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1712209666.6750886,0.8914,0.38321658950299026,8.531147003173828,8.431699752807617,34.475639658719594,34.43852249182447,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31738],34,0,1712209674.7472477,0.8914,0.38317333767190576,3.3324215412139893,3.2744967937469482,40.58336650460386,40.49374769513476,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13161],35,0,1712209682.5465183,0.8906,0.38615147192031146,2.6383562088012695,2.5627505779266357,25.432084720921516,25.079013849878837,3,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23487],36,0,1712209690.6226273,0.8904,0.38623452130705116,7.428293228149414,7.4448089599609375,33.44383970367638,33.444164242620225,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38161],37,0,1712209698.5315251,0.8902,0.3864093404263258,9.659005165100098,9.543984413146973,35.751887448430445,35.751452229558815,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3264],38,0,1712209706.2700584,0.8902,0.387596165202558,4.839090347290039,4.839085578918457,40.96165045380099,40.96174587552171,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21854],39,0,1712209713.9622824,0.8905,0.3873301292769611,0.5820326209068298,0.5845724940299988,15.526874027516204,15.583748974315474,3,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23490],40,0,1712209721.310295,0.8898,0.3876695026643574,5.621901035308838,5.5339579582214355,19.15050953563212,19.013928873120122,3,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20117],41,0,1712209728.742289,0.8881,0.3910321744158864,6.884514331817627,6.884514331817627,45.703624159069534,45.703624159069534,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54444],42,0,1712209736.2697377,0.8881,0.3907136138528585,9.48081111907959,9.489950180053711,42.130674932012404,42.1307779908413,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45921],43,0,1712209744.3423746,0.889,0.3882275756448507,7.878173351287842,7.666773796081543,46.798037614544356,46.79385861378344,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36220],44,0,1712209752.666229,0.8903,0.3877778621390462,4.258431434631348,4.259232044219971,32.50834238852222,32.49607088906253,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41626],45,0,1712209760.2199588,0.89,0.3884171385318041,6.446430206298828,6.39229154586792,31.60604125356153,31.591884317242048,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10208],46,0,1712209767.9901586,0.8901,0.38922561714425685,10.073287963867188,10.034780502319336,25.806455225583118,25.80477233321893,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18849],47,0,1712209775.2963493,0.8905,0.38937177006155255,6.618815898895264,6.635483264923096,33.196333087652725,33.21000531360352,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12368],48,0,1712209783.368619,0.891,0.38866677358746526,13.011892318725586,13.011802673339844,34.37318228802707,34.374713276034065,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[46581],49,0,1712209791.1784673,0.8916,0.3862388183362782,11.799424171447754,11.806720733642578,37.50289060533818,37.33693761539372,3,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18486],50,0,1712209798.31528,0.8911,0.3869936566799879,14.500697135925293,14.500697135925293,34.030352019786505,34.030352019786505,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[24053],51,0,1712209805.6342776,0.8909,0.3864262355491519,6.0634026527404785,6.06344747543335,24.149534369168915,24.14900132397824,2,1
