dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712234539.510709,0.8929,0.3776060690172017,0.0021385911386460066,0.0021738011855632067,0.06969231073038114,0.0721840705933843,3,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712234548.1428552,0.8921,0.379339050874114,0.0033001031260937452,0.003103561233729124,0.08466671940528954,0.08019217043052397,3,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712234556.092112,0.8919,0.38168532475829126,2.1279103755950928,2.1854710578918457,26.58486159657471,27.50964809672863,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712234565.0238128,0.892,0.37960395673289893,0.015842169523239136,0.013935056515038013,0.7282334118232175,0.6407653835883358,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712234573.5874949,0.8929,0.3781584808602929,0.00011789103882620111,0.00013779645087197423,0.005303733741670564,0.006310521913607621,3,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712234581.866487,0.8929,0.3781629982404411,0.0020731640979647636,0.0019357530400156975,0.09336430611218133,0.08803469675814934,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712234589.9718802,0.8938,0.37514695394784214,0.03146708011627197,0.02242749184370041,1.3849594871223492,0.988710738968654,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712234598.9824822,0.8932,0.3753172933124006,2.325345754623413,1.9846906661987305,32.50529966951359,30.85238429571447,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712234607.559372,0.8932,0.37853200659155845,0.4413753151893616,0.6258792281150818,15.443527158464969,20.205246363074465,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712234616.3490086,0.8934,0.37807053290307524,0.00025102324434556067,0.0002699726028367877,0.010222186326973581,0.011011399639166525,3,2
