dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1712310188.3082037,0.8949,0.37369871186092496,19.263952255249023,19.141361236572266,46.06682469845985,46.09383006595453,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1712310196.29322,0.8946,0.37286258125677707,18.393938064575195,18.310457229614258,43.260924804070065,43.26090571739685,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1712310204.67021,0.8965,0.3684256144799292,18.454025268554688,18.034290313720703,52.35178962465553,52.345145810654714,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1712310212.5507367,0.8962,0.36803392618894576,16.77529525756836,16.75555419921875,39.809164663624806,39.557771421926354,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1712310220.0287611,0.8955,0.36828661654144523,16.784351348876953,16.760772705078125,47.74953971835566,47.74828413196623,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1712310227.8301694,0.8957,0.3680737927556038,16.343603134155273,16.42280387878418,39.93957176752121,39.952427647156156,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1712310235.4722757,0.8958,0.3698143523186445,16.181150436401367,15.731279373168945,50.65441968302012,50.61877275538868,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1712310243.2401743,0.896,0.36915119271725416,15.713906288146973,15.839247703552246,43.46277732758269,43.395595370419606,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1712310251.2783847,0.8961,0.3698101411573589,15.511358261108398,15.571718215942383,43.89831078149548,44.39096294423045,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1712310259.266948,0.8959,0.37043915018439294,14.923789024353027,14.971498489379883,45.42533131479487,45.39381440787981,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56998],10,0,1712310267.0201871,0.8973,0.3660875613801181,14.918519020080566,14.952058792114258,36.90674590994113,37.053547946538856,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50978],11,0,1712310274.1945333,0.8967,0.36543472819030287,15.092408180236816,15.0366792678833,44.41385387868174,44.40945712328341,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[37304],12,0,1712310282.2598903,0.8974,0.36077323779463766,13.711906433105469,13.63249397277832,38.807900464378626,38.583437662792896,3,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13572],13,0,1712310290.2313359,0.8978,0.36229530423879625,13.95844841003418,13.960779190063477,37.565454650592734,37.36316328090343,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34683],14,0,1712310298.2271585,0.8977,0.3629954495467246,13.774870872497559,13.895679473876953,34.17774238601147,34.35563700928286,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28425],15,0,1712310305.079615,0.8974,0.3640989259816706,14.124929428100586,14.212478637695312,45.24415334988602,45.244523556153204,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39767],16,0,1712310312.7125251,0.8967,0.36909237736836076,13.527362823486328,13.7724609375,48.31283252643579,48.01388946596304,3,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56733],17,0,1712310320.549808,0.8968,0.3685907582752407,13.483258247375488,13.822166442871094,49.89596057712928,49.8972733599681,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31579],18,0,1712310351.8817775,0.8957,0.37160524241626264,13.489871978759766,13.521562576293945,49.311367489410635,49.30181542428869,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33963],19,0,1712310359.7064686,0.8947,0.37392827942967416,13.351734161376953,13.626559257507324,38.81050340002533,38.824546921004625,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[30634],20,0,1712310367.546355,0.8949,0.3727019974961877,13.136655807495117,13.263415336608887,45.0347016410457,45.039304434146295,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[59422],21,0,1712310374.9009504,0.8947,0.3730048227123916,13.445561408996582,13.696684837341309,54.83163268679567,55.503937077144876,3,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5412],22,0,1712310413.690624,0.8945,0.3710378121584654,12.680665016174316,12.785552978515625,55.71987871695876,55.7210387586766,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33065],23,0,1712310421.7223215,0.8943,0.370168511942029,13.35364055633545,13.275691986083984,40.85174569615201,40.87598647198126,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12111],24,0,1712310429.300411,0.8936,0.37250768756493924,12.732377052307129,12.867982864379883,39.04497486085966,39.16398315342009,3,3
