dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1712289229.6341615,0.8935,0.3764364774338901,1.790266990661621,1.9490292072296143,20.073276933808266,20.663748686265198,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1712289238.733062,0.8934,0.37668516151607034,1.7608461380004883,1.9432862997055054,22.105338967999955,23.01310871883932,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1712289246.6843877,0.8916,0.3802507421001792,1.6060607433319092,1.6930809020996094,17.543326361713024,17.952079547854613,3,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712289254.3278487,0.8905,0.38341553658246996,3.3352441787719727,3.4248874187469482,25.91940374234465,26.03176550193598,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1712289261.9816134,0.8912,0.38256935281679033,1.7755117416381836,1.730678677558899,18.802784639569108,18.572130520456884,3,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1712289270.541011,0.8932,0.37719928231090305,1.7574280500411987,1.7608106136322021,24.88745809495824,24.80226021640751,5,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1712289279.4094536,0.8938,0.37778916489332914,1.405982255935669,1.3250460624694824,19.72346478359643,19.183202053052387,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1712289287.3432431,0.8929,0.3806796124204993,1.6842011213302612,1.6092129945755005,22.428308166180667,22.063152666552977,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1712289295.1731234,0.8912,0.384525736887008,1.3876209259033203,1.4248288869857788,18.022074126934193,18.239868811586472,4,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1712289304.5261662,0.892,0.3836592026986182,1.9526798725128174,1.9699167013168335,28.68203220876816,28.76307964504231,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1712289312.7271583,0.8914,0.385427625477314,1.5448917150497437,1.5481207370758057,20.739360036820315,20.792012405009046,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1712289320.314383,0.8917,0.38404401354491713,2.1097073554992676,2.0905137062072754,24.160125452720848,24.08174631121011,4,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16573],12,0,1712289328.1132753,0.8936,0.3818777768872678,2.1215314865112305,2.202737808227539,20.54861850852224,20.79289444771979,3,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23278],13,0,1712289336.099728,0.8939,0.38040562057867644,1.3393069505691528,1.3006564378738403,19.706644783525483,19.413592838951526,4,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41377],14,0,1712289343.8454149,0.8933,0.3813489355146885,1.6544016599655151,1.6447315216064453,15.491591936520512,15.412744333123019,3,4
