dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1712299773.8840823,0.8922,0.38160283863544464,0.7194698452949524,0.7339464426040649,20.722909832176846,21.06657032621992,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1712299781.2942984,0.8924,0.3810909930616617,0.7369346022605896,0.8751859664916992,16.543446381956194,18.666445155405444,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1712299789.9303858,0.8922,0.3814265296794474,1.1103923320770264,0.9991422295570374,29.2728934460986,27.7941488311663,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712299798.564858,0.8915,0.3809622019529343,3.081310749053955,2.9263064861297607,25.670349369157474,25.477307889200763,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1712299806.5343974,0.8909,0.38416778538376095,0.6508669853210449,0.5215799808502197,17.539634849912584,14.832952294676053,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1712299814.602188,0.8912,0.38390750251710415,1.0660604238510132,0.9374828338623047,31.15407832263934,28.453566213692234,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1712299822.1703053,0.8922,0.38162073139101266,1.1164488792419434,1.1124581098556519,19.63414886766385,19.660423662915896,3,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1712299830.5582316,0.8922,0.38193608317524197,0.7070073485374451,0.6919495463371277,20.056088768224754,19.662550981732625,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1712299838.7906168,0.8945,0.3754149774089456,3.21260404586792,3.018718957901001,34.77874287171071,34.62979776890365,3,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1712299846.6878412,0.8947,0.37521864753216505,0.7133234739303589,0.7699415683746338,22.001832837650777,23.182491104763166,2,2
