dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42977],0,0,1712317882.5785072,0.892,0.38284463305026295,9.86709213256836,10.271283149719238,69.08568912921297,69.0980894903681,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49073],1,0,1712317890.7385104,0.8916,0.3844914044253528,8.808115005493164,8.761723518371582,63.76812764451904,63.7656970876734,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12245],2,0,1712317898.8257246,0.8937,0.3792020655237138,4.155564785003662,3.820131778717041,63.473478824436796,62.999920382456274,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[361],3,0,1712317907.1281168,0.893,0.38002721723169086,6.054478168487549,6.26228666305542,62.40361680560466,62.420993360895075,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47526],4,0,1712317915.0967398,0.8913,0.3840232375077903,7.510529518127441,7.685760021209717,61.3312840348296,61.341109483023025,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56209],5,0,1712317923.0023668,0.8911,0.3863303831778467,4.893739223480225,4.6404924392700195,59.57170095133273,59.40758944579029,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26142],6,0,1712317931.4304757,0.8913,0.38399423770606517,3.9371120929718018,3.622272491455078,57.67909898016394,57.297301575790755,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50315],7,0,1712317939.8060963,0.8912,0.38254601825028656,6.157680511474609,5.638016223907471,57.349808254748815,57.25271424274755,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11861],8,0,1712317947.8825397,0.8903,0.38559650583192706,9.165741920471191,9.498517036437988,57.019383793515985,57.137174715730545,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54520],9,0,1712317956.529781,0.8912,0.3834716534242034,3.9862418174743652,3.9756839275360107,56.78301779120687,56.76915867497131,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34953],10,0,1712317964.4175408,0.8904,0.3884973361156881,12.174188613891602,12.538849830627441,56.34808329610493,56.43974051478429,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48362],11,0,1712317972.5148644,0.8914,0.3840323699638247,3.2458252906799316,3.025806188583374,55.093923323623486,54.54366510428177,2,9
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43300],12,0,1712317980.6225128,0.8908,0.3858593962155282,3.3017079830169678,3.581843614578247,55.18519708981303,55.86100884982147,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5412],13,0,1712317988.65575,0.8925,0.38255179589614274,12.647263526916504,12.50071907043457,55.68989699842234,55.69174771966135,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17036],14,0,1712317996.8103445,0.8929,0.38197339456528423,2.6838455200195312,2.859806537628174,60.0932786262716,60.80619941900994,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36740],15,0,1712318005.0143306,0.8929,0.3816994736902416,5.736217975616455,5.83706521987915,55.36648177747045,55.38869430024982,2,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8268],16,0,1712318013.1263382,0.8934,0.3794220298528671,4.3199567794799805,3.919907331466675,55.52616432686122,54.99651294394859,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3383],17,0,1712318021.310578,0.8937,0.37810441218316554,5.124796390533447,5.0134172439575195,55.09032422632234,55.04873053203952,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[59422],18,0,1712318028.930532,0.8939,0.3770288866013288,13.350190162658691,12.80695629119873,56.537764290837885,55.673655835263084,3,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22781],19,0,1712318037.2195823,0.8959,0.3718453713692725,1.8608617782592773,1.651505470275879,54.22317174197345,51.839688198340966,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28181],20,0,1712318045.598266,0.8961,0.3688308004289865,5.313206672668457,5.420429229736328,53.821831651330754,53.74496354203394,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[767],21,0,1712318053.5013187,0.895,0.372722689807415,10.051197052001953,10.656166076660156,54.571087586424234,54.64930331899776,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1298],22,0,1712318061.3986146,0.8942,0.3740500814281404,8.240974426269531,7.829376220703125,54.23252027739163,54.22294213386612,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21424],23,0,1712318069.4360907,0.8937,0.37646964890882373,6.62565279006958,6.700326442718506,54.1711017256463,54.18891095302573,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[27490],24,0,1712318077.6612377,0.8924,0.3812225714325905,6.536245346069336,6.607275485992432,54.70917387485958,54.60091232854536,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41171],25,0,1712318085.6498885,0.8922,0.3808923251926899,3.2427773475646973,3.0463831424713135,53.36649597527871,52.881144216889226,2,6
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20062],26,0,1712318093.881294,0.8921,0.3802051546052098,2.8526978492736816,2.4706175327301025,53.02098831206298,51.32372897489498,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29489],27,0,1712318102.1440196,0.8922,0.37845409754663706,9.26382827758789,8.93582820892334,53.58177795558256,53.56882257772967,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31607],28,0,1712318110.387417,0.8912,0.3803032450377941,1.9673869609832764,1.8591557741165161,48.71762572921874,47.821854557545755,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[32875],29,0,1712318119.258465,0.8912,0.38085609637200835,7.338453769683838,7.591268062591553,53.22087949273263,53.25945193385991,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18966],30,0,1712318127.6706173,0.8922,0.37700086906552316,4.518215179443359,4.379518032073975,51.362941915941164,51.50442013986174,3,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48759],31,0,1712318135.8828878,0.8936,0.3738749659620225,2.8420867919921875,2.859032154083252,52.51783736005115,52.57247376722489,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[27549],32,0,1712318143.5947673,0.8935,0.37332836585119367,6.878360748291016,7.189887523651123,55.17021533632322,55.45927554322964,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53761],33,0,1712318151.6448324,0.8943,0.37186498697847126,6.217846393585205,6.285561561584473,53.41901223013992,53.28230534774348,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54048],34,0,1712318159.5027382,0.8933,0.37693220023065804,6.483852386474609,6.6869587898254395,53.01917165680251,53.04668907389383,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31343],35,0,1712318167.6488278,0.8929,0.3772436363622546,9.490410804748535,9.280956268310547,52.92868126552419,52.776979724472596,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2506],36,0,1712318176.2281957,0.8908,0.380405543372035,3.5752673149108887,3.6708526611328125,53.291042536634905,53.428730207924815,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11264],37,0,1712318184.9872644,0.8911,0.37905240394175055,3.651543140411377,3.440401554107666,51.970746730225734,51.52763514872639,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29379],38,0,1712318193.1111894,0.8907,0.38302783127874135,4.02510929107666,4.3324384689331055,52.01759024976491,53.04206439888791,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29029],39,0,1712318201.5711765,0.8906,0.38338747071102264,3.8309333324432373,3.9174256324768066,52.963138500210434,53.13906994881806,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49610],40,0,1712318210.1891513,0.8897,0.38706404715776443,7.47381067276001,7.651776313781738,51.4639324852394,51.57908131446754,3,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],41,0,1712318219.0626435,0.8919,0.3773451847024262,19.45309829711914,19.26263427734375,52.354861576613324,52.34862226922337,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25075],42,0,1712318227.6169975,0.8924,0.3782310036942363,6.319550037384033,6.084792137145996,52.23202163456335,52.19834850425369,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9480],43,0,1712318236.2265637,0.8921,0.37952477028593423,3.822692632675171,3.7534236907958984,51.9568927749886,51.858691105186516,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13777],44,0,1712318244.6617062,0.8926,0.3763650770299137,6.939028263092041,6.64279842376709,49.05088695258826,49.25738490702262,3,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48306],45,0,1712318253.459386,0.8931,0.3751566844061017,8.28219223022461,8.283243179321289,52.06630814054923,52.0679032743065,2,1
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20553],46,0,1712318261.8705661,0.8924,0.37639874452725053,3.2678794860839844,3.0855672359466553,52.88661694941163,52.55641098602708,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56196],47,0,1712318269.9108062,0.8926,0.3756645536981523,2.8513314723968506,2.911684513092041,52.028544673444244,52.20502460116576,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44513],48,0,1712318278.4821901,0.8934,0.37397884428501127,6.185717582702637,6.058467388153076,52.04046465135729,52.0170338322874,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44833],49,0,1712318286.9887152,0.8939,0.37046222686767577,3.2189879417419434,3.1709821224212646,53.46594707036539,53.32431924961028,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[46206],50,0,1712318295.188641,0.8949,0.36808191407471896,7.2263031005859375,6.76751184463501,51.830085661990445,51.80649061565957,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7533],51,0,1712318303.6692965,0.8945,0.3706910727545619,3.2880172729492188,3.7264649868011475,50.68459861326184,51.41140697286476,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3200],52,0,1712318312.6664772,0.895,0.3683718927204609,3.4728333950042725,3.4491453170776367,51.94494512792358,52.026859223497866,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18122],53,0,1712318321.1543205,0.8942,0.36945937452837824,13.895696640014648,14.117780685424805,52.306126789892915,52.463203172295614,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14474],54,0,1712318329.600002,0.8946,0.3690562730655074,8.359055519104004,8.044805526733398,51.51268630194388,51.505950826333965,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23229],55,0,1712318337.5983326,0.8951,0.3687850911170244,5.849879264831543,5.745779991149902,51.09445408351304,51.10254045444666,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25888],56,0,1712318345.982428,0.895,0.3708822848275304,4.140789031982422,4.415318965911865,50.210102869537664,50.96442158532163,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14836],57,0,1712318354.4537013,0.8946,0.37324812095612286,7.419984817504883,7.5175042152404785,51.875729770315935,51.87616480591224,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3538],58,0,1712318363.0881903,0.8951,0.37349823378026487,4.127804756164551,4.17960262298584,49.3384503363867,50.48660282480612,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[37659],59,0,1712318371.9457695,0.8955,0.3711895916610956,2.5452733039855957,2.1091244220733643,47.863422542771424,45.48281492348012,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42364],60,0,1712318380.4126391,0.8958,0.36965560503304007,7.670648097991943,7.530048847198486,50.55181676608798,50.507122139695525,2,2
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58939],61,0,1712318389.6506772,0.8968,0.3671425930224359,4.2104034423828125,3.9991025924682617,50.77445988756158,50.56323449741898,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33920],62,0,1712318397.7482102,0.8976,0.3659858169965446,7.786953926086426,7.922751426696777,50.807138695907284,50.80798206771675,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[27426],63,0,1712318406.0344167,0.8987,0.3601527139544487,2.750319242477417,2.2947468757629395,51.99668196959218,49.38771365451934,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5406],64,0,1712318414.80187,0.8987,0.36058538211509583,2.6112184524536133,2.500077247619629,48.46113391541512,48.00885449209223,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50947],65,0,1712318423.5782843,0.8982,0.360731640458107,4.249183654785156,4.5961480140686035,49.75860986308826,49.96076428947073,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],66,0,1712318431.4140968,0.8975,0.361363126244396,16.14252471923828,16.183700561523438,50.695061986899645,50.69041388237087,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[32076],67,0,1712318439.112288,0.898,0.35862140329554676,6.1036176681518555,5.786326885223389,50.58987400178853,50.53055534252897,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48272],68,0,1712318447.2865672,0.8985,0.35937742702662945,5.842753887176514,5.920917510986328,47.74091713158685,48.27300001432086,3,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34925],69,0,1712318455.4464698,0.8978,0.3596597301773727,3.360396385192871,3.615626096725464,51.167293299954046,51.607577380660246,2,7
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[37949],70,0,1712318463.4713063,0.8986,0.3573995428159833,2.8084137439727783,2.5863797664642334,49.487856718542226,48.28190864757956,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[32366],71,0,1712318471.6542697,0.8988,0.3597072801552713,6.1882853507995605,6.3577961921691895,52.557298025730745,52.888356827970505,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17920],72,0,1712318479.9672418,0.8984,0.3597812139429152,4.401762008666992,4.500341892242432,51.204944913536124,51.97648664896662,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42971],73,0,1712318488.8063552,0.8991,0.3580486601218581,3.6166539192199707,3.3498103618621826,49.35509831527687,48.93392574318392,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36865],74,0,1712318497.3783302,0.8979,0.3598862899467349,2.433310031890869,2.1254255771636963,48.755539883707506,47.03867942556092,2,5
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56733],75,0,1712318505.3423426,0.8971,0.3627141652628779,13.453319549560547,13.403924942016602,49.90202837783803,49.901776509618145,2,3
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[35759],76,0,1712318514.3540697,0.8964,0.3647850285284221,4.490772247314453,4.2314372062683105,51.51785569319458,51.341719862808915,2,8
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18731],77,0,1712318524.0824535,0.8965,0.36253581624478104,3.39190411567688,3.295413017272949,49.3381413358856,49.1366903708847,2,4
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[297],78,0,1712318532.6305308,0.8972,0.3613706502132118,4.787814617156982,4.75840950012207,49.546060855826084,49.52259122419398,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25356],79,0,1712318540.6583433,0.8964,0.3620014011859894,5.062408447265625,5.08015775680542,49.56826660289602,49.57464734327531,2,0
mnist,LogisticRegressor,50,FOCI,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20849],80,0,1712318549.647192,0.8971,0.3598478347994387,2.096402406692505,1.9188189506530762,41.701319057422246,41.34695590757394,3,2
