dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712234538.4685593,0.8938,0.3782037255354226,0.0021385911386460066,0.0018857807153835893,0.06969231073038114,0.06067637550238552,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712234545.9557352,0.8931,0.3779907673597336,0.0029452538583427668,0.0037618363276124,0.07589831623981264,0.09765688527047232,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712234554.2767668,0.8924,0.3817422981373966,2.297842264175415,2.4840891361236572,27.76925125527682,28.452514214191584,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712234562.402342,0.8902,0.387952642608434,0.016085611656308174,0.011386646889150143,0.7385484732764517,0.5233866052274215,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712234570.293895,0.889,0.3885444328188896,0.00013696208770852536,0.00017820201173890382,0.006039370138328275,0.00782945662304983,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712234578.2325246,0.8892,0.39099077843129637,0.003070879727602005,0.003217878518626094,0.1380685559715685,0.14425886791014925,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712234586.159116,0.8882,0.3962786949239671,0.029844719916582108,0.029147706925868988,1.3112772797558994,1.2821867899859227,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712234594.8401701,0.8899,0.3920542187988758,2.695861577987671,2.803110361099243,33.375885826557685,33.74056075623581,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712234603.1135554,0.8874,0.3995321593247354,0.39801424741744995,0.3986179530620575,14.24183301992817,14.24580327963485,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712234610.3179069,0.8885,0.3978406612761319,0.00011848701251437888,0.00016211149340961128,0.004961681684046311,0.006851011086494375,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712234617.8709047,0.8881,0.39676512172445655,0.002932417206466198,0.0028276958037167788,0.07357943379343408,0.0710663501022118,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712234625.4588559,0.8876,0.39270383659750224,0.05126094073057175,0.07081665098667145,1.4217141564360685,1.9680580864634758,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712234633.3554447,0.8882,0.39422000423073766,0.2705915868282318,0.305614173412323,6.309992088184638,7.016385465306422,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712234641.7541611,0.8871,0.3967659201472998,0.4190240502357483,0.4150301218032837,8.201390018278147,8.130100959832932,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712234650.1705124,0.8865,0.3988074829801917,0.02713531255722046,0.025568654760718346,1.0730409896553563,1.002763427135564,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712234658.3249273,0.887,0.39715590998530387,0.006823334377259016,0.005913618952035904,0.22091079375044073,0.19109884298645602,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712234666.8438268,0.8864,0.3999459410086274,0.0038669349160045385,0.00332065811380744,0.18033646613853477,0.15500626714292762,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712234674.4239578,0.8849,0.40416138153523207,0.00012981049076188356,0.00015198028995655477,0.004373966322686908,0.00511730218072457,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712234682.7441788,0.8828,0.4097507864236832,0.0008995062671601772,0.0006764031131751835,0.03234558719999528,0.024087358170445397,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1712234691.3593075,0.881,0.409566830098629,0.256521075963974,0.2614714205265045,8.275701304284894,8.428662269927228,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1712234699.146515,0.8852,0.3991905653849244,0.6916842460632324,0.6743416786193848,18.579972327119155,18.44979078142184,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1712234707.2225158,0.8837,0.40360682252794505,0.12353302538394928,0.1298181712627411,4.619555358561048,4.833638134243633,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1712234715.8089008,0.8836,0.4038838133215904,0.026135899126529694,0.02726118452847004,0.8125531157904978,0.8475669727339779,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1712234723.8140488,0.8819,0.40892910659313203,0.00891478918492794,0.009521312080323696,0.27805450004054433,0.29864816609086814,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1712234731.7633574,0.8827,0.4086494274437428,0.05701828747987747,0.062153033912181854,1.5611423349732587,1.700188883211026,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1712234739.7355711,0.8791,0.4150745563209057,0.0019515770254656672,0.0017720249015837908,0.0755883319742983,0.069648651934789,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1712234753.1355836,0.8798,0.41629404630512,1.3335273265838623,1.2794045209884644,31.018503963575906,30.533392088050846,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1712234761.2503812,0.8807,0.4131168803200126,0.017318101599812508,0.018980778753757477,0.3720511731387174,0.4037899035195296,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1712234769.4585726,0.8832,0.4079143574461341,1.1016879081726074,1.0419106483459473,28.12194087095705,27.22010415925951,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1712234777.3051267,0.8805,0.4159330058842897,0.30050578713417053,0.36171451210975647,10.539453409735366,12.456369551985913,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1712234813.3989193,0.8783,0.4208740985020995,0.0071891192346811295,0.007636994123458862,0.18236474096318325,0.1930194086136963,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1712234821.5907934,0.8781,0.42109635528177025,1.2081866264343262,1.2545539140701294,25.340654724786113,25.779001222700565,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1712234829.7593725,0.8813,0.4141014406457543,0.08271554857492447,0.08189749717712402,3.362752268550808,3.3173218127850364,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1712234837.9781234,0.8785,0.42201774250715973,1.2552168369293213,1.257441759109497,25.012873518620363,25.078932872614544,10,0
