dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1712310188.4957929,0.8939,0.37818302428349854,19.263952255249023,19.240846633911133,46.06682469845985,46.072682984750486,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1712310195.9671242,0.8931,0.3779322405345738,18.55836296081543,18.655908584594727,43.26169196678057,43.26142860497433,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1712310203.4744358,0.8926,0.38164482470601796,18.87225914001465,18.67405128479004,52.34947707431011,52.35230479440365,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1712310210.141977,0.8906,0.38755201259627936,16.79326820373535,16.857799530029297,40.510442994759394,40.85916242719367,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1712310217.4604943,0.8892,0.3880698070861399,16.515562057495117,16.182353973388672,47.77571613094019,47.75899665666017,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1712310224.4908457,0.8893,0.3904354814440012,16.80253791809082,16.716081619262695,39.99233505992176,39.98568955485234,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1712310231.9826398,0.889,0.394498775806278,16.39301872253418,16.12432289123535,50.64526085271377,50.601183987054185,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1712310239.4095461,0.8902,0.3904537122696638,15.935429573059082,15.953763008117676,42.7566816903376,42.250971719983525,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1712310247.0727284,0.8878,0.39781728480011225,15.496694564819336,15.664012908935547,42.14955990057706,42.03000232159695,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1712310254.3076015,0.889,0.39615052146837115,15.582376480102539,15.380030632019043,45.51553498553732,45.48051832695314,10,1
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56998],10,0,1712310261.1610355,0.889,0.39510614508762953,14.931551933288574,15.038904190063477,37.472764764181036,37.50079068143869,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50978],11,0,1712310268.5546465,0.889,0.3903005255386233,15.454687118530273,15.73117733001709,44.386400881882125,44.40685418466002,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[37304],12,0,1712310276.2368746,0.8889,0.3918243453837931,14.825793266296387,14.846700668334961,39.92800072170052,40.40560965707301,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13572],13,0,1712310283.7761793,0.8875,0.39438850358128547,13.72930908203125,13.540617942810059,38.00219910178965,37.69336868938077,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34683],14,0,1712310290.4898305,0.8883,0.3952989009208977,14.731046676635742,14.655977249145508,37.173494697022825,36.806151179407706,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28425],15,0,1712310297.7793837,0.888,0.39369795341044667,13.57589340209961,13.553135871887207,45.241550456337364,45.24019557400484,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39767],16,0,1712310305.9474916,0.8877,0.39630556060001254,13.460537910461426,13.310208320617676,50.53535960141928,50.28048829684699,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56733],17,0,1712310312.978331,0.8863,0.4004047181457281,11.961907386779785,11.789655685424805,49.87844408188215,49.878757014795845,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31579],18,0,1712310320.1189766,0.8836,0.40583015996962785,11.395971298217773,11.484689712524414,49.14897850122691,49.22706657046789,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33963],19,0,1712310351.8786697,0.8828,0.4063331184908748,14.315489768981934,14.365574836730957,38.63191132867135,38.66469354393016,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[30634],20,0,1712310359.29776,0.8865,0.39630158003419635,14.992490768432617,14.802048683166504,45.04446826148014,45.045239213965026,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[59422],21,0,1712310367.0874498,0.8843,0.40113225784152745,12.304893493652344,12.706890106201172,58.21772396996024,59.28572845418098,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[5412],22,0,1712310374.6482422,0.8839,0.40178718473762276,13.49060344696045,13.37496566772461,55.749364366913234,55.75118837572057,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33065],23,0,1712310412.7784142,0.8831,0.4067057577893138,12.22138786315918,12.11837100982666,40.650094217967585,40.4028581689533,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12111],24,0,1712310420.478005,0.8836,0.4057234710082412,13.993563652038574,13.942087173461914,40.26742611296781,40.189293284044155,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3176],25,0,1712310428.2346098,0.8798,0.41189478132873775,14.527451515197754,14.371857643127441,40.95041109453546,40.95020116020844,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18122],26,0,1712310435.603187,0.8801,0.413152989372611,13.966110229492188,14.058817863464355,51.22536326828858,51.23777688703447,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15358],27,0,1712310473.5558693,0.8818,0.4097458301112056,13.609848022460938,13.6276216506958,36.83708139616894,36.51332481725725,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48793],28,0,1712310481.1116686,0.8843,0.4042502358555794,13.779443740844727,14.21142864227295,45.51736447774815,45.52266180304049,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12200],29,0,1712310488.2539687,0.8814,0.4124232383444905,11.794312477111816,11.767997741699219,35.05305314220294,35.03682055792285,10,1
