dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1712289229.9438972,0.8938,0.37821456249803304,1.790266990661621,1.6759929656982422,20.073276933808266,19.556401979843105,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1712289238.0794497,0.8931,0.3779540969990194,1.9322632551193237,2.016186237335205,22.96747942091064,23.294650072586258,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1712289245.7383716,0.8923,0.3817498662509024,1.7263180017471313,1.8034698963165283,18.093710884245525,18.42645973695861,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712289253.864293,0.8906,0.3876351208426058,3.275484561920166,3.2235207557678223,25.80447833411691,25.855604440286616,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1712289261.9429934,0.8893,0.38814686769619583,1.9479525089263916,1.9440633058547974,19.377682178975892,19.374728013227866,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1712289270.126521,0.8894,0.3904639801941812,1.901265025138855,2.0783467292785645,25.651351183143408,26.259268608096562,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1712289277.8694196,0.8891,0.39443777650594714,1.5256067514419556,1.5908515453338623,20.685047134778316,21.28865098256602,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1712289285.4326952,0.8903,0.3903488477692008,1.7771235704421997,1.7788830995559692,23.16933393473455,23.135796109001564,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1712289293.503165,0.8878,0.39776343908160927,1.543189287185669,1.7845168113708496,18.96295130219653,20.091490277656067,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1712289300.6835086,0.889,0.3960413886234164,2.1283750534057617,2.3647000789642334,30.40998434337877,31.724844377121062,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1712289308.3066397,0.889,0.39493337329477074,1.7220757007598877,1.6448180675506592,21.645486710360167,21.274505134605846,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1712289315.4871762,0.8889,0.39002929339185355,1.816228985786438,1.8166528940200806,23.154645134308826,23.25162115665855,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16573],12,0,1712289323.4673347,0.889,0.39177832193672657,1.48826003074646,1.5236111879348755,18.323238756543127,18.479949914961736,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23278],13,0,1712289331.4049242,0.8874,0.3943251890130341,1.7316995859146118,1.8135030269622803,22.308505533726237,23.09203222922598,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41377],14,0,1712289339.6156058,0.8881,0.39523634715005757,1.5284779071807861,1.5091880559921265,15.180496235172477,15.065901989772685,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58197],15,0,1712289347.7240412,0.8878,0.3935479287058115,1.490548849105835,1.408886432647705,19.681613737951817,19.145769606193664,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10049],16,0,1712289355.6041226,0.8878,0.3960624968633056,1.6103960275650024,1.571646809577942,19.373019280496838,19.165811779327413,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22958],17,0,1712289363.4609365,0.8865,0.4001907451078296,2.5759198665618896,2.6254525184631348,26.329615189299943,26.369669871766032,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21739],18,0,1712289371.3224669,0.8836,0.40564255360513923,2.48479962348938,2.498817205429077,27.087590297979375,27.093076013385556,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28116],19,0,1712289379.2915518,0.8829,0.4060664430260658,2.678257942199707,2.610530376434326,24.879035680147723,24.697792871679685,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15093],20,0,1712289387.1082644,0.8863,0.395952064730227,1.882179617881775,1.8775721788406372,20.890609412872095,20.839600475498475,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20628],21,0,1712289394.9363654,0.8841,0.4008016362786293,1.4964320659637451,1.4710557460784912,17.574705397687712,17.450064668701334,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34065],22,0,1712289402.9864783,0.8842,0.40146889351308346,2.039865255355835,2.2399063110351562,20.84140698142641,21.661023173397112,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17321],23,0,1712289410.422178,0.8832,0.40630700439214706,1.779530644416809,1.7313954830169678,26.101432033790914,25.81488754135565,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18383],24,0,1712289418.585568,0.8842,0.40540207345038654,5.16298246383667,5.271663665771484,33.54800136664289,33.323434377290944,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9444],25,0,1712289427.0421538,0.8801,0.4115203956142068,1.827795386314392,1.836310863494873,22.641161384755964,22.956639559847524,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50134],26,0,1712289434.763812,0.8802,0.41275676265358924,2.361268997192383,2.5560975074768066,26.046032942568367,26.427439780282665,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22197],27,0,1712289442.6671038,0.8821,0.40930967275053265,1.6329916715621948,1.6561726331710815,21.48570910488745,21.54980840125919,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48487],28,0,1712289450.7766933,0.8845,0.4039118343964219,0.7298712134361267,0.7278873920440674,15.002318459684819,14.94801134352563,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18727],29,0,1712289458.8067303,0.8815,0.41192820239812133,1.7056670188903809,1.8171000480651855,19.53001929499073,20.073470955975818,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10532],30,0,1712289466.805151,0.8799,0.4166868956759572,1.490945816040039,1.3876368999481201,22.079284772994704,21.284365787946395,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36712],31,0,1712289474.8487427,0.8792,0.41707642562687397,1.190051794052124,1.1688876152038574,15.936239710884303,15.823215598071458,10,6
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44132],32,0,1712289482.157522,0.8818,0.4122364059090614,1.9100921154022217,1.9269336462020874,23.528985536697714,23.778215966301627,10,9
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21366],33,0,1712289489.8950162,0.879,0.4202822307124734,1.5137567520141602,1.347065806388855,23.708956290852328,22.61316221117082,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44399],34,0,1712289497.4932542,0.8749,0.42786884903907774,1.0634934902191162,1.1226195096969604,15.87555514904904,16.248407171526726,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38726],35,0,1712289505.6545146,0.8769,0.4253839485347271,2.694020986557007,2.5712361335754395,29.97637146974941,29.678552992502194,10,7
