dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1712299774.0790215,0.8938,0.3780925805680454,0.7194698452949524,0.7263256907463074,20.722909832176846,20.923313567378333,10,5
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1712299781.6302567,0.8931,0.37787953214719894,0.6704376339912415,0.7291058301925659,15.455410514703726,16.430565150258243,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1712299789.805025,0.8923,0.38165905950590967,1.070703387260437,0.9197295904159546,28.8171276412436,26.553127714711742,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712299798.0423145,0.8907,0.38754592686891554,3.279416084289551,3.227393388748169,25.808895530728645,25.8600521825324,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1712299806.4825473,0.8891,0.3882069458253682,0.6856322884559631,0.7376139760017395,18.325665260035606,19.29242410756905,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1712299814.4666247,0.8891,0.39056794755160806,0.9297375082969666,1.083356499671936,29.32895050661432,32.11275731814195,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1712299822.7407217,0.889,0.394669459015131,1.113864779472351,1.1718813180923462,19.816255239727315,20.443416350800035,10,7
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1712299830.922534,0.8902,0.39056443274021146,0.6243001818656921,0.46014389395713806,18.275782879260127,14.521477706360947,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1712299838.9384732,0.8876,0.39789927704259753,3.2030882835388184,3.0832269191741943,35.35772909447757,35.21379552876209,10,4
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1712299846.4886198,0.8889,0.39626153791323304,0.5162029266357422,0.5503020286560059,16.885042716798345,17.60984102547799,10,2
