dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[42977],0,0,1712317882.7054284,0.8939,0.37814571531489494,9.86709213256836,10.315520286560059,69.08568912921297,69.10833027752098,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49073],1,0,1712317891.3641145,0.8931,0.37786425910890103,8.77431869506836,8.721234321594238,63.76080925916536,63.75741334276412,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12245],2,0,1712317899.0064497,0.8925,0.38160654278472067,3.7979161739349365,3.394092559814453,62.9091891319077,62.137425964701244,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[361],3,0,1712317907.0948405,0.8907,0.3874620694667101,6.143394470214844,5.9919233322143555,62.43862556763318,62.40293379896285,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47526],4,0,1712317915.2840261,0.8892,0.3879788543097675,7.185608386993408,7.060824394226074,61.326472424188644,61.30814938768844,10,0
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56209],5,0,1712317923.122692,0.8892,0.39043073952198026,5.069339752197266,5.229306221008301,59.69578525555731,59.73665954803758,10,8
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26142],6,0,1712317931.4818668,0.889,0.3944453319534659,4.267861366271973,4.243395805358887,58.2940050315936,58.32226837363771,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50315],7,0,1712317939.7226844,0.8902,0.3904332277365029,6.41245174407959,6.012523174285889,57.46130706263482,57.29109013143849,10,2
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11861],8,0,1712317948.0024471,0.8877,0.3977558836340904,9.593464851379395,9.962952613830566,56.334220617855124,56.50219736219848,10,3
mnist,LogisticRegressor,50,Full,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54520],9,0,1712317955.8824525,0.889,0.396053577773273,4.094021797180176,3.924347400665283,56.8959589367867,56.717568554638845,10,5
