dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15281],0,0,1712234539.6965895,0.8949,0.3735886142589152,0.0021385911386460066,0.002190216211602092,0.06969231073038114,0.07098600029334527,3,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21435],1,0,1712234547.9484513,0.8948,0.372967258002609,0.003263150341808796,0.0030755146872252226,0.08375716758496664,0.07892338424296304,3,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44536],2,0,1712234556.6737936,0.8945,0.3737553462386131,2.016787528991699,2.1467227935791016,26.2211942062979,27.26362898973283,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13518],3,0,1712234564.6829846,0.8949,0.3731074762530625,0.023122912272810936,0.023122912272810936,1.0638749155580873,1.0638749155580873,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47529],4,0,1712234573.0987213,0.8934,0.3743177165277302,0.00011920218821614981,9.512448741588742e-05,0.005347558425094195,0.004266287763538544,3,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53560],5,0,1712234581.8381271,0.892,0.3755312397144735,0.003357489826157689,0.003357489826157689,0.1519759820291659,0.1519759820291659,3,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41094],6,0,1712234591.2266335,0.892,0.3756231086328626,0.033653609454631805,0.033653147518634796,1.4715850069940228,1.4715740345014556,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6060],7,0,1712234599.666299,0.8919,0.3760275929234922,2.9454715251922607,2.9452974796295166,34.41519048487923,34.41792381737627,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9358],8,0,1712234607.6610527,0.892,0.3773932311683893,0.30825304985046387,0.3104734420776367,11.369374825341472,11.398594072336577,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49039],9,0,1712234616.1844563,0.8919,0.3777376864105463,0.0001401803019689396,0.0001401803019689396,0.005742812278506607,0.005742812278506607,1,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[57207],10,0,1712234624.1634407,0.8916,0.379689918551594,0.002228397876024246,0.00220853416249156,0.056870472269611456,0.056135819548241185,3,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[9870],11,0,1712234631.8017964,0.8921,0.38073573233559727,0.060504451394081116,0.060967326164245605,1.615331478323345,1.6242715273036383,3,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11395],12,0,1712234640.0391304,0.8916,0.3807869339361787,0.1839803159236908,0.199426531791687,4.464102949063603,4.822147955981485,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19191],13,0,1712234647.6670535,0.8919,0.3813433937728405,0.42430970072746277,0.4115884602069855,8.587988008755294,8.356328630367935,3,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53261],14,0,1712234655.6798248,0.8903,0.38642752170562744,0.03556700795888901,0.09190923720598221,1.3553788374619289,3.406187272136991,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16683],15,0,1712234663.7582734,0.8896,0.3871478419750929,0.016862468793988228,0.01741745136678219,0.5468059685031705,0.5652608237207276,3,6
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[29618],16,0,1712234672.3646028,0.8901,0.3865200755186379,0.00129270413890481,0.0012694880133494735,0.060136530973119294,0.05903358782801827,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17209],17,0,1712234681.0723574,0.8904,0.3882263680920005,0.00010883215873036534,0.00010513706365600228,0.0036682493059138647,0.0035477270825490163,3,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[44969],18,0,1712234689.3813603,0.89,0.3887626956216991,0.0015254301251843572,0.0015255491016432643,0.05880706034739771,0.05881104499544247,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41883],19,0,1712234697.2401423,0.8903,0.38898421358317137,0.2739681601524353,0.2738615572452545,8.592268651451732,8.590965053385855,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[52664],20,0,1712234706.178752,0.8906,0.3870531015098095,1.0648446083068848,1.0529537200927734,25.97628909770885,25.97812299024989,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[11426],21,0,1712234714.6827781,0.8901,0.3916966412216425,0.06964173167943954,0.06969310343265533,2.546349704992438,2.5473864958208776,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[6718],22,0,1712234722.94693,0.891,0.3905145886354148,0.011767260730266571,0.01205986924469471,0.35781361674842427,0.36617394768157324,4,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[25555],23,0,1712234731.5747597,0.8898,0.39174029966816304,0.01521669328212738,0.01518968865275383,0.477706944826263,0.4771084126008085,3,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58248],24,0,1712234739.7943518,0.8894,0.3916119759902358,0.06327971071004868,0.06041961535811424,1.7028748856762852,1.6393103713959294,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[19358],25,0,1712234754.198603,0.8891,0.3924619618803263,0.0003657863999251276,0.00037222131504677236,0.014581875825345899,0.014772170697893926,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21687],26,0,1712234762.534981,0.8892,0.3923669527284801,1.6509606838226318,1.6509513854980469,34.6517330980992,34.65178652463932,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[47925],27,0,1712234770.746855,0.8904,0.38972998643293977,0.011327714659273624,0.01109207235276699,0.23530443071557341,0.23075000365051906,3,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14876],28,0,1712234779.6410687,0.8899,0.3900900907814503,1.938391089439392,1.9385707378387451,36.287087950911435,36.28438946653121,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20982],29,0,1712234815.4469047,0.8902,0.3900165161117911,0.16100825369358063,0.16596324741840363,6.0216719932958345,6.192071016901207,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54591],30,0,1712234823.9075387,0.8888,0.3935686979442835,0.007271254435181618,0.007776462938636541,0.19290684673740133,0.20767109620985613,3,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[1818],31,0,1712234832.06255,0.8888,0.39309554882347586,0.6637147068977356,0.670802116394043,17.00056752131299,17.041184498180765,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45104],32,0,1712234840.2476163,0.889,0.39107508640736344,0.03910478577017784,0.030567608773708344,1.6169547006600353,1.2693240306831037,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33785],33,0,1712234877.23159,0.8893,0.38877681605517866,0.9583655595779419,0.8846040368080139,21.968044730927566,20.834083362322538,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[31738],34,0,1712234885.514792,0.8899,0.3883520028553903,0.00025829317746683955,0.0002673506969586015,0.011876730765277024,0.012295735264225931,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13161],35,0,1712234893.8047109,0.8906,0.3876184668391943,0.004974963143467903,0.004810664337128401,0.14689834888250275,0.1415580293923793,3,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23487],36,0,1712234901.7165666,0.8916,0.3848119325004518,0.05762964114546776,0.06309584528207779,2.069738416358533,2.259930210640337,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[38161],37,0,1712234938.4504504,0.8912,0.3851334160193801,0.24638329446315765,0.25630179047584534,7.846670441495171,8.121521876559918,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3264],38,0,1712234946.9069245,0.8906,0.38794592414051293,0.006235549226403236,0.0062343645840883255,0.270929800543673,0.2709022197631372,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21854],39,0,1712234955.194643,0.8889,0.39070724695920944,0.0002109781780745834,0.00020203932945150882,0.00785966899989331,0.007497659009581012,3,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23490],40,0,1712234992.1618383,0.8894,0.3909451186656952,0.017699042335152626,0.02073691226541996,0.36461530316786095,0.42706873996376293,4,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20117],41,0,1712234999.8948843,0.8894,0.3924351228401065,0.005756348837167025,0.005756585858762264,0.2642681037426986,0.2642745436186603,3,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54444],42,0,1712235008.1974564,0.8891,0.3931042531505227,0.6262908577919006,0.6354453563690186,21.075190575354206,21.295793380919722,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45921],43,0,1712235016.370941,0.8887,0.39308169931173326,0.06068161502480507,0.05673651397228241,2.936148311946709,2.7506271775751725,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36220],44,0,1712235053.2185411,0.8893,0.3876151409000158,0.0015425699530169368,0.0015460216673091054,0.0521031818816154,0.05217991486901875,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41626],45,0,1712235061.3787942,0.8889,0.3888701546937227,0.00968814454972744,0.009806551970541477,0.3146027515269864,0.31885555120452447,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10208],46,0,1712235069.3885243,0.8886,0.390472743101418,0.7870942950248718,0.8305903077125549,14.371889752597408,14.935420964784859,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18849],47,0,1712235077.6380775,0.8881,0.39010295607149603,0.009620257653295994,0.011060829274356365,0.3121521418904927,0.3636049241543134,4,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12368],48,0,1712235085.9103305,0.8881,0.38981133038178084,1.586920976638794,1.5904401540756226,27.683115246383732,27.653515489302926,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[46581],49,0,1712235093.8637857,0.8881,0.39020658219233156,1.1254024505615234,1.136633276939392,27.279059558271697,27.29642686428606,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[18486],50,0,1712235101.9615755,0.8884,0.3894567838869989,3.6786181926727295,3.678614377975464,34.49711077487564,34.49716803547343,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[24053],51,0,1712235110.1465209,0.8888,0.3901060864329338,0.013459297828376293,0.0135088125243783,0.33124381779925127,0.3320586267898415,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50000],52,0,1712235119.3521621,0.8885,0.3894569302909076,0.06375651806592941,0.052294399589300156,2.6513998955315996,2.1676073968572256,3,8
