dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16788],0,0,1712310188.806035,0.894,0.3758216899819672,19.263952255249023,19.267396926879883,46.06682469845985,45.98984263278403,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12068],1,0,1712310196.1706214,0.8937,0.3767755450680852,18.67911148071289,18.75835418701172,43.26092861672961,43.261840816339394,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21104],2,0,1712310204.7793431,0.8924,0.3803538613952696,18.454164505004883,18.57802391052246,52.348118545831966,52.35085086888931,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45094],3,0,1712310212.930911,0.8916,0.38171236254274843,16.57041358947754,16.615760803222656,39.65353664357339,39.48823745068281,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[12157],4,0,1712310220.8138263,0.8922,0.38028457751497624,16.725940704345703,16.725940704345703,47.739029456938944,47.739029456938944,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36597],5,0,1712310228.8672674,0.892,0.3807005548849702,16.978897094726562,16.97886848449707,39.990426526656975,39.99099146113517,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34914],6,0,1712310236.4243908,0.8919,0.38163577811792493,15.951114654541016,15.951214790344238,50.65662161936282,50.65408767413031,2,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17538],7,0,1712310244.6880963,0.8929,0.3787743520922959,15.927374839782715,15.92732048034668,44.86547312054232,44.866625706702,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[20621],8,0,1712310253.0426645,0.8919,0.38041847534477713,15.296122550964355,15.14990234375,42.06864634520824,41.88844749698338,3,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28772],9,0,1712310260.8327124,0.8923,0.3798237034119666,14.925642013549805,14.925918579101562,45.49238010472388,45.48615534446318,2,1
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56998],10,0,1712310268.605989,0.8926,0.37809674357995393,14.809907913208008,14.907733917236328,37.667224601286655,37.65118089559678,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[50978],11,0,1712310276.4062862,0.8929,0.3779062883928418,14.660998344421387,14.660998344421387,44.41577364189899,44.41576982913033,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[37304],12,0,1712310284.619939,0.8928,0.37841868521645666,14.67377758026123,14.673788070678711,39.81964529472838,39.81946590094135,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13572],13,0,1712310292.2366753,0.8926,0.37909531090408566,14.846087455749512,14.846087455749512,39.16192201282517,39.16192201282517,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[34683],14,0,1712310299.903827,0.8929,0.3792622513137758,14.22414493560791,14.177207946777344,35.30574430191684,35.311149279688564,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[28425],15,0,1712310307.601732,0.892,0.3809019045904279,13.549772262573242,13.549796104431152,45.23840560762021,45.237871289296436,2,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39767],16,0,1712310315.3700528,0.8923,0.3786608915776014,13.447976112365723,13.402376174926758,47.60871472682357,48.18136519798979,3,9
