dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[48729],0,0,1712289230.0781837,0.8939,0.3758319105952978,1.790266990661621,1.7557895183563232,20.073276933808266,19.92735108684325,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45912],1,0,1712289238.4755962,0.8938,0.37580746281892063,1.770711064338684,1.7685199975967407,22.161513227718036,22.298089974284387,4,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[2447],2,0,1712289247.3548353,0.8938,0.3741829251870513,1.5660219192504883,1.50375235080719,17.370301386534532,17.064085965760704,3,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712289256.256468,0.8928,0.3773984778672457,3.1435394287109375,3.1684117317199707,25.554291982049392,25.57707089917343,4,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[8202],4,0,1712289264.9945834,0.8928,0.37692074161022904,1.8022394180297852,1.782511830329895,18.913526718129038,18.834881353639087,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[26013],5,0,1712289273.5344832,0.8924,0.37666162801906466,1.8622287511825562,1.7737094163894653,25.289096522848123,24.93276832041775,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15075],6,0,1712289281.5912762,0.8922,0.3763174578547478,1.5381114482879639,1.4028503894805908,20.567178814637085,19.74699911584303,2,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[13528],7,0,1712289289.918387,0.8925,0.37669446151703595,1.4970784187316895,1.4762310981750488,21.377000726847932,21.23288104719897,4,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[3300],8,0,1712289298.2446046,0.8921,0.3800620147958398,1.4242748022079468,1.4258817434310913,18.189583680096842,18.202483862775235,4,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[39451],9,0,1712289306.54908,0.8915,0.38112405547872186,2.2523927688598633,2.2475266456604004,30.106554083802937,30.103733479633096,4,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[36872],10,0,1712289315.1228278,0.8914,0.3823728932999074,2.041109561920166,2.050208568572998,23.00865236819336,23.041717601820793,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[53449],11,0,1712289323.6241667,0.8905,0.3854930276051164,2.2880730628967285,2.4261605739593506,24.708909227115495,25.031850208311553,4,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[16573],12,0,1712289332.4825933,0.8911,0.38468805542215706,2.0467052459716797,2.066610336303711,20.507567563042844,20.5607720613731,4,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[23278],13,0,1712289340.846858,0.8903,0.3854166175238788,1.3672761917114258,1.3249341249465942,19.882483207377167,19.584933401656297,4,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[41377],14,0,1712289348.1800416,0.8895,0.3892059825360775,1.5183595418930054,1.5700160264968872,15.096838090924209,15.241095111520986,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[58197],15,0,1712289356.22275,0.8903,0.38553360346704724,1.4913450479507446,1.488797664642334,19.33508142829423,19.337439405385574,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10049],16,0,1712289363.996353,0.8904,0.3844043480232358,1.7589231729507446,1.6337738037109375,20.15443607524076,19.576436707265827,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[22958],17,0,1712289372.926697,0.8901,0.3835371517576277,1.934464693069458,1.850870966911316,24.54750996288241,24.167049613156998,4,9
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21739],18,0,1712289381.3822222,0.8901,0.3862814711406827,2.5942516326904297,2.5985183715820312,26.89514557883742,26.897892248460483,3,0
