dataset,model,train_epochs,selectionType,order,HessType,approxType,run,orig_trainset_size,delta,epsilon,l2_reg,val_acc_before,val_loss_before,scrub_list,n_removals,bad_sample,time,val_acc_after,val_loss_after,sample_loss_before,sample_loss_after,sample_gradnorm_before,sample_gradnorm_after,slices_to_update,y_true
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[54598],0,0,1712299773.5224798,0.894,0.3758173810318112,0.7194698452949524,0.7214516997337341,20.722909832176846,20.72501486541962,2,5
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[43832],1,0,1712299781.3310025,0.8937,0.37677962593734265,0.886077880859375,0.891331672668457,18.88552385993194,18.850310522650602,2,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[17399],2,0,1712299789.6825762,0.8914,0.3807205249555409,1.1029069423675537,1.079121708869934,29.320404943369535,28.73244990286352,4,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[21867],3,0,1712299796.9677374,0.8909,0.3801108621060848,3.2224833965301514,3.2140002250671387,25.764799907063324,25.733782166873116,3,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[7256],4,0,1712299804.8025336,0.8909,0.38067120695486667,0.7020446062088013,0.7020500302314758,18.516672009260716,18.516675827981384,2,8
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[10990],5,0,1712299812.480722,0.8913,0.3796234022825956,0.7506673336029053,0.614611029624939,24.576397683733124,20.91695853087506,3,0
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[33633],6,0,1712299820.4908657,0.8906,0.3848869238048792,1.1297951936721802,1.032590389251709,19.950152659726896,18.952241123621327,3,7
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[14934],7,0,1712299828.6122534,0.8912,0.38710699751973154,0.7357783913612366,0.8199120163917542,20.63220789014982,22.163660851954702,2,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[49593],8,0,1712299837.022686,0.8899,0.39104838082566856,2.857860565185547,2.85787034034729,34.15605748133025,34.1559620596,3,4
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[45194],9,0,1712299844.8617313,0.8897,0.39162665884941816,1.068382978439331,1.068986415863037,28.125024987830308,28.122326652221613,2,2
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[15517],10,0,1712299852.4210036,0.8889,0.3912526149302721,1.1113898754119873,1.1033228635787964,30.747500894835195,30.73937608678209,3,3
mnist,LogisticRegressor,50,Random,Hessian,Sekhari,FD,1,60000,0.01,0.1,0.01,0.8939,0.37592079723253846,[56600],11,0,1712299860.57598,0.8885,0.39055796675384047,1.375516653060913,1.375421404838562,26.702948567432585,26.703213843647212,3,4
